[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7671891267494034],[0.8852786141432523],[0.9021216408447648],[0.874313408723748],[0.9013654329859864],[0.874313408723748],[0.7671891267494034]]	 ; [[0.7671891267494034],[0.8852786141432523],[0.9021216408447648],[0.874313408723748],[0.9013654329859864],[0.874313408723748],[0.7671891267494034]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.686665895040401],[0.8840937456003096],[0.8851958148405195],[0.8830371567043619],[0.9326266618756738],[0.8830371567043619],[0.686665895040401]]	 ; [[0.7671891267494034],[0.8852786141432523],[0.9021216408447648],[0.8830371567043619],[0.9326266618756738],[0.8830371567043619],[0.7671891267494034]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6915095773791426],[0.8897554586371946],[0.8890662029573954],[0.8904684975767366],[0.9407114624505929],[0.8904684975767366],[0.6915095773791426]]	 ; [[0.7671891267494034],[0.8897554586371946],[0.9021216408447648],[0.8904684975767366],[0.9407114624505929],[0.8904684975767366],[0.7671891267494034]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7598797200079233],[0.9015176000823688],[0.9064986201150425],[0.8975767366720517],[0.9322795042213041],[0.8975767366720517],[0.7598797200079233]]	 ; [[0.7671891267494034],[0.9015176000823688],[0.9064986201150425],[0.8975767366720517],[0.9407114624505929],[0.8975767366720517],[0.7671891267494034]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7395865004560656],[0.9015977740959129],[0.9031698050427893],[0.9001615508885299],[0.9407114624505929],[0.9001615508885299],[0.7395865004560657]]	 ; [[0.7671891267494034],[0.9015977740959129],[0.9064986201150425],[0.9001615508885299],[0.9407114624505929],[0.9001615508885299],[0.7671891267494034]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7571142214175811],[0.9162657512327621],[0.9151044728514771],[0.9176090468497576],[0.9581386992454186],[0.9176090468497576],[0.7571142214175811]]	 ; [[0.7671891267494034],[0.9162657512327621],[0.9151044728514771],[0.9176090468497576],[0.9581386992454186],[0.9176090468497576],[0.7671891267494034]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7259279271538511],[0.9120400718606217],[0.9094757588767772],[0.9159935379644588],[0.9638943775821807],[0.9159935379644588],[0.7259279271538511]]	 ; [[0.7671891267494034],[0.9162657512327621],[0.9151044728514771],[0.9176090468497576],[0.9638943775821807],[0.9176090468497576],[0.7671891267494034]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7993953098943218],[0.9251086828401711],[0.9257026884348474],[0.9245557350565428],[0.9561624146604384],[0.9245557350565428],[0.7993953098943218]]	 ; [[0.7993953098943218],[0.9251086828401711],[0.9257026884348474],[0.9245557350565428],[0.9638943775821807],[0.9245557350565428],[0.7993953098943218]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8250685826031676],[0.9229126641848703],[0.9277148070873095],[0.9195476575121163],[0.943406395975566],[0.9195476575121163],[0.8250685826031676]]	 ; [[0.8250685826031676],[0.9251086828401711],[0.9277148070873095],[0.9245557350565428],[0.9638943775821807],[0.9245557350565428],[0.8250685826031676]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7883930134424205],[0.9278954783946144],[0.926919216426895],[0.9290791599353796],[0.9646065397053539],[0.9290791599353796],[0.7883930134424206]]	 ; [[0.8250685826031676],[0.9278954783946144],[0.9277148070873095],[0.9290791599353796],[0.9646065397053539],[0.9290791599353796],[0.8250685826031676]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8051085113832148],[0.9286100302715369],[0.9287918462408634],[0.9284329563812601],[0.9595759971254042],[0.9284329563812601],[0.8051085113832149]]	 ; [[0.8250685826031676],[0.9286100302715369],[0.9287918462408634],[0.9290791599353796],[0.9646065397053539],[0.9290791599353796],[0.8250685826031676]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8131967670011148],[0.9285223950652637],[0.9295410260380301],[0.9276252019386106],[0.9565217391304348],[0.9276252019386106],[0.8131967670011149]]	 ; [[0.8250685826031676],[0.9286100302715369],[0.9295410260380301],[0.9290791599353796],[0.9646065397053539],[0.9290791599353796],[0.8250685826031676]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8030758243155536],[0.9332001621650998],[0.9323475760068183],[0.934248788368336],[0.9673073468654572],[0.934248788368336],[0.8030758243155536]]	 ; [[0.8250685826031676],[0.9332001621650998],[0.9323475760068183],[0.934248788368336],[0.9673073468654572],[0.934248788368336],[0.8250685826031676]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8006385495268895],[0.9249427679759646],[0.925720265592944],[0.924232633279483],[0.9554437657204455],[0.924232633279483],[0.8006385495268895]]	 ; [[0.8250685826031676],[0.9332001621650998],[0.9323475760068183],[0.934248788368336],[0.9673073468654572],[0.934248788368336],[0.8250685826031676]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8371848424961073],[0.9267136946065582],[0.9315583467724193],[0.9234248788368336],[0.945203018325548],[0.9234248788368336],[0.8371848424961073]]	 ; [[0.8371848424961073],[0.9332001621650998],[0.9323475760068183],[0.934248788368336],[0.9673073468654572],[0.934248788368336],[0.8371848424961073]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8326898315781714],[0.9322504155434793],[0.934223101718856],[0.9306946688206785],[0.9554437657204455],[0.9306946688206785],[0.8326898315781714]]	 ; [[0.8371848424961073],[0.9332001621650998],[0.934223101718856],[0.934248788368336],[0.9673073468654572],[0.934248788368336],[0.8371848424961073]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8406666620599428],[0.9288447458127451],[0.933226578627203],[0.925848142164782],[0.9473589651455264],[0.925848142164782],[0.8406666620599427]]	 ; [[0.8406666620599428],[0.9332001621650998],[0.934223101718856],[0.934248788368336],[0.9673073468654572],[0.934248788368336],[0.8406666620599427]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8348996194845998],[0.9304348612350204],[0.9333566673661822],[0.9282714054927302],[0.9518505210204815],[0.9282714054927302],[0.8348996194845997]]	 ; [[0.8406666620599428],[0.9332001621650998],[0.934223101718856],[0.934248788368336],[0.9673073468654572],[0.934248788368336],[0.8406666620599427]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.838191896122559],[0.9378740198021851],[0.9386999823727584],[0.937156704361874],[0.9620980779594036],[0.937156704361874],[0.838191896122559]]	 ; [[0.8406666620599428],[0.9378740198021851],[0.9386999823727584],[0.937156704361874],[0.9673073468654572],[0.937156704361874],[0.8406666620599427]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8426141546200835],[0.9276760507094377],[0.9328842838762997],[0.924232633279483],[0.9448436938555516],[0.924232633279483],[0.8426141546200835]]	 ; [[0.8426141546200835],[0.9378740198021851],[0.9386999823727584],[0.937156704361874],[0.9673073468654572],[0.937156704361874],[0.8426141546200835]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8445904392050637],[0.9306226702798329],[0.9347765528346936],[0.9277867528271405],[0.948796263025512],[0.9277867528271405],[0.8445904392050637]]	 ; [[0.8445904392050637],[0.9378740198021851],[0.9386999823727584],[0.937156704361874],[0.9673073468654572],[0.937156704361874],[0.8445904392050637]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8460743801652892],[0.9267269921825686],[0.9329346048365292],[0.9227786752827141],[0.9421487603305785],[0.9227786752827141],[0.8460743801652892]]	 ; [[0.8460743801652892],[0.9378740198021851],[0.9386999823727584],[0.937156704361874],[0.9673073468654572],[0.937156704361874],[0.8460743801652892]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8434514267024148],[0.9330249063405525],[0.9360290771910031],[0.9308562197092084],[0.9529284944304707],[0.9308562197092084],[0.8434514267024148]]	 ; [[0.8460743801652892],[0.9378740198021851],[0.9386999823727584],[0.937156704361874],[0.9673073468654572],[0.937156704361874],[0.8460743801652892]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8457044026461022],[0.9374984470295304],[0.9391685218237754],[0.9361873990306947],[0.9590370104204097],[0.9361873990306947],[0.8457044026461022]]	 ; [[0.8460743801652892],[0.9378740198021851],[0.9391685218237754],[0.937156704361874],[0.9673073468654572],[0.937156704361874],[0.8460743801652892]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8448239425265117],[0.9258901016393656],[0.9323208946643218],[0.9218093699515347],[0.9412504491555875],[0.9218093699515347],[0.8448239425265117]]	 ; [[0.8460743801652892],[0.9378740198021851],[0.9391685218237754],[0.937156704361874],[0.9673073468654572],[0.937156704361874],[0.8460743801652892]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8456498553589556],[0.9335597463436378],[0.9366678574006461],[0.931340872374798],[0.9529369498832405],[0.931340872374798],[0.8456498553589558]]	 ; [[0.8460743801652892],[0.9378740198021851],[0.9391685218237754],[0.937156704361874],[0.9673073468654572],[0.937156704361874],[0.8460743801652892]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.839617480674793],[0.9313671931304467],[0.9345323996884195],[0.9290791599353796],[0.9516708587854833],[0.9290791599353796],[0.8396174806747929]]	 ; [[0.8460743801652892],[0.9378740198021851],[0.9391685218237754],[0.937156704361874],[0.9673073468654572],[0.937156704361874],[0.8460743801652892]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8348745704229893],[0.9398056491352941],[0.93987071974442],[0.9397415185783522],[0.9662234998203377],[0.9397415185783522],[0.8348745704229894]]	 ; [[0.8460743801652892],[0.9398056491352941],[0.93987071974442],[0.9397415185783522],[0.9673073468654572],[0.9397415185783522],[0.8460743801652892]]
