[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6463782037287691],[0.8639346659430777],[0.8682649820553193],[0.86],[0.9143780290791599],[0.86],[0.6463782037287691]]	 ; [[0.6463782037287691],[0.8639346659430777],[0.8682649820553193],[0.86],[0.9143780290791599],[0.86],[0.6463782037287691]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5571693521897837],[0.8687417520372762],[0.8616699490537879],[0.8948387096774194],[0.980793394363669],[0.8948387096774194],[0.5571693521897836]]	 ; [[0.6463782037287691],[0.8687417520372762],[0.8682649820553193],[0.8948387096774194],[0.980793394363669],[0.8948387096774194],[0.6463782037287691]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5793885208975962],[0.8796655118527035],[0.8816546190118958],[0.9043548387096774],[0.9870759289176091],[0.9043548387096774],[0.5793885208975963]]	 ; [[0.6463782037287691],[0.8796655118527035],[0.8816546190118958],[0.9043548387096774],[0.9870759289176091],[0.9043548387096774],[0.6463782037287691]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.63505794114936],[0.894541708069403],[0.8927281902387341],[0.9093548387096774],[0.9791778854783701],[0.9093548387096774],[0.63505794114936]]	 ; [[0.6463782037287691],[0.894541708069403],[0.8927281902387341],[0.9093548387096774],[0.9870759289176091],[0.9093548387096774],[0.6463782037287691]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5900561725826585],[0.8838627748367005],[0.887050665346348],[0.9069354838709678],[0.9874371859296482],[0.9069354838709678],[0.5900561725826585]]	 ; [[0.6463782037287691],[0.894541708069403],[0.8927281902387341],[0.9093548387096774],[0.9874371859296482],[0.9093548387096774],[0.6463782037287691]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5404122643978199],[0.8676053770858266],[0.880907949456647],[0.9027419354838709],[0.9949739723568479],[0.9027419354838709],[0.5404122643978199]]	 ; [[0.6463782037287691],[0.894541708069403],[0.8927281902387341],[0.9093548387096774],[0.9949739723568479],[0.9093548387096774],[0.6463782037287691]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.554630939977324],[0.873440849612692],[0.8888090973545254],[0.905483870967742],[0.9947944713695925],[0.905483870967742],[0.554630939977324]]	 ; [[0.6463782037287691],[0.894541708069403],[0.8927281902387341],[0.9093548387096774],[0.9949739723568479],[0.9093548387096774],[0.6463782037287691]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6517382630183162],[0.8988047325411411],[0.89666769330942],[0.9114516129032258],[0.9775623765930712],[0.9114516129032258],[0.6517382630183162]]	 ; [[0.6517382630183162],[0.8988047325411411],[0.89666769330942],[0.9114516129032258],[0.9949739723568479],[0.9114516129032258],[0.6517382630183162]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6736239708300908],[0.9039655464085168],[0.9014644818119424],[0.9140322580645162],[0.9752288637587506],[0.9140322580645162],[0.6736239708300907]]	 ; [[0.6736239708300908],[0.9039655464085168],[0.9014644818119424],[0.9140322580645162],[0.9949739723568479],[0.9140322580645162],[0.6736239708300907]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.635391402045398],[0.8993607861091395],[0.9038937635870989],[0.9162903225806451],[0.9877939328666308],[0.9162903225806451],[0.635391402045398]]	 ; [[0.6736239708300908],[0.9039655464085168],[0.9038937635870989],[0.9162903225806451],[0.9949739723568479],[0.9162903225806451],[0.6736239708300907]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7421135855992836],[0.8738442326496121],[0.8931432547050219],[0.8609677419354839],[0.8912224017232094],[0.8609677419354839],[0.7421135855992835]]	 ; [[0.7421135855992836],[0.9039655464085168],[0.9038937635870989],[0.9162903225806451],[0.9949739723568479],[0.9162903225806451],[0.7421135855992835]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7412271777449576],[0.9211939728836036],[0.9192108439049019],[0.9259677419354839],[0.9729002153625269],[0.9259677419354839],[0.7412271777449577]]	 ; [[0.7421135855992836],[0.9211939728836036],[0.9192108439049019],[0.9259677419354839],[0.9949739723568479],[0.9259677419354839],[0.7421135855992835]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7403504099203936],[0.8640296703911459],[0.8909625296172504],[0.8469354838709677],[0.8740129217516153],[0.8469354838709677],[0.7403504099203937]]	 ; [[0.7421135855992836],[0.9211939728836036],[0.9192108439049019],[0.9259677419354839],[0.9949739723568479],[0.9259677419354839],[0.7421135855992835]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7739013539032743],[0.9164806926994753],[0.9168450481550244],[0.9161290322580645],[0.9522613065326633],[0.9161290322580645],[0.7739013539032743]]	 ; [[0.7739013539032743],[0.9211939728836036],[0.9192108439049019],[0.9259677419354839],[0.9949739723568479],[0.9259677419354839],[0.7739013539032743]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7804366183155502],[0.9071865147931111],[0.9124034987649594],[0.9032258064516129],[0.9344821396517681],[0.9032258064516129],[0.7804366183155502]]	 ; [[0.7804366183155502],[0.9211939728836036],[0.9192108439049019],[0.9259677419354839],[0.9949739723568479],[0.9259677419354839],[0.7804366183155502]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7771789179657659],[0.8564334737158558],[0.8996019216567178],[0.832741935483871],[0.8468856578711182],[0.832741935483871],[0.7771789179657658]]	 ; [[0.7804366183155502],[0.9211939728836036],[0.9192108439049019],[0.9259677419354839],[0.9949739723568479],[0.9259677419354839],[0.7804366183155502]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7963086149915002],[0.8828670995743079],[0.9080148573728798],[0.8683870967741936],[0.8867348770418237],[0.8683870967741936],[0.7963086149915002]]	 ; [[0.7963086149915002],[0.9211939728836036],[0.9192108439049019],[0.9259677419354839],[0.9949739723568479],[0.9259677419354839],[0.7963086149915002]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8068733110502468],[0.842005398042481],[0.9075218133296535],[0.8103225806451613],[0.8111988513998565],[0.8103225806451613],[0.8068733110502467]]	 ; [[0.8068733110502468],[0.9211939728836036],[0.9192108439049019],[0.9259677419354839],[0.9949739723568479],[0.9259677419354839],[0.8068733110502467]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8158621817001294],[0.9209656217553723],[0.9251535250030312],[0.9179032258064516],[0.9438262742282842],[0.9179032258064516],[0.8158621817001294]]	 ; [[0.8158621817001294],[0.9211939728836036],[0.9251535250030312],[0.9259677419354839],[0.9949739723568479],[0.9259677419354839],[0.8158621817001294]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7935637338374201],[0.8313417688138414],[0.9035774528367239],[0.7962903225806451],[0.7969843834141088],[0.7962903225806451],[0.7935637338374201]]	 ; [[0.8158621817001294],[0.9211939728836036],[0.9251535250030312],[0.9259677419354839],[0.9949739723568479],[0.9259677419354839],[0.8158621817001294]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.799527504317013],[0.9193053962867243],[0.9218278202595758],[0.917258064516129],[0.9472267097469036],[0.917258064516129],[0.799527504317013]]	 ; [[0.8158621817001294],[0.9211939728836036],[0.9251535250030312],[0.9259677419354839],[0.9949739723568479],[0.9259677419354839],[0.8158621817001294]]
