Results: 	[0.8174]	
Results: 	[0.8174, 0.6997]	
Results: 	[0.8174, 0.6997, 0.7444]	
Results: 	[0.8174, 0.6997, 0.7444, 0.8244]	
Results: 	[0.8174, 0.6997, 0.7444, 0.8244, 0.8629]	
Results: 	[0.8174, 0.6997, 0.7444, 0.8244, 0.8629, 0.8876]	
Results: 	[0.8174, 0.6997, 0.7444, 0.8244, 0.8629, 0.8876, 0.8776]	
Results: 	[0.8174, 0.6997, 0.7444, 0.8244, 0.8629, 0.8876, 0.8776, 0.7537]	
Results: 	[0.8174, 0.6997, 0.7444, 0.8244, 0.8629, 0.8876, 0.8776, 0.7537, 0.8219]	
Results: 	[0.8174, 0.6997, 0.7444, 0.8244, 0.8629, 0.8876, 0.8776, 0.7537, 0.8219, 0.6323]	
Results: 	[0.8174, 0.6997, 0.7444, 0.8244, 0.8629, 0.8876, 0.8776, 0.7537, 0.8219, 0.6323, 0.9119]	
Results: 	[0.8174, 0.6997, 0.7444, 0.8244, 0.8629, 0.8876, 0.8776, 0.7537, 0.8219, 0.6323, 0.9119, 0.8944]	
Results: 	[0.8174, 0.6997, 0.7444, 0.8244, 0.8629, 0.8876, 0.8776, 0.7537, 0.8219, 0.6323, 0.9119, 0.8944, 0.8892]	
Results: 	[0.8174, 0.6997, 0.7444, 0.8244, 0.8629, 0.8876, 0.8776, 0.7537, 0.8219, 0.6323, 0.9119, 0.8944, 0.8892, 0.945]	
Results: 	[0.8174, 0.6997, 0.7444, 0.8244, 0.8629, 0.8876, 0.8776, 0.7537, 0.8219, 0.6323, 0.9119, 0.8944, 0.8892, 0.945, 0.9413]	
Results: 	[0.8174, 0.6997, 0.7444, 0.8244, 0.8629, 0.8876, 0.8776, 0.7537, 0.8219, 0.6323, 0.9119, 0.8944, 0.8892, 0.945, 0.9413, 0.8256]	
Results: 	[0.8174, 0.6997, 0.7444, 0.8244, 0.8629, 0.8876, 0.8776, 0.7537, 0.8219, 0.6323, 0.9119, 0.8944, 0.8892, 0.945, 0.9413, 0.8256, 0.939]	
Results: 	[0.8174, 0.6997, 0.7444, 0.8244, 0.8629, 0.8876, 0.8776, 0.7537, 0.8219, 0.6323, 0.9119, 0.8944, 0.8892, 0.945, 0.9413, 0.8256, 0.939, 0.8035]	
Results: 	[0.8174, 0.6997, 0.7444, 0.8244, 0.8629, 0.8876, 0.8776, 0.7537, 0.8219, 0.6323, 0.9119, 0.8944, 0.8892, 0.945, 0.9413, 0.8256, 0.939, 0.8035, 0.8876]	
Results: 	[0.8174, 0.6997, 0.7444, 0.8244, 0.8629, 0.8876, 0.8776, 0.7537, 0.8219, 0.6323, 0.9119, 0.8944, 0.8892, 0.945, 0.9413, 0.8256, 0.939, 0.8035, 0.8876, 0.94]	
Results: 	[0.8174, 0.6997, 0.7444, 0.8244, 0.8629, 0.8876, 0.8776, 0.7537, 0.8219, 0.6323, 0.9119, 0.8944, 0.8892, 0.945, 0.9413, 0.8256, 0.939, 0.8035, 0.8876, 0.94, 0.9463]	
Results: 	[0.8174, 0.6997, 0.7444, 0.8244, 0.8629, 0.8876, 0.8776, 0.7537, 0.8219, 0.6323, 0.9119, 0.8944, 0.8892, 0.945, 0.9413, 0.8256, 0.939, 0.8035, 0.8876, 0.94, 0.9463, 0.4747]	
Results: 	[0.8174, 0.6997, 0.7444, 0.8244, 0.8629, 0.8876, 0.8776, 0.7537, 0.8219, 0.6323, 0.9119, 0.8944, 0.8892, 0.945, 0.9413, 0.8256, 0.939, 0.8035, 0.8876, 0.94, 0.9463, 0.4747, 0.9008]	
Results: 	[0.8174, 0.6997, 0.7444, 0.8244, 0.8629, 0.8876, 0.8776, 0.7537, 0.8219, 0.6323, 0.9119, 0.8944, 0.8892, 0.945, 0.9413, 0.8256, 0.939, 0.8035, 0.8876, 0.94, 0.9463, 0.4747, 0.9008, 0.9258]	
Results: 	[0.8174, 0.6997, 0.7444, 0.8244, 0.8629, 0.8876, 0.8776, 0.7537, 0.8219, 0.6323, 0.9119, 0.8944, 0.8892, 0.945, 0.9413, 0.8256, 0.939, 0.8035, 0.8876, 0.94, 0.9463, 0.4747, 0.9008, 0.9258, 0.8402]	
Results: 	[0.8174, 0.6997, 0.7444, 0.8244, 0.8629, 0.8876, 0.8776, 0.7537, 0.8219, 0.6323, 0.9119, 0.8944, 0.8892, 0.945, 0.9413, 0.8256, 0.939, 0.8035, 0.8876, 0.94, 0.9463, 0.4747, 0.9008, 0.9258, 0.8402, 0.8434]	
Results: 	[0.8174, 0.6997, 0.7444, 0.8244, 0.8629, 0.8876, 0.8776, 0.7537, 0.8219, 0.6323, 0.9119, 0.8944, 0.8892, 0.945, 0.9413, 0.8256, 0.939, 0.8035, 0.8876, 0.94, 0.9463, 0.4747, 0.9008, 0.9258, 0.8402, 0.8434, 0.6331]	
Results: 	[0.8174, 0.6997, 0.7444, 0.8244, 0.8629, 0.8876, 0.8776, 0.7537, 0.8219, 0.6323, 0.9119, 0.8944, 0.8892, 0.945, 0.9413, 0.8256, 0.939, 0.8035, 0.8876, 0.94, 0.9463, 0.4747, 0.9008, 0.9258, 0.8402, 0.8434, 0.6331, 0.7329]	
Results: 	[0.8174, 0.6997, 0.7444, 0.8244, 0.8629, 0.8876, 0.8776, 0.7537, 0.8219, 0.6323, 0.9119, 0.8944, 0.8892, 0.945, 0.9413, 0.8256, 0.939, 0.8035, 0.8876, 0.94, 0.9463, 0.4747, 0.9008, 0.9258, 0.8402, 0.8434, 0.6331, 0.7329, 0.9406]	
