Results: 	[0.8471]	
Results: 	[0.8471, 0.7589]	
Results: 	[0.8471, 0.7589, 0.7931]	
Results: 	[0.8471, 0.7589, 0.7931, 0.8519]	
Results: 	[0.8471, 0.7589, 0.7931, 0.8519, 0.8809]	
Results: 	[0.8471, 0.7589, 0.7931, 0.8519, 0.8809, 0.8991]	
Results: 	[0.8471, 0.7589, 0.7931, 0.8519, 0.8809, 0.8991, 0.8917]	
Results: 	[0.8471, 0.7589, 0.7931, 0.8519, 0.8809, 0.8991, 0.8917, 0.8002]	
Results: 	[0.8471, 0.7589, 0.7931, 0.8519, 0.8809, 0.8991, 0.8917, 0.8002, 0.8506]	
Results: 	[0.8471, 0.7589, 0.7931, 0.8519, 0.8809, 0.8991, 0.8917, 0.8002, 0.8506, 0.7044]	
Results: 	[0.8471, 0.7589, 0.7931, 0.8519, 0.8809, 0.8991, 0.8917, 0.8002, 0.8506, 0.7044, 0.9181]	
Results: 	[0.8471, 0.7589, 0.7931, 0.8519, 0.8809, 0.8991, 0.8917, 0.8002, 0.8506, 0.7044, 0.9181, 0.9034]	
Results: 	[0.8471, 0.7589, 0.7931, 0.8519, 0.8809, 0.8991, 0.8917, 0.8002, 0.8506, 0.7044, 0.9181, 0.9034, 0.9008]	
Results: 	[0.8471, 0.7589, 0.7931, 0.8519, 0.8809, 0.8991, 0.8917, 0.8002, 0.8506, 0.7044, 0.9181, 0.9034, 0.9008, 0.9448]	
Results: 	[0.8471, 0.7589, 0.7931, 0.8519, 0.8809, 0.8991, 0.8917, 0.8002, 0.8506, 0.7044, 0.9181, 0.9034, 0.9008, 0.9448, 0.9417]	
Results: 	[0.8471, 0.7589, 0.7931, 0.8519, 0.8809, 0.8991, 0.8917, 0.8002, 0.8506, 0.7044, 0.9181, 0.9034, 0.9008, 0.9448, 0.9417, 0.8532]	
Results: 	[0.8471, 0.7589, 0.7931, 0.8519, 0.8809, 0.8991, 0.8917, 0.8002, 0.8506, 0.7044, 0.9181, 0.9034, 0.9008, 0.9448, 0.9417, 0.8532, 0.9395]	
Results: 	[0.8471, 0.7589, 0.7931, 0.8519, 0.8809, 0.8991, 0.8917, 0.8002, 0.8506, 0.7044, 0.9181, 0.9034, 0.9008, 0.9448, 0.9417, 0.8532, 0.9395, 0.8374]	
Results: 	[0.8471, 0.7589, 0.7931, 0.8519, 0.8809, 0.8991, 0.8917, 0.8002, 0.8506, 0.7044, 0.9181, 0.9034, 0.9008, 0.9448, 0.9417, 0.8532, 0.9395, 0.8374, 0.8991]	
Results: 	[0.8471, 0.7589, 0.7931, 0.8519, 0.8809, 0.8991, 0.8917, 0.8002, 0.8506, 0.7044, 0.9181, 0.9034, 0.9008, 0.9448, 0.9417, 0.8532, 0.9395, 0.8374, 0.8991, 0.9406]	
Results: 	[0.8471, 0.7589, 0.7931, 0.8519, 0.8809, 0.8991, 0.8917, 0.8002, 0.8506, 0.7044, 0.9181, 0.9034, 0.9008, 0.9448, 0.9417, 0.8532, 0.9395, 0.8374, 0.8991, 0.9406, 0.9454]	
Results: 	[0.8471, 0.7589, 0.7931, 0.8519, 0.8809, 0.8991, 0.8917, 0.8002, 0.8506, 0.7044, 0.9181, 0.9034, 0.9008, 0.9448, 0.9417, 0.8532, 0.9395, 0.8374, 0.8991, 0.9406, 0.9454, 0.5585]	
Results: 	[0.8471, 0.7589, 0.7931, 0.8519, 0.8809, 0.8991, 0.8917, 0.8002, 0.8506, 0.7044, 0.9181, 0.9034, 0.9008, 0.9448, 0.9417, 0.8532, 0.9395, 0.8374, 0.8991, 0.9406, 0.9454, 0.5585, 0.9087]	
Results: 	[0.8471, 0.7589, 0.7931, 0.8519, 0.8809, 0.8991, 0.8917, 0.8002, 0.8506, 0.7044, 0.9181, 0.9034, 0.9008, 0.9448, 0.9417, 0.8532, 0.9395, 0.8374, 0.8991, 0.9406, 0.9454, 0.5585, 0.9087, 0.9285]	
Results: 	[0.8471, 0.7589, 0.7931, 0.8519, 0.8809, 0.8991, 0.8917, 0.8002, 0.8506, 0.7044, 0.9181, 0.9034, 0.9008, 0.9448, 0.9417, 0.8532, 0.9395, 0.8374, 0.8991, 0.9406, 0.9454, 0.5585, 0.9087, 0.9285, 0.8641]	
Results: 	[0.8471, 0.7589, 0.7931, 0.8519, 0.8809, 0.8991, 0.8917, 0.8002, 0.8506, 0.7044, 0.9181, 0.9034, 0.9008, 0.9448, 0.9417, 0.8532, 0.9395, 0.8374, 0.8991, 0.9406, 0.9454, 0.5585, 0.9087, 0.9285, 0.8641, 0.8664]	
Results: 	[0.8471, 0.7589, 0.7931, 0.8519, 0.8809, 0.8991, 0.8917, 0.8002, 0.8506, 0.7044, 0.9181, 0.9034, 0.9008, 0.9448, 0.9417, 0.8532, 0.9395, 0.8374, 0.8991, 0.9406, 0.9454, 0.5585, 0.9087, 0.9285, 0.8641, 0.8664, 0.7051]	
Results: 	[0.8471, 0.7589, 0.7931, 0.8519, 0.8809, 0.8991, 0.8917, 0.8002, 0.8506, 0.7044, 0.9181, 0.9034, 0.9008, 0.9448, 0.9417, 0.8532, 0.9395, 0.8374, 0.8991, 0.9406, 0.9454, 0.5585, 0.9087, 0.9285, 0.8641, 0.8664, 0.7051, 0.7846]	
Results: 	[0.8471, 0.7589, 0.7931, 0.8519, 0.8809, 0.8991, 0.8917, 0.8002, 0.8506, 0.7044, 0.9181, 0.9034, 0.9008, 0.9448, 0.9417, 0.8532, 0.9395, 0.8374, 0.8991, 0.9406, 0.9454, 0.5585, 0.9087, 0.9285, 0.8641, 0.8664, 0.7051, 0.7846, 0.9411]	
Results: 	[0.8471, 0.7589, 0.7931, 0.8519, 0.8809, 0.8991, 0.8917, 0.8002, 0.8506, 0.7044, 0.9181, 0.9034, 0.9008, 0.9448, 0.9417, 0.8532, 0.9395, 0.8374, 0.8991, 0.9406, 0.9454, 0.5585, 0.9087, 0.9285, 0.8641, 0.8664, 0.7051, 0.7846, 0.9411, 0.6618]
30 Support Sets: (Mean:0.85069, SD:0.09463609557778098) | 	







































