Results: 	[0.8629]	
Results: 	[0.8629, 0.8599]	
Results: 	[0.8629, 0.8599, 0.8646]	
Results: 	[0.8629, 0.8599, 0.8646, 0.8616]	
Results: 	[0.8629, 0.8599, 0.8646, 0.8616, 0.8605]	
Results: 	[0.8629, 0.8599, 0.8646, 0.8616, 0.8605, 0.8636]	
Results: 	[0.8629, 0.8599, 0.8646, 0.8616, 0.8605, 0.8636, 0.8633]	
Results: 	[0.8629, 0.8599, 0.8646, 0.8616, 0.8605, 0.8636, 0.8633, 0.8597]	
Results: 	[0.8629, 0.8599, 0.8646, 0.8616, 0.8605, 0.8636, 0.8633, 0.8597, 0.861]	
Results: 	[0.8629, 0.8599, 0.8646, 0.8616, 0.8605, 0.8636, 0.8633, 0.8597, 0.861, 0.8616]	
Results: 	[0.8629, 0.8599, 0.8646, 0.8616, 0.8605, 0.8636, 0.8633, 0.8597, 0.861, 0.8616, 0.8627]	
Results: 	[0.8629, 0.8599, 0.8646, 0.8616, 0.8605, 0.8636, 0.8633, 0.8597, 0.861, 0.8616, 0.8627, 0.8629]	
Results: 	[0.8629, 0.8599, 0.8646, 0.8616, 0.8605, 0.8636, 0.8633, 0.8597, 0.861, 0.8616, 0.8627, 0.8629, 0.8637]	
Results: 	[0.8629, 0.8599, 0.8646, 0.8616, 0.8605, 0.8636, 0.8633, 0.8597, 0.861, 0.8616, 0.8627, 0.8629, 0.8637, 0.8627]	
Results: 	[0.8629, 0.8599, 0.8646, 0.8616, 0.8605, 0.8636, 0.8633, 0.8597, 0.861, 0.8616, 0.8627, 0.8629, 0.8637, 0.8627, 0.8611]	
Results: 	[0.8629, 0.8599, 0.8646, 0.8616, 0.8605, 0.8636, 0.8633, 0.8597, 0.861, 0.8616, 0.8627, 0.8629, 0.8637, 0.8627, 0.8611, 0.8631]	
Results: 	[0.8629, 0.8599, 0.8646, 0.8616, 0.8605, 0.8636, 0.8633, 0.8597, 0.861, 0.8616, 0.8627, 0.8629, 0.8637, 0.8627, 0.8611, 0.8631, 0.8612]	
Results: 	[0.8629, 0.8599, 0.8646, 0.8616, 0.8605, 0.8636, 0.8633, 0.8597, 0.861, 0.8616, 0.8627, 0.8629, 0.8637, 0.8627, 0.8611, 0.8631, 0.8612, 0.8603]	
Results: 	[0.8629, 0.8599, 0.8646, 0.8616, 0.8605, 0.8636, 0.8633, 0.8597, 0.861, 0.8616, 0.8627, 0.8629, 0.8637, 0.8627, 0.8611, 0.8631, 0.8612, 0.8603, 0.8624]	
Results: 	[0.8629, 0.8599, 0.8646, 0.8616, 0.8605, 0.8636, 0.8633, 0.8597, 0.861, 0.8616, 0.8627, 0.8629, 0.8637, 0.8627, 0.8611, 0.8631, 0.8612, 0.8603, 0.8624, 0.8635]	
