Results: 	[0.828]	
Results: 	[0.828, 0.8274]	
Results: 	[0.828, 0.8274, 0.8208]	
Results: 	[0.828, 0.8274, 0.8208, 0.8363]	
Results: 	[0.828, 0.8274, 0.8208, 0.8363, 0.8326]	
Results: 	[0.828, 0.8274, 0.8208, 0.8363, 0.8326, 0.839]	
Results: 	[0.828, 0.8274, 0.8208, 0.8363, 0.8326, 0.839, 0.8119]	
Results: 	[0.828, 0.8274, 0.8208, 0.8363, 0.8326, 0.839, 0.8119, 0.8284]	
Results: 	[0.828, 0.8274, 0.8208, 0.8363, 0.8326, 0.839, 0.8119, 0.8284, 0.8219]	
Results: 	[0.828, 0.8274, 0.8208, 0.8363, 0.8326, 0.839, 0.8119, 0.8284, 0.8219, 0.8049]	
Results: 	[0.828, 0.8274, 0.8208, 0.8363, 0.8326, 0.839, 0.8119, 0.8284, 0.8219, 0.8049, 0.7397]	
Results: 	[0.828, 0.8274, 0.8208, 0.8363, 0.8326, 0.839, 0.8119, 0.8284, 0.8219, 0.8049, 0.7397, 0.7906]	
Results: 	[0.828, 0.8274, 0.8208, 0.8363, 0.8326, 0.839, 0.8119, 0.8284, 0.8219, 0.8049, 0.7397, 0.7906, 0.8254]	
Results: 	[0.828, 0.8274, 0.8208, 0.8363, 0.8326, 0.839, 0.8119, 0.8284, 0.8219, 0.8049, 0.7397, 0.7906, 0.8254, 0.8245]	
Results: 	[0.828, 0.8274, 0.8208, 0.8363, 0.8326, 0.839, 0.8119, 0.8284, 0.8219, 0.8049, 0.7397, 0.7906, 0.8254, 0.8245, 0.8134]	
Results: 	[0.828, 0.8274, 0.8208, 0.8363, 0.8326, 0.839, 0.8119, 0.8284, 0.8219, 0.8049, 0.7397, 0.7906, 0.8254, 0.8245, 0.8134, 0.798]	
Results: 	[0.828, 0.8274, 0.8208, 0.8363, 0.8326, 0.839, 0.8119, 0.8284, 0.8219, 0.8049, 0.7397, 0.7906, 0.8254, 0.8245, 0.8134, 0.798, 0.8086]	
Results: 	[0.828, 0.8274, 0.8208, 0.8363, 0.8326, 0.839, 0.8119, 0.8284, 0.8219, 0.8049, 0.7397, 0.7906, 0.8254, 0.8245, 0.8134, 0.798, 0.8086, 0.827]	
Results: 	[0.828, 0.8274, 0.8208, 0.8363, 0.8326, 0.839, 0.8119, 0.8284, 0.8219, 0.8049, 0.7397, 0.7906, 0.8254, 0.8245, 0.8134, 0.798, 0.8086, 0.827, 0.8394]	
Results: 	[0.828, 0.8274, 0.8208, 0.8363, 0.8326, 0.839, 0.8119, 0.8284, 0.8219, 0.8049, 0.7397, 0.7906, 0.8254, 0.8245, 0.8134, 0.798, 0.8086, 0.827, 0.8394, 0.8351]	
Results: 	[0.828, 0.8274, 0.8208, 0.8363, 0.8326, 0.839, 0.8119, 0.8284, 0.8219, 0.8049, 0.7397, 0.7906, 0.8254, 0.8245, 0.8134, 0.798, 0.8086, 0.827, 0.8394, 0.8351, 0.8411]	
Results: 	[0.828, 0.8274, 0.8208, 0.8363, 0.8326, 0.839, 0.8119, 0.8284, 0.8219, 0.8049, 0.7397, 0.7906, 0.8254, 0.8245, 0.8134, 0.798, 0.8086, 0.827, 0.8394, 0.8351, 0.8411, 0.7336]	
Results: 	[0.828, 0.8274, 0.8208, 0.8363, 0.8326, 0.839, 0.8119, 0.8284, 0.8219, 0.8049, 0.7397, 0.7906, 0.8254, 0.8245, 0.8134, 0.798, 0.8086, 0.827, 0.8394, 0.8351, 0.8411, 0.7336, 0.8441]	
Results: 	[0.828, 0.8274, 0.8208, 0.8363, 0.8326, 0.839, 0.8119, 0.8284, 0.8219, 0.8049, 0.7397, 0.7906, 0.8254, 0.8245, 0.8134, 0.798, 0.8086, 0.827, 0.8394, 0.8351, 0.8411, 0.7336, 0.8441, 0.8373]	
Results: 	[0.828, 0.8274, 0.8208, 0.8363, 0.8326, 0.839, 0.8119, 0.8284, 0.8219, 0.8049, 0.7397, 0.7906, 0.8254, 0.8245, 0.8134, 0.798, 0.8086, 0.827, 0.8394, 0.8351, 0.8411, 0.7336, 0.8441, 0.8373, 0.8402]	
Results: 	[0.828, 0.8274, 0.8208, 0.8363, 0.8326, 0.839, 0.8119, 0.8284, 0.8219, 0.8049, 0.7397, 0.7906, 0.8254, 0.8245, 0.8134, 0.798, 0.8086, 0.827, 0.8394, 0.8351, 0.8411, 0.7336, 0.8441, 0.8373, 0.8402, 0.7983]	
Results: 	[0.828, 0.8274, 0.8208, 0.8363, 0.8326, 0.839, 0.8119, 0.8284, 0.8219, 0.8049, 0.7397, 0.7906, 0.8254, 0.8245, 0.8134, 0.798, 0.8086, 0.827, 0.8394, 0.8351, 0.8411, 0.7336, 0.8441, 0.8373, 0.8402, 0.7983, 0.8426]	
Results: 	[0.828, 0.8274, 0.8208, 0.8363, 0.8326, 0.839, 0.8119, 0.8284, 0.8219, 0.8049, 0.7397, 0.7906, 0.8254, 0.8245, 0.8134, 0.798, 0.8086, 0.827, 0.8394, 0.8351, 0.8411, 0.7336, 0.8441, 0.8373, 0.8402, 0.7983, 0.8426, 0.8363]	
Results: 	[0.828, 0.8274, 0.8208, 0.8363, 0.8326, 0.839, 0.8119, 0.8284, 0.8219, 0.8049, 0.7397, 0.7906, 0.8254, 0.8245, 0.8134, 0.798, 0.8086, 0.827, 0.8394, 0.8351, 0.8411, 0.7336, 0.8441, 0.8373, 0.8402, 0.7983, 0.8426, 0.8363, 0.8345]	
Results: 	[0.828, 0.8274, 0.8208, 0.8363, 0.8326, 0.839, 0.8119, 0.8284, 0.8219, 0.8049, 0.7397, 0.7906, 0.8254, 0.8245, 0.8134, 0.798, 0.8086, 0.827, 0.8394, 0.8351, 0.8411, 0.7336, 0.8441, 0.8373, 0.8402, 0.7983, 0.8426, 0.8363, 0.8345, 0.8323]
30 Support Sets: (Mean:0.8197733333333334, SD:0.026749823503553514) | 	















































































