Results: 	[0.9214]	
Results: 	[0.9214, 0.9056]	
Results: 	[0.9214, 0.9056, 0.9204]	
Results: 	[0.9214, 0.9056, 0.9204, 0.9249]	
Results: 	[0.9214, 0.9056, 0.9204, 0.9249, 0.9387]	
Results: 	[0.9214, 0.9056, 0.9204, 0.9249, 0.9387, 0.9293]	
Results: 	[0.9214, 0.9056, 0.9204, 0.9249, 0.9387, 0.9293, 0.9311]	
Results: 	[0.9214, 0.9056, 0.9204, 0.9249, 0.9387, 0.9293, 0.9311, 0.9037]	
Results: 	[0.9214, 0.9056, 0.9204, 0.9249, 0.9387, 0.9293, 0.9311, 0.9037, 0.9399]	
Results: 	[0.9214, 0.9056, 0.9204, 0.9249, 0.9387, 0.9293, 0.9311, 0.9037, 0.9399, 0.927]	
Results: 	[0.9214, 0.9056, 0.9204, 0.9249, 0.9387, 0.9293, 0.9311, 0.9037, 0.9399, 0.927, 0.8993]	
Results: 	[0.9214, 0.9056, 0.9204, 0.9249, 0.9387, 0.9293, 0.9311, 0.9037, 0.9399, 0.927, 0.8993, 0.9215]	
Results: 	[0.9214, 0.9056, 0.9204, 0.9249, 0.9387, 0.9293, 0.9311, 0.9037, 0.9399, 0.927, 0.8993, 0.9215, 0.9064]	
Results: 	[0.9214, 0.9056, 0.9204, 0.9249, 0.9387, 0.9293, 0.9311, 0.9037, 0.9399, 0.927, 0.8993, 0.9215, 0.9064, 0.9259]	
Results: 	[0.9214, 0.9056, 0.9204, 0.9249, 0.9387, 0.9293, 0.9311, 0.9037, 0.9399, 0.927, 0.8993, 0.9215, 0.9064, 0.9259, 0.9078]	
Results: 	[0.9214, 0.9056, 0.9204, 0.9249, 0.9387, 0.9293, 0.9311, 0.9037, 0.9399, 0.927, 0.8993, 0.9215, 0.9064, 0.9259, 0.9078, 0.9161]	
Results: 	[0.9214, 0.9056, 0.9204, 0.9249, 0.9387, 0.9293, 0.9311, 0.9037, 0.9399, 0.927, 0.8993, 0.9215, 0.9064, 0.9259, 0.9078, 0.9161, 0.935]	
Results: 	[0.9214, 0.9056, 0.9204, 0.9249, 0.9387, 0.9293, 0.9311, 0.9037, 0.9399, 0.927, 0.8993, 0.9215, 0.9064, 0.9259, 0.9078, 0.9161, 0.935, 0.9176]	
Results: 	[0.9214, 0.9056, 0.9204, 0.9249, 0.9387, 0.9293, 0.9311, 0.9037, 0.9399, 0.927, 0.8993, 0.9215, 0.9064, 0.9259, 0.9078, 0.9161, 0.935, 0.9176, 0.9374]	
Results: 	[0.9214, 0.9056, 0.9204, 0.9249, 0.9387, 0.9293, 0.9311, 0.9037, 0.9399, 0.927, 0.8993, 0.9215, 0.9064, 0.9259, 0.9078, 0.9161, 0.935, 0.9176, 0.9374, 0.929]	
