Results: 	[0.7869]	
Results: 	[0.7869, 0.7532]	
Results: 	[0.7869, 0.7532, 0.7592]	
Results: 	[0.7869, 0.7532, 0.7592, 0.7564]	
Results: 	[0.7869, 0.7532, 0.7592, 0.7564, 0.7576]	
Results: 	[0.7869, 0.7532, 0.7592, 0.7564, 0.7576, 0.758]	
Results: 	[0.7869, 0.7532, 0.7592, 0.7564, 0.7576, 0.758, 0.7917]	
Results: 	[0.7869, 0.7532, 0.7592, 0.7564, 0.7576, 0.758, 0.7917, 0.7692]	
Results: 	[0.7869, 0.7532, 0.7592, 0.7564, 0.7576, 0.758, 0.7917, 0.7692, 0.8058]	
Results: 	[0.7869, 0.7532, 0.7592, 0.7564, 0.7576, 0.758, 0.7917, 0.7692, 0.8058, 0.8109]	
Results: 	[0.7869, 0.7532, 0.7592, 0.7564, 0.7576, 0.758, 0.7917, 0.7692, 0.8058, 0.8109, 0.891]	
Results: 	[0.7869, 0.7532, 0.7592, 0.7564, 0.7576, 0.758, 0.7917, 0.7692, 0.8058, 0.8109, 0.891, 0.8269]	
Results: 	[0.7869, 0.7532, 0.7592, 0.7564, 0.7576, 0.758, 0.7917, 0.7692, 0.8058, 0.8109, 0.891, 0.8269, 0.8013]	
Results: 	[0.7869, 0.7532, 0.7592, 0.7564, 0.7576, 0.758, 0.7917, 0.7692, 0.8058, 0.8109, 0.891, 0.8269, 0.8013, 0.7628]	
Results: 	[0.7869, 0.7532, 0.7592, 0.7564, 0.7576, 0.758, 0.7917, 0.7692, 0.8058, 0.8109, 0.891, 0.8269, 0.8013, 0.7628, 0.7933]	
Results: 	[0.7869, 0.7532, 0.7592, 0.7564, 0.7576, 0.758, 0.7917, 0.7692, 0.8058, 0.8109, 0.891, 0.8269, 0.8013, 0.7628, 0.7933, 0.8157]	
Results: 	[0.7869, 0.7532, 0.7592, 0.7564, 0.7576, 0.758, 0.7917, 0.7692, 0.8058, 0.8109, 0.891, 0.8269, 0.8013, 0.7628, 0.7933, 0.8157, 0.8042]	
Results: 	[0.7869, 0.7532, 0.7592, 0.7564, 0.7576, 0.758, 0.7917, 0.7692, 0.8058, 0.8109, 0.891, 0.8269, 0.8013, 0.7628, 0.7933, 0.8157, 0.8042, 0.7869]	
Results: 	[0.7869, 0.7532, 0.7592, 0.7564, 0.7576, 0.758, 0.7917, 0.7692, 0.8058, 0.8109, 0.891, 0.8269, 0.8013, 0.7628, 0.7933, 0.8157, 0.8042, 0.7869, 0.7452]	
Results: 	[0.7869, 0.7532, 0.7592, 0.7564, 0.7576, 0.758, 0.7917, 0.7692, 0.8058, 0.8109, 0.891, 0.8269, 0.8013, 0.7628, 0.7933, 0.8157, 0.8042, 0.7869, 0.7452, 0.7592]	
