Results: 	[0.9008]	
Results: 	[0.9008, 0.7724]	
Results: 	[0.9008, 0.7724, 0.9038]	
Results: 	[0.9008, 0.7724, 0.9038, 0.9731]	
Results: 	[0.9008, 0.7724, 0.9038, 0.9731, 0.9603]	
Results: 	[0.9008, 0.7724, 0.9038, 0.9731, 0.9603, 0.9388]	
Results: 	[0.9008, 0.7724, 0.9038, 0.9731, 0.9603, 0.9388, 0.9422]	
Results: 	[0.9008, 0.7724, 0.9038, 0.9731, 0.9603, 0.9388, 0.9422, 0.7623]	
Results: 	[0.9008, 0.7724, 0.9038, 0.9731, 0.9603, 0.9388, 0.9422, 0.7623, 0.9619]	
Results: 	[0.9008, 0.7724, 0.9038, 0.9731, 0.9603, 0.9388, 0.9422, 0.7623, 0.9619, 0.9305]	
Results: 	[0.9008, 0.7724, 0.9038, 0.9731, 0.9603, 0.9388, 0.9422, 0.7623, 0.9619, 0.9305, 0.652]	
Results: 	[0.9008, 0.7724, 0.9038, 0.9731, 0.9603, 0.9388, 0.9422, 0.7623, 0.9619, 0.9305, 0.652, 0.9178]	
Results: 	[0.9008, 0.7724, 0.9038, 0.9731, 0.9603, 0.9388, 0.9422, 0.7623, 0.9619, 0.9305, 0.652, 0.9178, 0.7706]	
Results: 	[0.9008, 0.7724, 0.9038, 0.9731, 0.9603, 0.9388, 0.9422, 0.7623, 0.9619, 0.9305, 0.652, 0.9178, 0.7706, 0.9826]	
Results: 	[0.9008, 0.7724, 0.9038, 0.9731, 0.9603, 0.9388, 0.9422, 0.7623, 0.9619, 0.9305, 0.652, 0.9178, 0.7706, 0.9826, 0.7898]	
Results: 	[0.9008, 0.7724, 0.9038, 0.9731, 0.9603, 0.9388, 0.9422, 0.7623, 0.9619, 0.9305, 0.652, 0.9178, 0.7706, 0.9826, 0.7898, 0.8745]	
Results: 	[0.9008, 0.7724, 0.9038, 0.9731, 0.9603, 0.9388, 0.9422, 0.7623, 0.9619, 0.9305, 0.652, 0.9178, 0.7706, 0.9826, 0.7898, 0.8745, 0.9524]	
