Results: 	[0.7721]	
Results: 	[0.7721, 0.7516]	
Results: 	[0.7721, 0.7516, 0.7404]	
Results: 	[0.7721, 0.7516, 0.7404, 0.7564]	
Results: 	[0.7721, 0.7516, 0.7404, 0.7564, 0.7596]	
Results: 	[0.7721, 0.7516, 0.7404, 0.7564, 0.7596, 0.7628]	
Results: 	[0.7721, 0.7516, 0.7404, 0.7564, 0.7596, 0.7628, 0.7576]	
Results: 	[0.7721, 0.7516, 0.7404, 0.7564, 0.7596, 0.7628, 0.7576, 0.7612]	
Results: 	[0.7721, 0.7516, 0.7404, 0.7564, 0.7596, 0.7628, 0.7576, 0.7612, 0.7596]	
Results: 	[0.7721, 0.7516, 0.7404, 0.7564, 0.7596, 0.7628, 0.7576, 0.7612, 0.7596, 0.7628]	
Results: 	[0.7721, 0.7516, 0.7404, 0.7564, 0.7596, 0.7628, 0.7576, 0.7612, 0.7596, 0.7628, 0.7708]	
Results: 	[0.7721, 0.7516, 0.7404, 0.7564, 0.7596, 0.7628, 0.7576, 0.7612, 0.7596, 0.7628, 0.7708, 0.7464]	
Results: 	[0.7721, 0.7516, 0.7404, 0.7564, 0.7596, 0.7628, 0.7576, 0.7612, 0.7596, 0.7628, 0.7708, 0.7464, 0.7516]	
Results: 	[0.7721, 0.7516, 0.7404, 0.7564, 0.7596, 0.7628, 0.7576, 0.7612, 0.7596, 0.7628, 0.7708, 0.7464, 0.7516, 0.7448]	
Results: 	[0.7721, 0.7516, 0.7404, 0.7564, 0.7596, 0.7628, 0.7576, 0.7612, 0.7596, 0.7628, 0.7708, 0.7464, 0.7516, 0.7448, 0.7244]	
Results: 	[0.7721, 0.7516, 0.7404, 0.7564, 0.7596, 0.7628, 0.7576, 0.7612, 0.7596, 0.7628, 0.7708, 0.7464, 0.7516, 0.7448, 0.7244, 0.7564]	
Results: 	[0.7721, 0.7516, 0.7404, 0.7564, 0.7596, 0.7628, 0.7576, 0.7612, 0.7596, 0.7628, 0.7708, 0.7464, 0.7516, 0.7448, 0.7244, 0.7564, 0.7564]	
Results: 	[0.7721, 0.7516, 0.7404, 0.7564, 0.7596, 0.7628, 0.7576, 0.7612, 0.7596, 0.7628, 0.7708, 0.7464, 0.7516, 0.7448, 0.7244, 0.7564, 0.7564, 0.7436]	
Results: 	[0.7721, 0.7516, 0.7404, 0.7564, 0.7596, 0.7628, 0.7576, 0.7612, 0.7596, 0.7628, 0.7708, 0.7464, 0.7516, 0.7448, 0.7244, 0.7564, 0.7564, 0.7436, 0.7628]	
Results: 	[0.7721, 0.7516, 0.7404, 0.7564, 0.7596, 0.7628, 0.7576, 0.7612, 0.7596, 0.7628, 0.7708, 0.7464, 0.7516, 0.7448, 0.7244, 0.7564, 0.7564, 0.7436, 0.7628, 0.7724]	
Results: 	[0.7721, 0.7516, 0.7404, 0.7564, 0.7596, 0.7628, 0.7576, 0.7612, 0.7596, 0.7628, 0.7708, 0.7464, 0.7516, 0.7448, 0.7244, 0.7564, 0.7564, 0.7436, 0.7628, 0.7724, 0.7596]	
Results: 	[0.7721, 0.7516, 0.7404, 0.7564, 0.7596, 0.7628, 0.7576, 0.7612, 0.7596, 0.7628, 0.7708, 0.7464, 0.7516, 0.7448, 0.7244, 0.7564, 0.7564, 0.7436, 0.7628, 0.7724, 0.7596, 0.7564]	
Results: 	[0.7721, 0.7516, 0.7404, 0.7564, 0.7596, 0.7628, 0.7576, 0.7612, 0.7596, 0.7628, 0.7708, 0.7464, 0.7516, 0.7448, 0.7244, 0.7564, 0.7564, 0.7436, 0.7628, 0.7724, 0.7596, 0.7564, 0.7548]	
