[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6218709946415059],[0.737358803741221],[0.7933171925474058],[0.7045226130653266],[0.7415774871185097],[0.7045226130653266],[0.621870994641506]]	 ; [[0.6218709946415059],[0.737358803741221],[0.7933171925474058],[0.7045226130653266],[0.7415774871185097],[0.7045226130653266],[0.621870994641506]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6241635165618153],[0.8024813196809013],[0.8027874084235629],[0.802177554438861],[0.8822363203806503],[0.802177554438861],[0.6241635165618153]]	 ; [[0.6241635165618153],[0.8024813196809013],[0.8027874084235629],[0.802177554438861],[0.8822363203806503],[0.802177554438861],[0.6241635165618153]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6414161832833104],[0.8253417461277093],[0.8196903332943124],[0.832998324958124],[0.9192940709894903],[0.832998324958124],[0.6414161832833104]]	 ; [[0.6414161832833104],[0.8253417461277093],[0.8196903332943124],[0.832998324958124],[0.9192940709894903],[0.832998324958124],[0.6414161832833104]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6025016572685262],[0.8172922092788991],[0.8084808218718753],[0.835678391959799],[0.9407098949038271],[0.835678391959799],[0.6025016572685262]]	 ; [[0.6414161832833104],[0.8253417461277093],[0.8196903332943124],[0.835678391959799],[0.9407098949038271],[0.835678391959799],[0.6414161832833104]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5988688219820868],[0.8153025963803168],[0.8061253255648653],[0.8340033500837521],[0.9399167162403331],[0.8340033500837521],[0.5988688219820868]]	 ; [[0.6414161832833104],[0.8253417461277093],[0.8196903332943124],[0.835678391959799],[0.9407098949038271],[0.835678391959799],[0.6414161832833104]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6357961301480921],[0.8250334735653789],[0.818684344444872],[0.8341708542713567],[0.9231074118113357],[0.8341708542713567],[0.6357961301480921]]	 ; [[0.6414161832833104],[0.8253417461277093],[0.8196903332943124],[0.835678391959799],[0.9407098949038271],[0.835678391959799],[0.6414161832833104]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6299978758726731],[0.8287811944847432],[0.8217375039718904],[0.8427135678391959],[0.9385286535792187],[0.8427135678391959],[0.629997875872673]]	 ; [[0.6414161832833104],[0.8287811944847432],[0.8217375039718904],[0.8427135678391959],[0.9407098949038271],[0.8427135678391959],[0.6414161832833104]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6349251853666139],[0.8342285181759224],[0.8281007291085285],[0.8494137353433836],[0.9458762886597938],[0.8494137353433836],[0.634925185366614]]	 ; [[0.6414161832833104],[0.8342285181759224],[0.8281007291085285],[0.8494137353433836],[0.9458762886597938],[0.8494137353433836],[0.6414161832833104]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6447458905904498],[0.834353643147656],[0.8280697490682497],[0.8458961474036851],[0.9363600317208565],[0.8458961474036851],[0.6447458905904498]]	 ; [[0.6447458905904498],[0.834353643147656],[0.8281007291085285],[0.8494137353433836],[0.9458762886597938],[0.8494137353433836],[0.6447458905904498]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6366523192022514],[0.8402269723926532],[0.8367570753832468],[0.8582914572864322],[0.9579698651863601],[0.8582914572864322],[0.6366523192022513]]	 ; [[0.6447458905904498],[0.8402269723926532],[0.8367570753832468],[0.8582914572864322],[0.9579698651863601],[0.8582914572864322],[0.6447458905904498]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6607360780006966],[0.8433023162197252],[0.8379468070059184],[0.8541038525963149],[0.9409316154608524],[0.8541038525963149],[0.6607360780006964]]	 ; [[0.6607360780006966],[0.8433023162197252],[0.8379468070059184],[0.8582914572864322],[0.9579698651863601],[0.8582914572864322],[0.6607360780006964]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6800332024191437],[0.8436053144060683],[0.8396526457932285],[0.8489112227805695],[0.9248612212529739],[0.8489112227805695],[0.6800332024191436]]	 ; [[0.6800332024191437],[0.8436053144060683],[0.8396526457932285],[0.8582914572864322],[0.9579698651863601],[0.8582914572864322],[0.6800332024191436]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6887421893399611],[0.849303183002234],[0.8453635698341974],[0.8549413735343384],[0.9298036882807853],[0.8549413735343384],[0.6887421893399611]]	 ; [[0.6887421893399611],[0.849303183002234],[0.8453635698341974],[0.8582914572864322],[0.9579698651863601],[0.8582914572864322],[0.6887421893399611]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6980270643341054],[0.8327921918813576],[0.8372481083552146],[0.8289782244556114],[0.8879635137814793],[0.8289782244556114],[0.6980270643341053]]	 ; [[0.6980270643341054],[0.849303183002234],[0.8453635698341974],[0.8582914572864322],[0.9579698651863601],[0.8582914572864322],[0.6980270643341053]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6758336573359619],[0.8440706027504449],[0.8395357936968468],[0.8507537688442212],[0.929421094369548],[0.8507537688442212],[0.6758336573359619]]	 ; [[0.6980270643341054],[0.849303183002234],[0.8453635698341974],[0.8582914572864322],[0.9579698651863601],[0.8582914572864322],[0.6980270643341053]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6554598153955772],[0.8540292500057368],[0.8557103773596365],[0.8721943048576214],[0.9696669310071372],[0.8721943048576214],[0.6554598153955773]]	 ; [[0.6980270643341054],[0.8540292500057368],[0.8557103773596365],[0.8721943048576214],[0.9696669310071372],[0.8721943048576214],[0.6980270643341053]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.659174212930531],[0.8541573115397199],[0.8542299604654423],[0.8710217755443886],[0.9662965900079302],[0.8710217755443886],[0.659174212930531]]	 ; [[0.6980270643341054],[0.8541573115397199],[0.8557103773596365],[0.8721943048576214],[0.9696669310071372],[0.8721943048576214],[0.6980270643341053]]
