[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5],[0.773857058429366],[0.7138410085042747],[0.844891122278057],[1.0],[0.844891122278057],[0.5]]	 ; [[0.5],[0.773857058429366],[0.7138410085042747],[0.844891122278057],[1.0],[0.844891122278057],[0.5]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5],[0.7736204859766006],[0.7135579909598243],[0.8447236180904523],[1.0],[0.8447236180904523],[0.5]]	 ; [[0.5],[0.773857058429366],[0.7138410085042747],[0.844891122278057],[1.0],[0.844891122278057],[0.5]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5],[0.7736204859766006],[0.7135579909598243],[0.8447236180904523],[1.0],[0.8447236180904523],[0.5]]	 ; [[0.5],[0.773857058429366],[0.7138410085042747],[0.844891122278057],[1.0],[0.844891122278057],[0.5]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5],[0.773857058429366],[0.7138410085042747],[0.844891122278057],[1.0],[0.844891122278057],[0.5]]	 ; [[0.5],[0.773857058429366],[0.7138410085042747],[0.844891122278057],[1.0],[0.844891122278057],[0.5]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5],[0.773857058429366],[0.7138410085042747],[0.844891122278057],[1.0],[0.844891122278057],[0.5]]	 ; [[0.5],[0.773857058429366],[0.7138410085042747],[0.844891122278057],[1.0],[0.844891122278057],[0.5]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5],[0.7736204859766006],[0.7135579909598243],[0.8447236180904523],[1.0],[0.8447236180904523],[0.5]]	 ; [[0.5],[0.773857058429366],[0.7138410085042747],[0.844891122278057],[1.0],[0.844891122278057],[0.5]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5],[0.7740936487551998],[0.7141240821640306],[0.8450586264656617],[1.0],[0.8450586264656617],[0.5]]	 ; [[0.5],[0.7740936487551998],[0.7141240821640306],[0.8450586264656617],[1.0],[0.8450586264656617],[0.5]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5024985769630369],[0.7754680048005836],[0.8250240204640749],[0.8452261306532663],[0.999603410668253],[0.8452261306532663],[0.5024985769630369]]	 ; [[0.5024985769630369],[0.7754680048005836],[0.8250240204640749],[0.8452261306532663],[1.0],[0.8452261306532663],[0.5024985769630369]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5363205519292001],[0.7994685120361582],[0.8684739586557936],[0.8556113902847571],[0.9992069785884219],[0.8556113902847571],[0.5363205519292001]]	 ; [[0.5363205519292001],[0.7994685120361582],[0.8684739586557936],[0.8556113902847571],[1.0],[0.8556113902847571],[0.5363205519292001]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6004996206171864],[0.8367037773115623],[0.8699143205794106],[0.8716917922948074],[0.9936558287073751],[0.8716917922948074],[0.6004996206171864]]	 ; [[0.6004996206171864],[0.8367037773115623],[0.8699143205794106],[0.8716917922948074],[1.0],[0.8716917922948074],[0.6004996206171864]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6602108597453487],[0.8383203658862124],[0.832906520172608],[0.8469011725293132],[0.9309934562760261],[0.8469011725293132],[0.6602108597453485]]	 ; [[0.6602108597453487],[0.8383203658862124],[0.8699143205794106],[0.8716917922948074],[1.0],[0.8716917922948074],[0.6602108597453485]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6534166719477666],[0.8409724742236335],[0.8354218308254714],[0.8530988274706868],[0.9429024583663759],[0.8530988274706868],[0.6534166719477668]]	 ; [[0.6602108597453487],[0.8409724742236335],[0.8699143205794106],[0.8716917922948074],[1.0],[0.8716917922948074],[0.6602108597453485]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6740249519134425],[0.8250727666284573],[0.8271736794058909],[0.8231155778894472],[0.8901665344964313],[0.8231155778894472],[0.6740249519134425]]	 ; [[0.6740249519134425],[0.8409724742236335],[0.8699143205794106],[0.8716917922948074],[1.0],[0.8716917922948074],[0.6740249519134425]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6974681172338599],[0.8222101817880849],[0.8332800705502277],[0.8139028475711892],[0.8663493952012691],[0.8139028475711892],[0.6974681172338599]]	 ; [[0.6974681172338599],[0.8409724742236335],[0.8699143205794106],[0.8716917922948074],[1.0],[0.8716917922948074],[0.6974681172338599]]
