Results: 	[0.9306]	
Results: 	[0.9306, 0.9201]	
Results: 	[0.9306, 0.9201, 0.9619]	
Results: 	[0.9306, 0.9201, 0.9619, 0.9279]	
Results: 	[0.9306, 0.9201, 0.9619, 0.9279, 0.9411]	
Results: 	[0.9306, 0.9201, 0.9619, 0.9279, 0.9411, 0.9087]	
Results: 	[0.9306, 0.9201, 0.9619, 0.9279, 0.9411, 0.9087, 0.9613]	
Results: 	[0.9306, 0.9201, 0.9619, 0.9279, 0.9411, 0.9087, 0.9613, 0.9572]	
Results: 	[0.9306, 0.9201, 0.9619, 0.9279, 0.9411, 0.9087, 0.9613, 0.9572, 0.9586]	
Results: 	[0.9306, 0.9201, 0.9619, 0.9279, 0.9411, 0.9087, 0.9613, 0.9572, 0.9586, 0.9409]	
Results: 	[0.9306, 0.9201, 0.9619, 0.9279, 0.9411, 0.9087, 0.9613, 0.9572, 0.9586, 0.9409, 0.9489]	
Results: 	[0.9306, 0.9201, 0.9619, 0.9279, 0.9411, 0.9087, 0.9613, 0.9572, 0.9586, 0.9409, 0.9489, 0.9657]	
Results: 	[0.9306, 0.9201, 0.9619, 0.9279, 0.9411, 0.9087, 0.9613, 0.9572, 0.9586, 0.9409, 0.9489, 0.9657, 0.9631]	
Results: 	[0.9306, 0.9201, 0.9619, 0.9279, 0.9411, 0.9087, 0.9613, 0.9572, 0.9586, 0.9409, 0.9489, 0.9657, 0.9631, 0.9471]	
Results: 	[0.9306, 0.9201, 0.9619, 0.9279, 0.9411, 0.9087, 0.9613, 0.9572, 0.9586, 0.9409, 0.9489, 0.9657, 0.9631, 0.9471, 0.9489]	
Results: 	[0.9306, 0.9201, 0.9619, 0.9279, 0.9411, 0.9087, 0.9613, 0.9572, 0.9586, 0.9409, 0.9489, 0.9657, 0.9631, 0.9471, 0.9489, 0.9542]	
Results: 	[0.9306, 0.9201, 0.9619, 0.9279, 0.9411, 0.9087, 0.9613, 0.9572, 0.9586, 0.9409, 0.9489, 0.9657, 0.9631, 0.9471, 0.9489, 0.9542, 0.9241]	
Results: 	[0.9306, 0.9201, 0.9619, 0.9279, 0.9411, 0.9087, 0.9613, 0.9572, 0.9586, 0.9409, 0.9489, 0.9657, 0.9631, 0.9471, 0.9489, 0.9542, 0.9241, 0.9566]	
Results: 	[0.9306, 0.9201, 0.9619, 0.9279, 0.9411, 0.9087, 0.9613, 0.9572, 0.9586, 0.9409, 0.9489, 0.9657, 0.9631, 0.9471, 0.9489, 0.9542, 0.9241, 0.9566, 0.9447]	
