Results: 	[0.7218]	
Results: 	[0.7218, 0.714]	
Results: 	[0.7218, 0.714, 0.6821]	
Results: 	[0.7218, 0.714, 0.6821, 0.7159]	
Results: 	[0.7218, 0.714, 0.6821, 0.7159, 0.7245]	
Results: 	[0.7218, 0.714, 0.6821, 0.7159, 0.7245, 0.7164]	
Results: 	[0.7218, 0.714, 0.6821, 0.7159, 0.7245, 0.7164, 0.7195]	
Results: 	[0.7218, 0.714, 0.6821, 0.7159, 0.7245, 0.7164, 0.7195, 0.6967]	
Results: 	[0.7218, 0.714, 0.6821, 0.7159, 0.7245, 0.7164, 0.7195, 0.6967, 0.7196]	
Results: 	[0.7218, 0.714, 0.6821, 0.7159, 0.7245, 0.7164, 0.7195, 0.6967, 0.7196, 0.7087]	
Results: 	[0.7218, 0.714, 0.6821, 0.7159, 0.7245, 0.7164, 0.7195, 0.6967, 0.7196, 0.7087, 0.6998]	
Results: 	[0.7218, 0.714, 0.6821, 0.7159, 0.7245, 0.7164, 0.7195, 0.6967, 0.7196, 0.7087, 0.6998, 0.7059]	
Results: 	[0.7218, 0.714, 0.6821, 0.7159, 0.7245, 0.7164, 0.7195, 0.6967, 0.7196, 0.7087, 0.6998, 0.7059, 0.7182]	
Results: 	[0.7218, 0.714, 0.6821, 0.7159, 0.7245, 0.7164, 0.7195, 0.6967, 0.7196, 0.7087, 0.6998, 0.7059, 0.7182, 0.7161]	
Results: 	[0.7218, 0.714, 0.6821, 0.7159, 0.7245, 0.7164, 0.7195, 0.6967, 0.7196, 0.7087, 0.6998, 0.7059, 0.7182, 0.7161, 0.7155]	
Results: 	[0.7218, 0.714, 0.6821, 0.7159, 0.7245, 0.7164, 0.7195, 0.6967, 0.7196, 0.7087, 0.6998, 0.7059, 0.7182, 0.7161, 0.7155, 0.7173]	
Results: 	[0.7218, 0.714, 0.6821, 0.7159, 0.7245, 0.7164, 0.7195, 0.6967, 0.7196, 0.7087, 0.6998, 0.7059, 0.7182, 0.7161, 0.7155, 0.7173, 0.6825]	
Results: 	[0.7218, 0.714, 0.6821, 0.7159, 0.7245, 0.7164, 0.7195, 0.6967, 0.7196, 0.7087, 0.6998, 0.7059, 0.7182, 0.7161, 0.7155, 0.7173, 0.6825, 0.7115]	
Results: 	[0.7218, 0.714, 0.6821, 0.7159, 0.7245, 0.7164, 0.7195, 0.6967, 0.7196, 0.7087, 0.6998, 0.7059, 0.7182, 0.7161, 0.7155, 0.7173, 0.6825, 0.7115, 0.7007]	
Results: 	[0.7218, 0.714, 0.6821, 0.7159, 0.7245, 0.7164, 0.7195, 0.6967, 0.7196, 0.7087, 0.6998, 0.7059, 0.7182, 0.7161, 0.7155, 0.7173, 0.6825, 0.7115, 0.7007, 0.6964]	
Results: 	[0.7218, 0.714, 0.6821, 0.7159, 0.7245, 0.7164, 0.7195, 0.6967, 0.7196, 0.7087, 0.6998, 0.7059, 0.7182, 0.7161, 0.7155, 0.7173, 0.6825, 0.7115, 0.7007, 0.6964, 0.7107]	
Results: 	[0.7218, 0.714, 0.6821, 0.7159, 0.7245, 0.7164, 0.7195, 0.6967, 0.7196, 0.7087, 0.6998, 0.7059, 0.7182, 0.7161, 0.7155, 0.7173, 0.6825, 0.7115, 0.7007, 0.6964, 0.7107, 0.7151]	
Results: 	[0.7218, 0.714, 0.6821, 0.7159, 0.7245, 0.7164, 0.7195, 0.6967, 0.7196, 0.7087, 0.6998, 0.7059, 0.7182, 0.7161, 0.7155, 0.7173, 0.6825, 0.7115, 0.7007, 0.6964, 0.7107, 0.7151, 0.7226]	
Results: 	[0.7218, 0.714, 0.6821, 0.7159, 0.7245, 0.7164, 0.7195, 0.6967, 0.7196, 0.7087, 0.6998, 0.7059, 0.7182, 0.7161, 0.7155, 0.7173, 0.6825, 0.7115, 0.7007, 0.6964, 0.7107, 0.7151, 0.7226, 0.7088]	
Results: 	[0.7218, 0.714, 0.6821, 0.7159, 0.7245, 0.7164, 0.7195, 0.6967, 0.7196, 0.7087, 0.6998, 0.7059, 0.7182, 0.7161, 0.7155, 0.7173, 0.6825, 0.7115, 0.7007, 0.6964, 0.7107, 0.7151, 0.7226, 0.7088, 0.6871]	
Results: 	[0.7218, 0.714, 0.6821, 0.7159, 0.7245, 0.7164, 0.7195, 0.6967, 0.7196, 0.7087, 0.6998, 0.7059, 0.7182, 0.7161, 0.7155, 0.7173, 0.6825, 0.7115, 0.7007, 0.6964, 0.7107, 0.7151, 0.7226, 0.7088, 0.6871, 0.7137]	
Results: 	[0.7218, 0.714, 0.6821, 0.7159, 0.7245, 0.7164, 0.7195, 0.6967, 0.7196, 0.7087, 0.6998, 0.7059, 0.7182, 0.7161, 0.7155, 0.7173, 0.6825, 0.7115, 0.7007, 0.6964, 0.7107, 0.7151, 0.7226, 0.7088, 0.6871, 0.7137, 0.7202]	
Results: 	[0.7218, 0.714, 0.6821, 0.7159, 0.7245, 0.7164, 0.7195, 0.6967, 0.7196, 0.7087, 0.6998, 0.7059, 0.7182, 0.7161, 0.7155, 0.7173, 0.6825, 0.7115, 0.7007, 0.6964, 0.7107, 0.7151, 0.7226, 0.7088, 0.6871, 0.7137, 0.7202, 0.6951]	
Results: 	[0.7218, 0.714, 0.6821, 0.7159, 0.7245, 0.7164, 0.7195, 0.6967, 0.7196, 0.7087, 0.6998, 0.7059, 0.7182, 0.7161, 0.7155, 0.7173, 0.6825, 0.7115, 0.7007, 0.6964, 0.7107, 0.7151, 0.7226, 0.7088, 0.6871, 0.7137, 0.7202, 0.6951, 0.7124]	
Results: 	[0.7218, 0.714, 0.6821, 0.7159, 0.7245, 0.7164, 0.7195, 0.6967, 0.7196, 0.7087, 0.6998, 0.7059, 0.7182, 0.7161, 0.7155, 0.7173, 0.6825, 0.7115, 0.7007, 0.6964, 0.7107, 0.7151, 0.7226, 0.7088, 0.6871, 0.7137, 0.7202, 0.6951, 0.7124, 0.7108]
30 Support Sets: (Mean:0.70932, SD:0.011689706642140777) | 	













