Results: 	[0.8388]	
Results: 	[0.8388, 0.8498]	
Results: 	[0.8388, 0.8498, 0.8224]	
Results: 	[0.8388, 0.8498, 0.8224, 0.7352]	
Results: 	[0.8388, 0.8498, 0.8224, 0.7352, 0.8139]	
Results: 	[0.8388, 0.8498, 0.8224, 0.7352, 0.8139, 0.8386]	
Results: 	[0.8388, 0.8498, 0.8224, 0.7352, 0.8139, 0.8386, 0.7558]	
Results: 	[0.8388, 0.8498, 0.8224, 0.7352, 0.8139, 0.8386, 0.7558, 0.8319]	
Results: 	[0.8388, 0.8498, 0.8224, 0.7352, 0.8139, 0.8386, 0.7558, 0.8319, 0.77]	
Results: 	[0.8388, 0.8498, 0.8224, 0.7352, 0.8139, 0.8386, 0.7558, 0.8319, 0.77, 0.8449]	
Results: 	[0.8388, 0.8498, 0.8224, 0.7352, 0.8139, 0.8386, 0.7558, 0.8319, 0.77, 0.8449, 0.7968]	
Results: 	[0.8388, 0.8498, 0.8224, 0.7352, 0.8139, 0.8386, 0.7558, 0.8319, 0.77, 0.8449, 0.7968, 0.6977]	
Results: 	[0.8388, 0.8498, 0.8224, 0.7352, 0.8139, 0.8386, 0.7558, 0.8319, 0.77, 0.8449, 0.7968, 0.6977, 0.8051]	
Results: 	[0.8388, 0.8498, 0.8224, 0.7352, 0.8139, 0.8386, 0.7558, 0.8319, 0.77, 0.8449, 0.7968, 0.6977, 0.8051, 0.8222]	
Results: 	[0.8388, 0.8498, 0.8224, 0.7352, 0.8139, 0.8386, 0.7558, 0.8319, 0.77, 0.8449, 0.7968, 0.6977, 0.8051, 0.8222, 0.8439]	
Results: 	[0.8388, 0.8498, 0.8224, 0.7352, 0.8139, 0.8386, 0.7558, 0.8319, 0.77, 0.8449, 0.7968, 0.6977, 0.8051, 0.8222, 0.8439, 0.8196]	
Results: 	[0.8388, 0.8498, 0.8224, 0.7352, 0.8139, 0.8386, 0.7558, 0.8319, 0.77, 0.8449, 0.7968, 0.6977, 0.8051, 0.8222, 0.8439, 0.8196, 0.8234]	
Results: 	[0.8388, 0.8498, 0.8224, 0.7352, 0.8139, 0.8386, 0.7558, 0.8319, 0.77, 0.8449, 0.7968, 0.6977, 0.8051, 0.8222, 0.8439, 0.8196, 0.8234, 0.6396]	
Results: 	[0.8388, 0.8498, 0.8224, 0.7352, 0.8139, 0.8386, 0.7558, 0.8319, 0.77, 0.8449, 0.7968, 0.6977, 0.8051, 0.8222, 0.8439, 0.8196, 0.8234, 0.6396, 0.781]	
Results: 	[0.8388, 0.8498, 0.8224, 0.7352, 0.8139, 0.8386, 0.7558, 0.8319, 0.77, 0.8449, 0.7968, 0.6977, 0.8051, 0.8222, 0.8439, 0.8196, 0.8234, 0.6396, 0.781, 0.8206]	
Results: 	[0.8388, 0.8498, 0.8224, 0.7352, 0.8139, 0.8386, 0.7558, 0.8319, 0.77, 0.8449, 0.7968, 0.6977, 0.8051, 0.8222, 0.8439, 0.8196, 0.8234, 0.6396, 0.781, 0.8206, 0.835]	
Results: 	[0.8388, 0.8498, 0.8224, 0.7352, 0.8139, 0.8386, 0.7558, 0.8319, 0.77, 0.8449, 0.7968, 0.6977, 0.8051, 0.8222, 0.8439, 0.8196, 0.8234, 0.6396, 0.781, 0.8206, 0.835, 0.8403]	
Results: 	[0.8388, 0.8498, 0.8224, 0.7352, 0.8139, 0.8386, 0.7558, 0.8319, 0.77, 0.8449, 0.7968, 0.6977, 0.8051, 0.8222, 0.8439, 0.8196, 0.8234, 0.6396, 0.781, 0.8206, 0.835, 0.8403, 0.8667]	
