Results: 	[0.7272]	
Results: 	[0.7272, 0.7267]	
Results: 	[0.7272, 0.7267, 0.7313]	
Results: 	[0.7272, 0.7267, 0.7313, 0.7273]	
Results: 	[0.7272, 0.7267, 0.7313, 0.7273, 0.7267]	
Results: 	[0.7272, 0.7267, 0.7313, 0.7273, 0.7267, 0.7283]	
Results: 	[0.7272, 0.7267, 0.7313, 0.7273, 0.7267, 0.7283, 0.7266]	
Results: 	[0.7272, 0.7267, 0.7313, 0.7273, 0.7267, 0.7283, 0.7266, 0.7251]	
Results: 	[0.7272, 0.7267, 0.7313, 0.7273, 0.7267, 0.7283, 0.7266, 0.7251, 0.7316]	
Results: 	[0.7272, 0.7267, 0.7313, 0.7273, 0.7267, 0.7283, 0.7266, 0.7251, 0.7316, 0.7338]	
Results: 	[0.7272, 0.7267, 0.7313, 0.7273, 0.7267, 0.7283, 0.7266, 0.7251, 0.7316, 0.7338, 0.7301]	
Results: 	[0.7272, 0.7267, 0.7313, 0.7273, 0.7267, 0.7283, 0.7266, 0.7251, 0.7316, 0.7338, 0.7301, 0.7238]	
Results: 	[0.7272, 0.7267, 0.7313, 0.7273, 0.7267, 0.7283, 0.7266, 0.7251, 0.7316, 0.7338, 0.7301, 0.7238, 0.7297]	
Results: 	[0.7272, 0.7267, 0.7313, 0.7273, 0.7267, 0.7283, 0.7266, 0.7251, 0.7316, 0.7338, 0.7301, 0.7238, 0.7297, 0.7331]	
Results: 	[0.7272, 0.7267, 0.7313, 0.7273, 0.7267, 0.7283, 0.7266, 0.7251, 0.7316, 0.7338, 0.7301, 0.7238, 0.7297, 0.7331, 0.7299]	
Results: 	[0.7272, 0.7267, 0.7313, 0.7273, 0.7267, 0.7283, 0.7266, 0.7251, 0.7316, 0.7338, 0.7301, 0.7238, 0.7297, 0.7331, 0.7299, 0.7256]	
Results: 	[0.7272, 0.7267, 0.7313, 0.7273, 0.7267, 0.7283, 0.7266, 0.7251, 0.7316, 0.7338, 0.7301, 0.7238, 0.7297, 0.7331, 0.7299, 0.7256, 0.7281]	
Results: 	[0.7272, 0.7267, 0.7313, 0.7273, 0.7267, 0.7283, 0.7266, 0.7251, 0.7316, 0.7338, 0.7301, 0.7238, 0.7297, 0.7331, 0.7299, 0.7256, 0.7281, 0.7271]	
Results: 	[0.7272, 0.7267, 0.7313, 0.7273, 0.7267, 0.7283, 0.7266, 0.7251, 0.7316, 0.7338, 0.7301, 0.7238, 0.7297, 0.7331, 0.7299, 0.7256, 0.7281, 0.7271, 0.726]	
Results: 	[0.7272, 0.7267, 0.7313, 0.7273, 0.7267, 0.7283, 0.7266, 0.7251, 0.7316, 0.7338, 0.7301, 0.7238, 0.7297, 0.7331, 0.7299, 0.7256, 0.7281, 0.7271, 0.726, 0.729]	
Results: 	[0.7272, 0.7267, 0.7313, 0.7273, 0.7267, 0.7283, 0.7266, 0.7251, 0.7316, 0.7338, 0.7301, 0.7238, 0.7297, 0.7331, 0.7299, 0.7256, 0.7281, 0.7271, 0.726, 0.729, 0.7295]	
Results: 	[0.7272, 0.7267, 0.7313, 0.7273, 0.7267, 0.7283, 0.7266, 0.7251, 0.7316, 0.7338, 0.7301, 0.7238, 0.7297, 0.7331, 0.7299, 0.7256, 0.7281, 0.7271, 0.726, 0.729, 0.7295, 0.7262]	
Results: 	[0.7272, 0.7267, 0.7313, 0.7273, 0.7267, 0.7283, 0.7266, 0.7251, 0.7316, 0.7338, 0.7301, 0.7238, 0.7297, 0.7331, 0.7299, 0.7256, 0.7281, 0.7271, 0.726, 0.729, 0.7295, 0.7262, 0.7251]	
Results: 	[0.7272, 0.7267, 0.7313, 0.7273, 0.7267, 0.7283, 0.7266, 0.7251, 0.7316, 0.7338, 0.7301, 0.7238, 0.7297, 0.7331, 0.7299, 0.7256, 0.7281, 0.7271, 0.726, 0.729, 0.7295, 0.7262, 0.7251, 0.7252]	
Results: 	[0.7272, 0.7267, 0.7313, 0.7273, 0.7267, 0.7283, 0.7266, 0.7251, 0.7316, 0.7338, 0.7301, 0.7238, 0.7297, 0.7331, 0.7299, 0.7256, 0.7281, 0.7271, 0.726, 0.729, 0.7295, 0.7262, 0.7251, 0.7252, 0.7275]	
Results: 	[0.7272, 0.7267, 0.7313, 0.7273, 0.7267, 0.7283, 0.7266, 0.7251, 0.7316, 0.7338, 0.7301, 0.7238, 0.7297, 0.7331, 0.7299, 0.7256, 0.7281, 0.7271, 0.726, 0.729, 0.7295, 0.7262, 0.7251, 0.7252, 0.7275, 0.7249]	
Results: 	[0.7272, 0.7267, 0.7313, 0.7273, 0.7267, 0.7283, 0.7266, 0.7251, 0.7316, 0.7338, 0.7301, 0.7238, 0.7297, 0.7331, 0.7299, 0.7256, 0.7281, 0.7271, 0.726, 0.729, 0.7295, 0.7262, 0.7251, 0.7252, 0.7275, 0.7249, 0.7273]	
Results: 	[0.7272, 0.7267, 0.7313, 0.7273, 0.7267, 0.7283, 0.7266, 0.7251, 0.7316, 0.7338, 0.7301, 0.7238, 0.7297, 0.7331, 0.7299, 0.7256, 0.7281, 0.7271, 0.726, 0.729, 0.7295, 0.7262, 0.7251, 0.7252, 0.7275, 0.7249, 0.7273, 0.7249]	
Results: 	[0.7272, 0.7267, 0.7313, 0.7273, 0.7267, 0.7283, 0.7266, 0.7251, 0.7316, 0.7338, 0.7301, 0.7238, 0.7297, 0.7331, 0.7299, 0.7256, 0.7281, 0.7271, 0.726, 0.729, 0.7295, 0.7262, 0.7251, 0.7252, 0.7275, 0.7249, 0.7273, 0.7249, 0.7276]	
Results: 	[0.7272, 0.7267, 0.7313, 0.7273, 0.7267, 0.7283, 0.7266, 0.7251, 0.7316, 0.7338, 0.7301, 0.7238, 0.7297, 0.7331, 0.7299, 0.7256, 0.7281, 0.7271, 0.726, 0.729, 0.7295, 0.7262, 0.7251, 0.7252, 0.7275, 0.7249, 0.7273, 0.7249, 0.7276, 0.7297]
30 Support Sets: (Mean:0.72783, SD:0.0025084890355310165) | 	

























