Results: 	[0.5366]	
Results: 	[0.5366, 0.5349]	
Results: 	[0.5366, 0.5349, 0.5536]	
Results: 	[0.5366, 0.5349, 0.5536, 0.5225]	
Results: 	[0.5366, 0.5349, 0.5536, 0.5225, 0.5252]	
Results: 	[0.5366, 0.5349, 0.5536, 0.5225, 0.5252, 0.5225]	
Results: 	[0.5366, 0.5349, 0.5536, 0.5225, 0.5252, 0.5225, 0.536]	
Results: 	[0.5366, 0.5349, 0.5536, 0.5225, 0.5252, 0.5225, 0.536, 0.529]	
Results: 	[0.5366, 0.5349, 0.5536, 0.5225, 0.5252, 0.5225, 0.536, 0.529, 0.5575]	
Results: 	[0.5366, 0.5349, 0.5536, 0.5225, 0.5252, 0.5225, 0.536, 0.529, 0.5575, 0.5736]	
Results: 	[0.5366, 0.5349, 0.5536, 0.5225, 0.5252, 0.5225, 0.536, 0.529, 0.5575, 0.5736, 0.5511]	
Results: 	[0.5366, 0.5349, 0.5536, 0.5225, 0.5252, 0.5225, 0.536, 0.529, 0.5575, 0.5736, 0.5511, 0.5306]	
Results: 	[0.5366, 0.5349, 0.5536, 0.5225, 0.5252, 0.5225, 0.536, 0.529, 0.5575, 0.5736, 0.5511, 0.5306, 0.5521]	
Results: 	[0.5366, 0.5349, 0.5536, 0.5225, 0.5252, 0.5225, 0.536, 0.529, 0.5575, 0.5736, 0.5511, 0.5306, 0.5521, 0.5628]	
Results: 	[0.5366, 0.5349, 0.5536, 0.5225, 0.5252, 0.5225, 0.536, 0.529, 0.5575, 0.5736, 0.5511, 0.5306, 0.5521, 0.5628, 0.5542]	
Results: 	[0.5366, 0.5349, 0.5536, 0.5225, 0.5252, 0.5225, 0.536, 0.529, 0.5575, 0.5736, 0.5511, 0.5306, 0.5521, 0.5628, 0.5542, 0.5333]	
Results: 	[0.5366, 0.5349, 0.5536, 0.5225, 0.5252, 0.5225, 0.536, 0.529, 0.5575, 0.5736, 0.5511, 0.5306, 0.5521, 0.5628, 0.5542, 0.5333, 0.5446]	
Results: 	[0.5366, 0.5349, 0.5536, 0.5225, 0.5252, 0.5225, 0.536, 0.529, 0.5575, 0.5736, 0.5511, 0.5306, 0.5521, 0.5628, 0.5542, 0.5333, 0.5446, 0.5295]	
Results: 	[0.5366, 0.5349, 0.5536, 0.5225, 0.5252, 0.5225, 0.536, 0.529, 0.5575, 0.5736, 0.5511, 0.5306, 0.5521, 0.5628, 0.5542, 0.5333, 0.5446, 0.5295, 0.5225]	
Results: 	[0.5366, 0.5349, 0.5536, 0.5225, 0.5252, 0.5225, 0.536, 0.529, 0.5575, 0.5736, 0.5511, 0.5306, 0.5521, 0.5628, 0.5542, 0.5333, 0.5446, 0.5295, 0.5225, 0.522]	
Results: 	[0.5366, 0.5349, 0.5536, 0.5225, 0.5252, 0.5225, 0.536, 0.529, 0.5575, 0.5736, 0.5511, 0.5306, 0.5521, 0.5628, 0.5542, 0.5333, 0.5446, 0.5295, 0.5225, 0.522, 0.5472]	
Results: 	[0.5366, 0.5349, 0.5536, 0.5225, 0.5252, 0.5225, 0.536, 0.529, 0.5575, 0.5736, 0.5511, 0.5306, 0.5521, 0.5628, 0.5542, 0.5333, 0.5446, 0.5295, 0.5225, 0.522, 0.5472, 0.5343]	
Results: 	[0.5366, 0.5349, 0.5536, 0.5225, 0.5252, 0.5225, 0.536, 0.529, 0.5575, 0.5736, 0.5511, 0.5306, 0.5521, 0.5628, 0.5542, 0.5333, 0.5446, 0.5295, 0.5225, 0.522, 0.5472, 0.5343, 0.5306]	
Results: 	[0.5366, 0.5349, 0.5536, 0.5225, 0.5252, 0.5225, 0.536, 0.529, 0.5575, 0.5736, 0.5511, 0.5306, 0.5521, 0.5628, 0.5542, 0.5333, 0.5446, 0.5295, 0.5225, 0.522, 0.5472, 0.5343, 0.5306, 0.5296]	
Results: 	[0.5366, 0.5349, 0.5536, 0.5225, 0.5252, 0.5225, 0.536, 0.529, 0.5575, 0.5736, 0.5511, 0.5306, 0.5521, 0.5628, 0.5542, 0.5333, 0.5446, 0.5295, 0.5225, 0.522, 0.5472, 0.5343, 0.5306, 0.5296, 0.5134]	
Results: 	[0.5366, 0.5349, 0.5536, 0.5225, 0.5252, 0.5225, 0.536, 0.529, 0.5575, 0.5736, 0.5511, 0.5306, 0.5521, 0.5628, 0.5542, 0.5333, 0.5446, 0.5295, 0.5225, 0.522, 0.5472, 0.5343, 0.5306, 0.5296, 0.5134, 0.5269]	
Results: 	[0.5366, 0.5349, 0.5536, 0.5225, 0.5252, 0.5225, 0.536, 0.529, 0.5575, 0.5736, 0.5511, 0.5306, 0.5521, 0.5628, 0.5542, 0.5333, 0.5446, 0.5295, 0.5225, 0.522, 0.5472, 0.5343, 0.5306, 0.5296, 0.5134, 0.5269, 0.5408]	
Results: 	[0.5366, 0.5349, 0.5536, 0.5225, 0.5252, 0.5225, 0.536, 0.529, 0.5575, 0.5736, 0.5511, 0.5306, 0.5521, 0.5628, 0.5542, 0.5333, 0.5446, 0.5295, 0.5225, 0.522, 0.5472, 0.5343, 0.5306, 0.5296, 0.5134, 0.5269, 0.5408, 0.529]	
Results: 	[0.5366, 0.5349, 0.5536, 0.5225, 0.5252, 0.5225, 0.536, 0.529, 0.5575, 0.5736, 0.5511, 0.5306, 0.5521, 0.5628, 0.5542, 0.5333, 0.5446, 0.5295, 0.5225, 0.522, 0.5472, 0.5343, 0.5306, 0.5296, 0.5134, 0.5269, 0.5408, 0.529, 0.5225]	
Results: 	[0.5366, 0.5349, 0.5536, 0.5225, 0.5252, 0.5225, 0.536, 0.529, 0.5575, 0.5736, 0.5511, 0.5306, 0.5521, 0.5628, 0.5542, 0.5333, 0.5446, 0.5295, 0.5225, 0.522, 0.5472, 0.5343, 0.5306, 0.5296, 0.5134, 0.5269, 0.5408, 0.529, 0.5225, 0.5587]
30 Support Sets: (Mean:0.53757, SD:0.014707191531989405) | 	

























