Results: 	[0.7828]	
Results: 	[0.7828, 0.9139]	
Results: 	[0.7828, 0.9139, 0.957]	
Results: 	[0.7828, 0.9139, 0.957, 0.8286]	
Results: 	[0.7828, 0.9139, 0.957, 0.8286, 0.8998]	
Results: 	[0.7828, 0.9139, 0.957, 0.8286, 0.8998, 0.7772]	
Results: 	[0.7828, 0.9139, 0.957, 0.8286, 0.8998, 0.7772, 0.8752]	
Results: 	[0.7828, 0.9139, 0.957, 0.8286, 0.8998, 0.7772, 0.8752, 0.944]	
Results: 	[0.7828, 0.9139, 0.957, 0.8286, 0.8998, 0.7772, 0.8752, 0.944, 0.6294]	
Results: 	[0.7828, 0.9139, 0.957, 0.8286, 0.8998, 0.7772, 0.8752, 0.944, 0.6294, 0.9026]	
Results: 	[0.7828, 0.9139, 0.957, 0.8286, 0.8998, 0.7772, 0.8752, 0.944, 0.6294, 0.9026, 0.6498]	
Results: 	[0.7828, 0.9139, 0.957, 0.8286, 0.8998, 0.7772, 0.8752, 0.944, 0.6294, 0.9026, 0.6498, 0.884]	
Results: 	[0.7828, 0.9139, 0.957, 0.8286, 0.8998, 0.7772, 0.8752, 0.944, 0.6294, 0.9026, 0.6498, 0.884, 0.4215]	
Results: 	[0.7828, 0.9139, 0.957, 0.8286, 0.8998, 0.7772, 0.8752, 0.944, 0.6294, 0.9026, 0.6498, 0.884, 0.4215, 0.9322]	
Results: 	[0.7828, 0.9139, 0.957, 0.8286, 0.8998, 0.7772, 0.8752, 0.944, 0.6294, 0.9026, 0.6498, 0.884, 0.4215, 0.9322, 0.9357]	
Results: 	[0.7828, 0.9139, 0.957, 0.8286, 0.8998, 0.7772, 0.8752, 0.944, 0.6294, 0.9026, 0.6498, 0.884, 0.4215, 0.9322, 0.9357, 0.8792]	
Results: 	[0.7828, 0.9139, 0.957, 0.8286, 0.8998, 0.7772, 0.8752, 0.944, 0.6294, 0.9026, 0.6498, 0.884, 0.4215, 0.9322, 0.9357, 0.8792, 0.9324]	
Results: 	[0.7828, 0.9139, 0.957, 0.8286, 0.8998, 0.7772, 0.8752, 0.944, 0.6294, 0.9026, 0.6498, 0.884, 0.4215, 0.9322, 0.9357, 0.8792, 0.9324, 0.9455]	
Results: 	[0.7828, 0.9139, 0.957, 0.8286, 0.8998, 0.7772, 0.8752, 0.944, 0.6294, 0.9026, 0.6498, 0.884, 0.4215, 0.9322, 0.9357, 0.8792, 0.9324, 0.9455, 0.9395]	
