Results: 	[0.9732]	
Results: 	[0.9732, 0.9674]	
Results: 	[0.9732, 0.9674, 0.9743]	
Results: 	[0.9732, 0.9674, 0.9743, 0.9744]	
Results: 	[0.9732, 0.9674, 0.9743, 0.9744, 0.9729]	
Results: 	[0.9732, 0.9674, 0.9743, 0.9744, 0.9729, 0.974]	
Results: 	[0.9732, 0.9674, 0.9743, 0.9744, 0.9729, 0.974, 0.9749]	
Results: 	[0.9732, 0.9674, 0.9743, 0.9744, 0.9729, 0.974, 0.9749, 0.9749]	
Results: 	[0.9732, 0.9674, 0.9743, 0.9744, 0.9729, 0.974, 0.9749, 0.9749, 0.9731]	
Results: 	[0.9732, 0.9674, 0.9743, 0.9744, 0.9729, 0.974, 0.9749, 0.9749, 0.9731, 0.9718]	
Results: 	[0.9732, 0.9674, 0.9743, 0.9744, 0.9729, 0.974, 0.9749, 0.9749, 0.9731, 0.9718, 0.9689]	
Results: 	[0.9732, 0.9674, 0.9743, 0.9744, 0.9729, 0.974, 0.9749, 0.9749, 0.9731, 0.9718, 0.9689, 0.9563]	
Results: 	[0.9732, 0.9674, 0.9743, 0.9744, 0.9729, 0.974, 0.9749, 0.9749, 0.9731, 0.9718, 0.9689, 0.9563, 0.9751]	
Results: 	[0.9732, 0.9674, 0.9743, 0.9744, 0.9729, 0.974, 0.9749, 0.9749, 0.9731, 0.9718, 0.9689, 0.9563, 0.9751, 0.9746]	
Results: 	[0.9732, 0.9674, 0.9743, 0.9744, 0.9729, 0.974, 0.9749, 0.9749, 0.9731, 0.9718, 0.9689, 0.9563, 0.9751, 0.9746, 0.9742]	
Results: 	[0.9732, 0.9674, 0.9743, 0.9744, 0.9729, 0.974, 0.9749, 0.9749, 0.9731, 0.9718, 0.9689, 0.9563, 0.9751, 0.9746, 0.9742, 0.9735]	
Results: 	[0.9732, 0.9674, 0.9743, 0.9744, 0.9729, 0.974, 0.9749, 0.9749, 0.9731, 0.9718, 0.9689, 0.9563, 0.9751, 0.9746, 0.9742, 0.9735, 0.9743]	
Results: 	[0.9732, 0.9674, 0.9743, 0.9744, 0.9729, 0.974, 0.9749, 0.9749, 0.9731, 0.9718, 0.9689, 0.9563, 0.9751, 0.9746, 0.9742, 0.9735, 0.9743, 0.9728]	
Results: 	[0.9732, 0.9674, 0.9743, 0.9744, 0.9729, 0.974, 0.9749, 0.9749, 0.9731, 0.9718, 0.9689, 0.9563, 0.9751, 0.9746, 0.9742, 0.9735, 0.9743, 0.9728, 0.9725]	
Results: 	[0.9732, 0.9674, 0.9743, 0.9744, 0.9729, 0.974, 0.9749, 0.9749, 0.9731, 0.9718, 0.9689, 0.9563, 0.9751, 0.9746, 0.9742, 0.9735, 0.9743, 0.9728, 0.9725, 0.9725]	
Results: 	[0.9732, 0.9674, 0.9743, 0.9744, 0.9729, 0.974, 0.9749, 0.9749, 0.9731, 0.9718, 0.9689, 0.9563, 0.9751, 0.9746, 0.9742, 0.9735, 0.9743, 0.9728, 0.9725, 0.9725, 0.9693]	
Results: 	[0.9732, 0.9674, 0.9743, 0.9744, 0.9729, 0.974, 0.9749, 0.9749, 0.9731, 0.9718, 0.9689, 0.9563, 0.9751, 0.9746, 0.9742, 0.9735, 0.9743, 0.9728, 0.9725, 0.9725, 0.9693, 0.9742]	
Results: 	[0.9732, 0.9674, 0.9743, 0.9744, 0.9729, 0.974, 0.9749, 0.9749, 0.9731, 0.9718, 0.9689, 0.9563, 0.9751, 0.9746, 0.9742, 0.9735, 0.9743, 0.9728, 0.9725, 0.9725, 0.9693, 0.9742, 0.9812]	
Results: 	[0.9732, 0.9674, 0.9743, 0.9744, 0.9729, 0.974, 0.9749, 0.9749, 0.9731, 0.9718, 0.9689, 0.9563, 0.9751, 0.9746, 0.9742, 0.9735, 0.9743, 0.9728, 0.9725, 0.9725, 0.9693, 0.9742, 0.9812, 0.9747]	
