Results: 	[0.9457]	
Results: 	[0.9457, 0.9496]	
Results: 	[0.9457, 0.9496, 0.8908]	
Results: 	[0.9457, 0.9496, 0.8908, 0.8937]	
Results: 	[0.9457, 0.9496, 0.8908, 0.8937, 0.9219]	
Results: 	[0.9457, 0.9496, 0.8908, 0.8937, 0.9219, 0.9106]	
Results: 	[0.9457, 0.9496, 0.8908, 0.8937, 0.9219, 0.9106, 0.9573]	
Results: 	[0.9457, 0.9496, 0.8908, 0.8937, 0.9219, 0.9106, 0.9573, 0.9352]	
Results: 	[0.9457, 0.9496, 0.8908, 0.8937, 0.9219, 0.9106, 0.9573, 0.9352, 0.9017]	
Results: 	[0.9457, 0.9496, 0.8908, 0.8937, 0.9219, 0.9106, 0.9573, 0.9352, 0.9017, 0.9437]	
Results: 	[0.9457, 0.9496, 0.8908, 0.8937, 0.9219, 0.9106, 0.9573, 0.9352, 0.9017, 0.9437, 0.9035]	
Results: 	[0.9457, 0.9496, 0.8908, 0.8937, 0.9219, 0.9106, 0.9573, 0.9352, 0.9017, 0.9437, 0.9035, 0.9458]	
Results: 	[0.9457, 0.9496, 0.8908, 0.8937, 0.9219, 0.9106, 0.9573, 0.9352, 0.9017, 0.9437, 0.9035, 0.9458, 0.9476]	
Results: 	[0.9457, 0.9496, 0.8908, 0.8937, 0.9219, 0.9106, 0.9573, 0.9352, 0.9017, 0.9437, 0.9035, 0.9458, 0.9476, 0.9637]	
Results: 	[0.9457, 0.9496, 0.8908, 0.8937, 0.9219, 0.9106, 0.9573, 0.9352, 0.9017, 0.9437, 0.9035, 0.9458, 0.9476, 0.9637, 0.9652]	
Results: 	[0.9457, 0.9496, 0.8908, 0.8937, 0.9219, 0.9106, 0.9573, 0.9352, 0.9017, 0.9437, 0.9035, 0.9458, 0.9476, 0.9637, 0.9652, 0.895]	
Results: 	[0.9457, 0.9496, 0.8908, 0.8937, 0.9219, 0.9106, 0.9573, 0.9352, 0.9017, 0.9437, 0.9035, 0.9458, 0.9476, 0.9637, 0.9652, 0.895, 0.956]	
Results: 	[0.9457, 0.9496, 0.8908, 0.8937, 0.9219, 0.9106, 0.9573, 0.9352, 0.9017, 0.9437, 0.9035, 0.9458, 0.9476, 0.9637, 0.9652, 0.895, 0.956, 0.9315]	
Results: 	[0.9457, 0.9496, 0.8908, 0.8937, 0.9219, 0.9106, 0.9573, 0.9352, 0.9017, 0.9437, 0.9035, 0.9458, 0.9476, 0.9637, 0.9652, 0.895, 0.956, 0.9315, 0.931]	
Results: 	[0.9457, 0.9496, 0.8908, 0.8937, 0.9219, 0.9106, 0.9573, 0.9352, 0.9017, 0.9437, 0.9035, 0.9458, 0.9476, 0.9637, 0.9652, 0.895, 0.956, 0.9315, 0.931, 0.8454]	
Results: 	[0.9457, 0.9496, 0.8908, 0.8937, 0.9219, 0.9106, 0.9573, 0.9352, 0.9017, 0.9437, 0.9035, 0.9458, 0.9476, 0.9637, 0.9652, 0.895, 0.956, 0.9315, 0.931, 0.8454, 0.8675]	
Results: 	[0.9457, 0.9496, 0.8908, 0.8937, 0.9219, 0.9106, 0.9573, 0.9352, 0.9017, 0.9437, 0.9035, 0.9458, 0.9476, 0.9637, 0.9652, 0.895, 0.956, 0.9315, 0.931, 0.8454, 0.8675, 0.9471]	
Results: 	[0.9457, 0.9496, 0.8908, 0.8937, 0.9219, 0.9106, 0.9573, 0.9352, 0.9017, 0.9437, 0.9035, 0.9458, 0.9476, 0.9637, 0.9652, 0.895, 0.956, 0.9315, 0.931, 0.8454, 0.8675, 0.9471, 0.9535]	
Results: 	[0.9457, 0.9496, 0.8908, 0.8937, 0.9219, 0.9106, 0.9573, 0.9352, 0.9017, 0.9437, 0.9035, 0.9458, 0.9476, 0.9637, 0.9652, 0.895, 0.956, 0.9315, 0.931, 0.8454, 0.8675, 0.9471, 0.9535, 0.9609]	
Results: 	[0.9457, 0.9496, 0.8908, 0.8937, 0.9219, 0.9106, 0.9573, 0.9352, 0.9017, 0.9437, 0.9035, 0.9458, 0.9476, 0.9637, 0.9652, 0.895, 0.956, 0.9315, 0.931, 0.8454, 0.8675, 0.9471, 0.9535, 0.9609, 0.9397]	
Results: 	[0.9457, 0.9496, 0.8908, 0.8937, 0.9219, 0.9106, 0.9573, 0.9352, 0.9017, 0.9437, 0.9035, 0.9458, 0.9476, 0.9637, 0.9652, 0.895, 0.956, 0.9315, 0.931, 0.8454, 0.8675, 0.9471, 0.9535, 0.9609, 0.9397, 0.9468]	
Results: 	[0.9457, 0.9496, 0.8908, 0.8937, 0.9219, 0.9106, 0.9573, 0.9352, 0.9017, 0.9437, 0.9035, 0.9458, 0.9476, 0.9637, 0.9652, 0.895, 0.956, 0.9315, 0.931, 0.8454, 0.8675, 0.9471, 0.9535, 0.9609, 0.9397, 0.9468, 0.9468]	
Results: 	[0.9457, 0.9496, 0.8908, 0.8937, 0.9219, 0.9106, 0.9573, 0.9352, 0.9017, 0.9437, 0.9035, 0.9458, 0.9476, 0.9637, 0.9652, 0.895, 0.956, 0.9315, 0.931, 0.8454, 0.8675, 0.9471, 0.9535, 0.9609, 0.9397, 0.9468, 0.9468, 0.9625]	
Results: 	[0.9457, 0.9496, 0.8908, 0.8937, 0.9219, 0.9106, 0.9573, 0.9352, 0.9017, 0.9437, 0.9035, 0.9458, 0.9476, 0.9637, 0.9652, 0.895, 0.956, 0.9315, 0.931, 0.8454, 0.8675, 0.9471, 0.9535, 0.9609, 0.9397, 0.9468, 0.9468, 0.9625, 0.9403]	
Results: 	[0.9457, 0.9496, 0.8908, 0.8937, 0.9219, 0.9106, 0.9573, 0.9352, 0.9017, 0.9437, 0.9035, 0.9458, 0.9476, 0.9637, 0.9652, 0.895, 0.956, 0.9315, 0.931, 0.8454, 0.8675, 0.9471, 0.9535, 0.9609, 0.9397, 0.9468, 0.9468, 0.9625, 0.9403, 0.9404]
30 Support Sets: (Mean:0.9313466666666667, SD:0.029922909379723184) | 	







