Results: 	[0.9186]	
Results: 	[0.9186, 0.922]	
Results: 	[0.9186, 0.922, 0.9203]	
Results: 	[0.9186, 0.922, 0.9203, 0.9209]	
Results: 	[0.9186, 0.922, 0.9203, 0.9209, 0.9234]	
Results: 	[0.9186, 0.922, 0.9203, 0.9209, 0.9234, 0.9258]	
Results: 	[0.9186, 0.922, 0.9203, 0.9209, 0.9234, 0.9258, 0.9217]	
Results: 	[0.9186, 0.922, 0.9203, 0.9209, 0.9234, 0.9258, 0.9217, 0.9223]	
Results: 	[0.9186, 0.922, 0.9203, 0.9209, 0.9234, 0.9258, 0.9217, 0.9223, 0.917]	
Results: 	[0.9186, 0.922, 0.9203, 0.9209, 0.9234, 0.9258, 0.9217, 0.9223, 0.917, 0.922]	
Results: 	[0.9186, 0.922, 0.9203, 0.9209, 0.9234, 0.9258, 0.9217, 0.9223, 0.917, 0.922, 0.9218]	
Results: 	[0.9186, 0.922, 0.9203, 0.9209, 0.9234, 0.9258, 0.9217, 0.9223, 0.917, 0.922, 0.9218, 0.9225]	
Results: 	[0.9186, 0.922, 0.9203, 0.9209, 0.9234, 0.9258, 0.9217, 0.9223, 0.917, 0.922, 0.9218, 0.9225, 0.9198]	
Results: 	[0.9186, 0.922, 0.9203, 0.9209, 0.9234, 0.9258, 0.9217, 0.9223, 0.917, 0.922, 0.9218, 0.9225, 0.9198, 0.921]	
Results: 	[0.9186, 0.922, 0.9203, 0.9209, 0.9234, 0.9258, 0.9217, 0.9223, 0.917, 0.922, 0.9218, 0.9225, 0.9198, 0.921, 0.9218]	
Results: 	[0.9186, 0.922, 0.9203, 0.9209, 0.9234, 0.9258, 0.9217, 0.9223, 0.917, 0.922, 0.9218, 0.9225, 0.9198, 0.921, 0.9218, 0.9218]	
Results: 	[0.9186, 0.922, 0.9203, 0.9209, 0.9234, 0.9258, 0.9217, 0.9223, 0.917, 0.922, 0.9218, 0.9225, 0.9198, 0.921, 0.9218, 0.9218, 0.9223]	
Results: 	[0.9186, 0.922, 0.9203, 0.9209, 0.9234, 0.9258, 0.9217, 0.9223, 0.917, 0.922, 0.9218, 0.9225, 0.9198, 0.921, 0.9218, 0.9218, 0.9223, 0.9198]	
Results: 	[0.9186, 0.922, 0.9203, 0.9209, 0.9234, 0.9258, 0.9217, 0.9223, 0.917, 0.922, 0.9218, 0.9225, 0.9198, 0.921, 0.9218, 0.9218, 0.9223, 0.9198, 0.9203]	
Results: 	[0.9186, 0.922, 0.9203, 0.9209, 0.9234, 0.9258, 0.9217, 0.9223, 0.917, 0.922, 0.9218, 0.9225, 0.9198, 0.921, 0.9218, 0.9218, 0.9223, 0.9198, 0.9203, 0.9221]	
Results: 	[0.9186, 0.922, 0.9203, 0.9209, 0.9234, 0.9258, 0.9217, 0.9223, 0.917, 0.922, 0.9218, 0.9225, 0.9198, 0.921, 0.9218, 0.9218, 0.9223, 0.9198, 0.9203, 0.9221, 0.9219]	
