Results: 	[0.8875]	
Results: 	[0.8875, 0.8872]	
Results: 	[0.8875, 0.8872, 0.8654]	
Results: 	[0.8875, 0.8872, 0.8654, 0.8875]	
Results: 	[0.8875, 0.8872, 0.8654, 0.8875, 0.8875]	
Results: 	[0.8875, 0.8872, 0.8654, 0.8875, 0.8875, 0.8659]	
Results: 	[0.8875, 0.8872, 0.8654, 0.8875, 0.8875, 0.8659, 0.8906]	
Results: 	[0.8875, 0.8872, 0.8654, 0.8875, 0.8875, 0.8659, 0.8906, 0.878]	
Results: 	[0.8875, 0.8872, 0.8654, 0.8875, 0.8875, 0.8659, 0.8906, 0.878, 0.8815]	
Results: 	[0.8875, 0.8872, 0.8654, 0.8875, 0.8875, 0.8659, 0.8906, 0.878, 0.8815, 0.8902]	
Results: 	[0.8875, 0.8872, 0.8654, 0.8875, 0.8875, 0.8659, 0.8906, 0.878, 0.8815, 0.8902, 0.8784]	
Results: 	[0.8875, 0.8872, 0.8654, 0.8875, 0.8875, 0.8659, 0.8906, 0.878, 0.8815, 0.8902, 0.8784, 0.8815]	
Results: 	[0.8875, 0.8872, 0.8654, 0.8875, 0.8875, 0.8659, 0.8906, 0.878, 0.8815, 0.8902, 0.8784, 0.8815, 0.8784]	
Results: 	[0.8875, 0.8872, 0.8654, 0.8875, 0.8875, 0.8659, 0.8906, 0.878, 0.8815, 0.8902, 0.8784, 0.8815, 0.8784, 0.8845]	
Results: 	[0.8875, 0.8872, 0.8654, 0.8875, 0.8875, 0.8659, 0.8906, 0.878, 0.8815, 0.8902, 0.8784, 0.8815, 0.8784, 0.8845, 0.8784]	
Results: 	[0.8875, 0.8872, 0.8654, 0.8875, 0.8875, 0.8659, 0.8906, 0.878, 0.8815, 0.8902, 0.8784, 0.8815, 0.8784, 0.8845, 0.8784, 0.8784]	
Results: 	[0.8875, 0.8872, 0.8654, 0.8875, 0.8875, 0.8659, 0.8906, 0.878, 0.8815, 0.8902, 0.8784, 0.8815, 0.8784, 0.8845, 0.8784, 0.8784, 0.8754]	
Results: 	[0.8875, 0.8872, 0.8654, 0.8875, 0.8875, 0.8659, 0.8906, 0.878, 0.8815, 0.8902, 0.8784, 0.8815, 0.8784, 0.8845, 0.8784, 0.8784, 0.8754, 0.8875]	
Results: 	[0.8875, 0.8872, 0.8654, 0.8875, 0.8875, 0.8659, 0.8906, 0.878, 0.8815, 0.8902, 0.8784, 0.8815, 0.8784, 0.8845, 0.8784, 0.8784, 0.8754, 0.8875, 0.8784]	
Results: 	[0.8875, 0.8872, 0.8654, 0.8875, 0.8875, 0.8659, 0.8906, 0.878, 0.8815, 0.8902, 0.8784, 0.8815, 0.8784, 0.8845, 0.8784, 0.8784, 0.8754, 0.8875, 0.8784, 0.8841]	
Results: 	[0.8875, 0.8872, 0.8654, 0.8875, 0.8875, 0.8659, 0.8906, 0.878, 0.8815, 0.8902, 0.8784, 0.8815, 0.8784, 0.8845, 0.8784, 0.8784, 0.8754, 0.8875, 0.8784, 0.8841, 0.8784]	
Results: 	[0.8875, 0.8872, 0.8654, 0.8875, 0.8875, 0.8659, 0.8906, 0.878, 0.8815, 0.8902, 0.8784, 0.8815, 0.8784, 0.8845, 0.8784, 0.8784, 0.8754, 0.8875, 0.8784, 0.8841, 0.8784, 0.8872]	
Results: 	[0.8875, 0.8872, 0.8654, 0.8875, 0.8875, 0.8659, 0.8906, 0.878, 0.8815, 0.8902, 0.8784, 0.8815, 0.8784, 0.8845, 0.8784, 0.8784, 0.8754, 0.8875, 0.8784, 0.8841, 0.8784, 0.8872, 0.8815]	
Results: 	[0.8875, 0.8872, 0.8654, 0.8875, 0.8875, 0.8659, 0.8906, 0.878, 0.8815, 0.8902, 0.8784, 0.8815, 0.8784, 0.8845, 0.8784, 0.8784, 0.8754, 0.8875, 0.8784, 0.8841, 0.8784, 0.8872, 0.8815, 0.8689]	
