Results: 	[0.9548]	
Results: 	[0.9548, 0.9675]	
Results: 	[0.9548, 0.9675, 0.9609]	
Results: 	[0.9548, 0.9675, 0.9609, 0.9687]	
Results: 	[0.9548, 0.9675, 0.9609, 0.9687, 0.9672]	
Results: 	[0.9548, 0.9675, 0.9609, 0.9687, 0.9672, 0.9721]	
Results: 	[0.9548, 0.9675, 0.9609, 0.9687, 0.9672, 0.9721, 0.9642]	
Results: 	[0.9548, 0.9675, 0.9609, 0.9687, 0.9672, 0.9721, 0.9642, 0.9649]	
Results: 	[0.9548, 0.9675, 0.9609, 0.9687, 0.9672, 0.9721, 0.9642, 0.9649, 0.9759]	
Results: 	[0.9548, 0.9675, 0.9609, 0.9687, 0.9672, 0.9721, 0.9642, 0.9649, 0.9759, 0.9644]	
Results: 	[0.9548, 0.9675, 0.9609, 0.9687, 0.9672, 0.9721, 0.9642, 0.9649, 0.9759, 0.9644, 0.964]	
Results: 	[0.9548, 0.9675, 0.9609, 0.9687, 0.9672, 0.9721, 0.9642, 0.9649, 0.9759, 0.9644, 0.964, 0.9687]	
Results: 	[0.9548, 0.9675, 0.9609, 0.9687, 0.9672, 0.9721, 0.9642, 0.9649, 0.9759, 0.9644, 0.964, 0.9687, 0.9635]	
Results: 	[0.9548, 0.9675, 0.9609, 0.9687, 0.9672, 0.9721, 0.9642, 0.9649, 0.9759, 0.9644, 0.964, 0.9687, 0.9635, 0.9654]	
Results: 	[0.9548, 0.9675, 0.9609, 0.9687, 0.9672, 0.9721, 0.9642, 0.9649, 0.9759, 0.9644, 0.964, 0.9687, 0.9635, 0.9654, 0.9701]	
Results: 	[0.9548, 0.9675, 0.9609, 0.9687, 0.9672, 0.9721, 0.9642, 0.9649, 0.9759, 0.9644, 0.964, 0.9687, 0.9635, 0.9654, 0.9701, 0.9675]	
Results: 	[0.9548, 0.9675, 0.9609, 0.9687, 0.9672, 0.9721, 0.9642, 0.9649, 0.9759, 0.9644, 0.964, 0.9687, 0.9635, 0.9654, 0.9701, 0.9675, 0.9588]	
Results: 	[0.9548, 0.9675, 0.9609, 0.9687, 0.9672, 0.9721, 0.9642, 0.9649, 0.9759, 0.9644, 0.964, 0.9687, 0.9635, 0.9654, 0.9701, 0.9675, 0.9588, 0.9632]	
Results: 	[0.9548, 0.9675, 0.9609, 0.9687, 0.9672, 0.9721, 0.9642, 0.9649, 0.9759, 0.9644, 0.964, 0.9687, 0.9635, 0.9654, 0.9701, 0.9675, 0.9588, 0.9632, 0.9672]	
Results: 	[0.9548, 0.9675, 0.9609, 0.9687, 0.9672, 0.9721, 0.9642, 0.9649, 0.9759, 0.9644, 0.964, 0.9687, 0.9635, 0.9654, 0.9701, 0.9675, 0.9588, 0.9632, 0.9672, 0.9649]	
Results: 	[0.9548, 0.9675, 0.9609, 0.9687, 0.9672, 0.9721, 0.9642, 0.9649, 0.9759, 0.9644, 0.964, 0.9687, 0.9635, 0.9654, 0.9701, 0.9675, 0.9588, 0.9632, 0.9672, 0.9649, 0.9673]	
Results: 	[0.9548, 0.9675, 0.9609, 0.9687, 0.9672, 0.9721, 0.9642, 0.9649, 0.9759, 0.9644, 0.964, 0.9687, 0.9635, 0.9654, 0.9701, 0.9675, 0.9588, 0.9632, 0.9672, 0.9649, 0.9673, 0.9583]	
Results: 	[0.9548, 0.9675, 0.9609, 0.9687, 0.9672, 0.9721, 0.9642, 0.9649, 0.9759, 0.9644, 0.964, 0.9687, 0.9635, 0.9654, 0.9701, 0.9675, 0.9588, 0.9632, 0.9672, 0.9649, 0.9673, 0.9583, 0.9729]	
Results: 	[0.9548, 0.9675, 0.9609, 0.9687, 0.9672, 0.9721, 0.9642, 0.9649, 0.9759, 0.9644, 0.964, 0.9687, 0.9635, 0.9654, 0.9701, 0.9675, 0.9588, 0.9632, 0.9672, 0.9649, 0.9673, 0.9583, 0.9729, 0.9672]	
Results: 	[0.9548, 0.9675, 0.9609, 0.9687, 0.9672, 0.9721, 0.9642, 0.9649, 0.9759, 0.9644, 0.964, 0.9687, 0.9635, 0.9654, 0.9701, 0.9675, 0.9588, 0.9632, 0.9672, 0.9649, 0.9673, 0.9583, 0.9729, 0.9672, 0.9681]	
Results: 	[0.9548, 0.9675, 0.9609, 0.9687, 0.9672, 0.9721, 0.9642, 0.9649, 0.9759, 0.9644, 0.964, 0.9687, 0.9635, 0.9654, 0.9701, 0.9675, 0.9588, 0.9632, 0.9672, 0.9649, 0.9673, 0.9583, 0.9729, 0.9672, 0.9681, 0.9691]	
Results: 	[0.9548, 0.9675, 0.9609, 0.9687, 0.9672, 0.9721, 0.9642, 0.9649, 0.9759, 0.9644, 0.964, 0.9687, 0.9635, 0.9654, 0.9701, 0.9675, 0.9588, 0.9632, 0.9672, 0.9649, 0.9673, 0.9583, 0.9729, 0.9672, 0.9681, 0.9691, 0.9736]	
Results: 	[0.9548, 0.9675, 0.9609, 0.9687, 0.9672, 0.9721, 0.9642, 0.9649, 0.9759, 0.9644, 0.964, 0.9687, 0.9635, 0.9654, 0.9701, 0.9675, 0.9588, 0.9632, 0.9672, 0.9649, 0.9673, 0.9583, 0.9729, 0.9672, 0.9681, 0.9691, 0.9736, 0.9513]	
Results: 	[0.9548, 0.9675, 0.9609, 0.9687, 0.9672, 0.9721, 0.9642, 0.9649, 0.9759, 0.9644, 0.964, 0.9687, 0.9635, 0.9654, 0.9701, 0.9675, 0.9588, 0.9632, 0.9672, 0.9649, 0.9673, 0.9583, 0.9729, 0.9672, 0.9681, 0.9691, 0.9736, 0.9513, 0.9686]	
Results: 	[0.9548, 0.9675, 0.9609, 0.9687, 0.9672, 0.9721, 0.9642, 0.9649, 0.9759, 0.9644, 0.964, 0.9687, 0.9635, 0.9654, 0.9701, 0.9675, 0.9588, 0.9632, 0.9672, 0.9649, 0.9673, 0.9583, 0.9729, 0.9672, 0.9681, 0.9691, 0.9736, 0.9513, 0.9686, 0.971]
30 Support Sets: (Mean:0.9660433333333334, SD:0.0053612712937378395) | 	































