Results: 	[0.8677]	
Results: 	[0.8677, 0.8076]	
Results: 	[0.8677, 0.8076, 0.8901]	
Results: 	[0.8677, 0.8076, 0.8901, 0.9172]	
Results: 	[0.8677, 0.8076, 0.8901, 0.9172, 0.8901]	
Results: 	[0.8677, 0.8076, 0.8901, 0.9172, 0.8901, 0.8315]	
Results: 	[0.8677, 0.8076, 0.8901, 0.9172, 0.8901, 0.8315, 0.8479]	
Results: 	[0.8677, 0.8076, 0.8901, 0.9172, 0.8901, 0.8315, 0.8479, 0.8389]	
Results: 	[0.8677, 0.8076, 0.8901, 0.9172, 0.8901, 0.8315, 0.8479, 0.8389, 0.8859]	
Results: 	[0.8677, 0.8076, 0.8901, 0.9172, 0.8901, 0.8315, 0.8479, 0.8389, 0.8859, 0.8725]	
Results: 	[0.8677, 0.8076, 0.8901, 0.9172, 0.8901, 0.8315, 0.8479, 0.8389, 0.8859, 0.8725, 0.9016]	
Results: 	[0.8677, 0.8076, 0.8901, 0.9172, 0.8901, 0.8315, 0.8479, 0.8389, 0.8859, 0.8725, 0.9016, 0.8587]	
Results: 	[0.8677, 0.8076, 0.8901, 0.9172, 0.8901, 0.8315, 0.8479, 0.8389, 0.8859, 0.8725, 0.9016, 0.8587, 0.8363]	
Results: 	[0.8677, 0.8076, 0.8901, 0.9172, 0.8901, 0.8315, 0.8479, 0.8389, 0.8859, 0.8725, 0.9016, 0.8587, 0.8363, 0.8635]	
Results: 	[0.8677, 0.8076, 0.8901, 0.9172, 0.8901, 0.8315, 0.8479, 0.8389, 0.8859, 0.8725, 0.9016, 0.8587, 0.8363, 0.8635, 0.8479]	
Results: 	[0.8677, 0.8076, 0.8901, 0.9172, 0.8901, 0.8315, 0.8479, 0.8389, 0.8859, 0.8725, 0.9016, 0.8587, 0.8363, 0.8635, 0.8479, 0.827]	
Results: 	[0.8677, 0.8076, 0.8901, 0.9172, 0.8901, 0.8315, 0.8479, 0.8389, 0.8859, 0.8725, 0.9016, 0.8587, 0.8363, 0.8635, 0.8479, 0.827, 0.8345]	
Results: 	[0.8677, 0.8076, 0.8901, 0.9172, 0.8901, 0.8315, 0.8479, 0.8389, 0.8859, 0.8725, 0.9016, 0.8587, 0.8363, 0.8635, 0.8479, 0.827, 0.8345, 0.8389]	
Results: 	[0.8677, 0.8076, 0.8901, 0.9172, 0.8901, 0.8315, 0.8479, 0.8389, 0.8859, 0.8725, 0.9016, 0.8587, 0.8363, 0.8635, 0.8479, 0.827, 0.8345, 0.8389, 0.8121]	
Results: 	[0.8677, 0.8076, 0.8901, 0.9172, 0.8901, 0.8315, 0.8479, 0.8389, 0.8859, 0.8725, 0.9016, 0.8587, 0.8363, 0.8635, 0.8479, 0.827, 0.8345, 0.8389, 0.8121, 0.8054]	
Results: 	[0.8677, 0.8076, 0.8901, 0.9172, 0.8901, 0.8315, 0.8479, 0.8389, 0.8859, 0.8725, 0.9016, 0.8587, 0.8363, 0.8635, 0.8479, 0.827, 0.8345, 0.8389, 0.8121, 0.8054, 0.8322]	
