[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5],[0.02799999060377775],[0.015757393086125983],[0.12552845528455284],[0.0],[0.12552845528455284],[0.5]]	 ; [[0.5],[0.02799999060377775],[0.015757393086125983],[0.12552845528455284],[0],[0.12552845528455284],[0.5]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5],[0.02806852144788962],[0.015798241787295924],[0.12569105691056912],[0.0],[0.12569105691056912],[0.5]]	 ; [[0.5],[0.02806852144788962],[0.015798241787295924],[0.12569105691056912],[0],[0.12569105691056912],[0.5]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5],[0.02806852144788962],[0.015798241787295924],[0.12569105691056912],[0.0],[0.12569105691056912],[0.5]]	 ; [[0.5],[0.02806852144788962],[0.015798241787295924],[0.12569105691056912],[0],[0.12569105691056912],[0.5]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5],[0.02799999060377775],[0.015757393086125983],[0.12552845528455284],[0.0],[0.12552845528455284],[0.5]]	 ; [[0.5],[0.02806852144788962],[0.015798241787295924],[0.12569105691056912],[0],[0.12569105691056912],[0.5]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5],[0.02806852144788962],[0.015798241787295924],[0.12569105691056912],[0.0],[0.12569105691056912],[0.5]]	 ; [[0.5],[0.02806852144788962],[0.015798241787295924],[0.12569105691056912],[0],[0.12569105691056912],[0.5]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5],[0.02806852144788962],[0.015798241787295924],[0.12569105691056912],[0.0],[0.12569105691056912],[0.5]]	 ; [[0.5],[0.02806852144788962],[0.015798241787295924],[0.12569105691056912],[0],[0.12569105691056912],[0.5]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5],[0.02806852144788962],[0.015798241787295924],[0.12569105691056912],[0.0],[0.12569105691056912],[0.5]]	 ; [[0.5],[0.02806852144788962],[0.015798241787295924],[0.12569105691056912],[0],[0.12569105691056912],[0.5]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5],[0.02806852144788962],[0.015798241787295924],[0.12569105691056912],[0.0],[0.12569105691056912],[0.5]]	 ; [[0.5],[0.02806852144788962],[0.015798241787295924],[0.12569105691056912],[0],[0.12569105691056912],[0.5]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5],[0.02806852144788962],[0.015798241787295924],[0.12569105691056912],[0.0],[0.12569105691056912],[0.5]]	 ; [[0.5],[0.02806852144788962],[0.015798241787295924],[0.12569105691056912],[0],[0.12569105691056912],[0.5]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5],[0.02806852144788962],[0.015798241787295924],[0.12569105691056912],[0.0],[0.12569105691056912],[0.5]]	 ; [[0.5],[0.02806852144788962],[0.015798241787295924],[0.12569105691056912],[0],[0.12569105691056912],[0.5]]
