Results: 	[0.8133]	
Results: 	[0.8133, 0.9203]	
Results: 	[0.8133, 0.9203, 0.8941]	
Results: 	[0.8133, 0.9203, 0.8941, 0.8626]	
Results: 	[0.8133, 0.9203, 0.8941, 0.8626, 0.9425]	
Results: 	[0.8133, 0.9203, 0.8941, 0.8626, 0.9425, 0.6808]	
Results: 	[0.8133, 0.9203, 0.8941, 0.8626, 0.9425, 0.6808, 0.8449]	
Results: 	[0.8133, 0.9203, 0.8941, 0.8626, 0.9425, 0.6808, 0.8449, 0.9308]	
Results: 	[0.8133, 0.9203, 0.8941, 0.8626, 0.9425, 0.6808, 0.8449, 0.9308, 0.7856]	
Results: 	[0.8133, 0.9203, 0.8941, 0.8626, 0.9425, 0.6808, 0.8449, 0.9308, 0.7856, 0.8345]	
Results: 	[0.8133, 0.9203, 0.8941, 0.8626, 0.9425, 0.6808, 0.8449, 0.9308, 0.7856, 0.8345, 0.9173]	
Results: 	[0.8133, 0.9203, 0.8941, 0.8626, 0.9425, 0.6808, 0.8449, 0.9308, 0.7856, 0.8345, 0.9173, 0.9427]	
Results: 	[0.8133, 0.9203, 0.8941, 0.8626, 0.9425, 0.6808, 0.8449, 0.9308, 0.7856, 0.8345, 0.9173, 0.9427, 0.9496]	
Results: 	[0.8133, 0.9203, 0.8941, 0.8626, 0.9425, 0.6808, 0.8449, 0.9308, 0.7856, 0.8345, 0.9173, 0.9427, 0.9496, 0.8448]	
Results: 	[0.8133, 0.9203, 0.8941, 0.8626, 0.9425, 0.6808, 0.8449, 0.9308, 0.7856, 0.8345, 0.9173, 0.9427, 0.9496, 0.8448, 0.7398]	
Results: 	[0.8133, 0.9203, 0.8941, 0.8626, 0.9425, 0.6808, 0.8449, 0.9308, 0.7856, 0.8345, 0.9173, 0.9427, 0.9496, 0.8448, 0.7398, 0.9678]	
Results: 	[0.8133, 0.9203, 0.8941, 0.8626, 0.9425, 0.6808, 0.8449, 0.9308, 0.7856, 0.8345, 0.9173, 0.9427, 0.9496, 0.8448, 0.7398, 0.9678, 0.9108]	
Results: 	[0.8133, 0.9203, 0.8941, 0.8626, 0.9425, 0.6808, 0.8449, 0.9308, 0.7856, 0.8345, 0.9173, 0.9427, 0.9496, 0.8448, 0.7398, 0.9678, 0.9108, 0.9594]	
Results: 	[0.8133, 0.9203, 0.8941, 0.8626, 0.9425, 0.6808, 0.8449, 0.9308, 0.7856, 0.8345, 0.9173, 0.9427, 0.9496, 0.8448, 0.7398, 0.9678, 0.9108, 0.9594, 0.9339]	
Results: 	[0.8133, 0.9203, 0.8941, 0.8626, 0.9425, 0.6808, 0.8449, 0.9308, 0.7856, 0.8345, 0.9173, 0.9427, 0.9496, 0.8448, 0.7398, 0.9678, 0.9108, 0.9594, 0.9339, 0.8972]	
Results: 	[0.8133, 0.9203, 0.8941, 0.8626, 0.9425, 0.6808, 0.8449, 0.9308, 0.7856, 0.8345, 0.9173, 0.9427, 0.9496, 0.8448, 0.7398, 0.9678, 0.9108, 0.9594, 0.9339, 0.8972, 0.9523]	
Results: 	[0.8133, 0.9203, 0.8941, 0.8626, 0.9425, 0.6808, 0.8449, 0.9308, 0.7856, 0.8345, 0.9173, 0.9427, 0.9496, 0.8448, 0.7398, 0.9678, 0.9108, 0.9594, 0.9339, 0.8972, 0.9523, 0.9522]	
Results: 	[0.8133, 0.9203, 0.8941, 0.8626, 0.9425, 0.6808, 0.8449, 0.9308, 0.7856, 0.8345, 0.9173, 0.9427, 0.9496, 0.8448, 0.7398, 0.9678, 0.9108, 0.9594, 0.9339, 0.8972, 0.9523, 0.9522, 0.8515]	
Results: 	[0.8133, 0.9203, 0.8941, 0.8626, 0.9425, 0.6808, 0.8449, 0.9308, 0.7856, 0.8345, 0.9173, 0.9427, 0.9496, 0.8448, 0.7398, 0.9678, 0.9108, 0.9594, 0.9339, 0.8972, 0.9523, 0.9522, 0.8515, 0.8552]	
Results: 	[0.8133, 0.9203, 0.8941, 0.8626, 0.9425, 0.6808, 0.8449, 0.9308, 0.7856, 0.8345, 0.9173, 0.9427, 0.9496, 0.8448, 0.7398, 0.9678, 0.9108, 0.9594, 0.9339, 0.8972, 0.9523, 0.9522, 0.8515, 0.8552, 0.7206]	
Results: 	[0.8133, 0.9203, 0.8941, 0.8626, 0.9425, 0.6808, 0.8449, 0.9308, 0.7856, 0.8345, 0.9173, 0.9427, 0.9496, 0.8448, 0.7398, 0.9678, 0.9108, 0.9594, 0.9339, 0.8972, 0.9523, 0.9522, 0.8515, 0.8552, 0.7206, 0.9644]	
Results: 	[0.8133, 0.9203, 0.8941, 0.8626, 0.9425, 0.6808, 0.8449, 0.9308, 0.7856, 0.8345, 0.9173, 0.9427, 0.9496, 0.8448, 0.7398, 0.9678, 0.9108, 0.9594, 0.9339, 0.8972, 0.9523, 0.9522, 0.8515, 0.8552, 0.7206, 0.9644, 0.9566]	
Results: 	[0.8133, 0.9203, 0.8941, 0.8626, 0.9425, 0.6808, 0.8449, 0.9308, 0.7856, 0.8345, 0.9173, 0.9427, 0.9496, 0.8448, 0.7398, 0.9678, 0.9108, 0.9594, 0.9339, 0.8972, 0.9523, 0.9522, 0.8515, 0.8552, 0.7206, 0.9644, 0.9566, 0.9263]	
Results: 	[0.8133, 0.9203, 0.8941, 0.8626, 0.9425, 0.6808, 0.8449, 0.9308, 0.7856, 0.8345, 0.9173, 0.9427, 0.9496, 0.8448, 0.7398, 0.9678, 0.9108, 0.9594, 0.9339, 0.8972, 0.9523, 0.9522, 0.8515, 0.8552, 0.7206, 0.9644, 0.9566, 0.9263, 0.8453]	
Results: 	[0.8133, 0.9203, 0.8941, 0.8626, 0.9425, 0.6808, 0.8449, 0.9308, 0.7856, 0.8345, 0.9173, 0.9427, 0.9496, 0.8448, 0.7398, 0.9678, 0.9108, 0.9594, 0.9339, 0.8972, 0.9523, 0.9522, 0.8515, 0.8552, 0.7206, 0.9644, 0.9566, 0.9263, 0.8453, 0.9345]
30 Support Sets: (Mean:0.8843866666666667, SD:0.07660644041230266) | 	


