Results: 	[0.9911]	
Results: 	[0.9911, 0.9691]	
Results: 	[0.9911, 0.9691, 0.9659]	
Results: 	[0.9911, 0.9691, 0.9659, 0.9728]	
Results: 	[0.9911, 0.9691, 0.9659, 0.9728, 0.9689]	
Results: 	[0.9911, 0.9691, 0.9659, 0.9728, 0.9689, 0.9771]	
Results: 	[0.9911, 0.9691, 0.9659, 0.9728, 0.9689, 0.9771, 0.9799]	
Results: 	[0.9911, 0.9691, 0.9659, 0.9728, 0.9689, 0.9771, 0.9799, 0.9842]	
Results: 	[0.9911, 0.9691, 0.9659, 0.9728, 0.9689, 0.9771, 0.9799, 0.9842, 0.9693]	
Results: 	[0.9911, 0.9691, 0.9659, 0.9728, 0.9689, 0.9771, 0.9799, 0.9842, 0.9693, 0.9756]	
Results: 	[0.9911, 0.9691, 0.9659, 0.9728, 0.9689, 0.9771, 0.9799, 0.9842, 0.9693, 0.9756, 0.9726]	
Results: 	[0.9911, 0.9691, 0.9659, 0.9728, 0.9689, 0.9771, 0.9799, 0.9842, 0.9693, 0.9756, 0.9726, 0.9749]	
Results: 	[0.9911, 0.9691, 0.9659, 0.9728, 0.9689, 0.9771, 0.9799, 0.9842, 0.9693, 0.9756, 0.9726, 0.9749, 0.9739]	
Results: 	[0.9911, 0.9691, 0.9659, 0.9728, 0.9689, 0.9771, 0.9799, 0.9842, 0.9693, 0.9756, 0.9726, 0.9749, 0.9739, 0.978]	
Results: 	[0.9911, 0.9691, 0.9659, 0.9728, 0.9689, 0.9771, 0.9799, 0.9842, 0.9693, 0.9756, 0.9726, 0.9749, 0.9739, 0.978, 0.9801]	
Results: 	[0.9911, 0.9691, 0.9659, 0.9728, 0.9689, 0.9771, 0.9799, 0.9842, 0.9693, 0.9756, 0.9726, 0.9749, 0.9739, 0.978, 0.9801, 0.9713]	
Results: 	[0.9911, 0.9691, 0.9659, 0.9728, 0.9689, 0.9771, 0.9799, 0.9842, 0.9693, 0.9756, 0.9726, 0.9749, 0.9739, 0.978, 0.9801, 0.9713, 0.981]	
Results: 	[0.9911, 0.9691, 0.9659, 0.9728, 0.9689, 0.9771, 0.9799, 0.9842, 0.9693, 0.9756, 0.9726, 0.9749, 0.9739, 0.978, 0.9801, 0.9713, 0.981, 0.9777]	
Results: 	[0.9911, 0.9691, 0.9659, 0.9728, 0.9689, 0.9771, 0.9799, 0.9842, 0.9693, 0.9756, 0.9726, 0.9749, 0.9739, 0.978, 0.9801, 0.9713, 0.981, 0.9777, 0.9693]	
Results: 	[0.9911, 0.9691, 0.9659, 0.9728, 0.9689, 0.9771, 0.9799, 0.9842, 0.9693, 0.9756, 0.9726, 0.9749, 0.9739, 0.978, 0.9801, 0.9713, 0.981, 0.9777, 0.9693, 0.9782]	
Results: 	[0.9911, 0.9691, 0.9659, 0.9728, 0.9689, 0.9771, 0.9799, 0.9842, 0.9693, 0.9756, 0.9726, 0.9749, 0.9739, 0.978, 0.9801, 0.9713, 0.981, 0.9777, 0.9693, 0.9782, 0.979]	
Results: 	[0.9911, 0.9691, 0.9659, 0.9728, 0.9689, 0.9771, 0.9799, 0.9842, 0.9693, 0.9756, 0.9726, 0.9749, 0.9739, 0.978, 0.9801, 0.9713, 0.981, 0.9777, 0.9693, 0.9782, 0.979, 0.981]	
Results: 	[0.9911, 0.9691, 0.9659, 0.9728, 0.9689, 0.9771, 0.9799, 0.9842, 0.9693, 0.9756, 0.9726, 0.9749, 0.9739, 0.978, 0.9801, 0.9713, 0.981, 0.9777, 0.9693, 0.9782, 0.979, 0.981, 0.9631]	
Results: 	[0.9911, 0.9691, 0.9659, 0.9728, 0.9689, 0.9771, 0.9799, 0.9842, 0.9693, 0.9756, 0.9726, 0.9749, 0.9739, 0.978, 0.9801, 0.9713, 0.981, 0.9777, 0.9693, 0.9782, 0.979, 0.981, 0.9631, 0.978]	
Results: 	[0.9911, 0.9691, 0.9659, 0.9728, 0.9689, 0.9771, 0.9799, 0.9842, 0.9693, 0.9756, 0.9726, 0.9749, 0.9739, 0.978, 0.9801, 0.9713, 0.981, 0.9777, 0.9693, 0.9782, 0.979, 0.981, 0.9631, 0.978, 0.9743]	
Results: 	[0.9911, 0.9691, 0.9659, 0.9728, 0.9689, 0.9771, 0.9799, 0.9842, 0.9693, 0.9756, 0.9726, 0.9749, 0.9739, 0.978, 0.9801, 0.9713, 0.981, 0.9777, 0.9693, 0.9782, 0.979, 0.981, 0.9631, 0.978, 0.9743, 0.9723]	
