Results: 	[0.9206]	
Results: 	[0.9206, 0.9167]	
Results: 	[0.9206, 0.9167, 0.9154]	
Results: 	[0.9206, 0.9167, 0.9154, 0.9218]	
Results: 	[0.9206, 0.9167, 0.9154, 0.9218, 0.9271]	
Results: 	[0.9206, 0.9167, 0.9154, 0.9218, 0.9271, 0.9193]	
Results: 	[0.9206, 0.9167, 0.9154, 0.9218, 0.9271, 0.9193, 0.9206]	
Results: 	[0.9206, 0.9167, 0.9154, 0.9218, 0.9271, 0.9193, 0.9206, 0.9271]	
Results: 	[0.9206, 0.9167, 0.9154, 0.9218, 0.9271, 0.9193, 0.9206, 0.9271, 0.9193]	
Results: 	[0.9206, 0.9167, 0.9154, 0.9218, 0.9271, 0.9193, 0.9206, 0.9271, 0.9193, 0.9271]	
Results: 	[0.9206, 0.9167, 0.9154, 0.9218, 0.9271, 0.9193, 0.9206, 0.9271, 0.9193, 0.9271, 0.9206]	
Results: 	[0.9206, 0.9167, 0.9154, 0.9218, 0.9271, 0.9193, 0.9206, 0.9271, 0.9193, 0.9271, 0.9206, 0.9206]	
Results: 	[0.9206, 0.9167, 0.9154, 0.9218, 0.9271, 0.9193, 0.9206, 0.9271, 0.9193, 0.9271, 0.9206, 0.9206, 0.9257]	
Results: 	[0.9206, 0.9167, 0.9154, 0.9218, 0.9271, 0.9193, 0.9206, 0.9271, 0.9193, 0.9271, 0.9206, 0.9206, 0.9257, 0.9232]	
Results: 	[0.9206, 0.9167, 0.9154, 0.9218, 0.9271, 0.9193, 0.9206, 0.9271, 0.9193, 0.9271, 0.9206, 0.9206, 0.9257, 0.9232, 0.9258]	
Results: 	[0.9206, 0.9167, 0.9154, 0.9218, 0.9271, 0.9193, 0.9206, 0.9271, 0.9193, 0.9271, 0.9206, 0.9206, 0.9257, 0.9232, 0.9258, 0.9206]	
Results: 	[0.9206, 0.9167, 0.9154, 0.9218, 0.9271, 0.9193, 0.9206, 0.9271, 0.9193, 0.9271, 0.9206, 0.9206, 0.9257, 0.9232, 0.9258, 0.9206, 0.9166]	
Results: 	[0.9206, 0.9167, 0.9154, 0.9218, 0.9271, 0.9193, 0.9206, 0.9271, 0.9193, 0.9271, 0.9206, 0.9206, 0.9257, 0.9232, 0.9258, 0.9206, 0.9166, 0.9271]	
Results: 	[0.9206, 0.9167, 0.9154, 0.9218, 0.9271, 0.9193, 0.9206, 0.9271, 0.9193, 0.9271, 0.9206, 0.9206, 0.9257, 0.9232, 0.9258, 0.9206, 0.9166, 0.9271, 0.9284]	
Results: 	[0.9206, 0.9167, 0.9154, 0.9218, 0.9271, 0.9193, 0.9206, 0.9271, 0.9193, 0.9271, 0.9206, 0.9206, 0.9257, 0.9232, 0.9258, 0.9206, 0.9166, 0.9271, 0.9284, 0.9232]	
Results: 	[0.9206, 0.9167, 0.9154, 0.9218, 0.9271, 0.9193, 0.9206, 0.9271, 0.9193, 0.9271, 0.9206, 0.9206, 0.9257, 0.9232, 0.9258, 0.9206, 0.9166, 0.9271, 0.9284, 0.9232, 0.9232]	
Results: 	[0.9206, 0.9167, 0.9154, 0.9218, 0.9271, 0.9193, 0.9206, 0.9271, 0.9193, 0.9271, 0.9206, 0.9206, 0.9257, 0.9232, 0.9258, 0.9206, 0.9166, 0.9271, 0.9284, 0.9232, 0.9232, 0.918]	
