[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5247201492537313],[0.9505600286276614],[0.9857208545365346],[0.9185185185185185],[0.125],[0.9185185185185185],[0.5247201492537313]]	 ; [[0.5247201492537313],[0.9505600286276614],[0.9857208545365346],[0.9185185185185185],[0.125],[0.9185185185185185],[0.5247201492537313]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.47945845004668536],[0.9667220376522702],[0.9830518018018017],[0.950925925925926],[0.0],[0.950925925925926],[0.47945845004668536]]	 ; [[0.5247201492537313],[0.9667220376522702],[0.9857208545365346],[0.950925925925926],[0.125],[0.950925925925926],[0.5247201492537313]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.4995331465919701],[0.9870542635658913],[0.9833951189372876],[0.9907407407407407],[0.0],[0.9907407407407407],[0.4995331465919701]]	 ; [[0.5247201492537313],[0.9870542635658913],[0.9857208545365346],[0.9907407407407407],[0.125],[0.9907407407407407],[0.5247201492537313]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5],[0.9875174337517434],[0.9834027777777778],[0.9916666666666667],[0.0],[0.9916666666666667],[0.5]]	 ; [[0.5247201492537313],[0.9875174337517434],[0.9857208545365346],[0.9916666666666667],[0.125],[0.9916666666666667],[0.5247201492537313]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5],[0.9875174337517434],[0.9834027777777778],[0.9916666666666667],[0.0],[0.9916666666666667],[0.5]]	 ; [[0.5247201492537313],[0.9875174337517434],[0.9857208545365346],[0.9916666666666667],[0.125],[0.9916666666666667],[0.5247201492537313]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5],[0.9875174337517434],[0.9834027777777778],[0.9916666666666667],[0.0],[0.9916666666666667],[0.5]]	 ; [[0.5247201492537313],[0.9875174337517434],[0.9857208545365346],[0.9916666666666667],[0.125],[0.9916666666666667],[0.5247201492537313]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5],[0.9875174337517434],[0.9834027777777778],[0.9916666666666667],[0.0],[0.9916666666666667],[0.5]]	 ; [[0.5247201492537313],[0.9875174337517434],[0.9857208545365346],[0.9916666666666667],[0.125],[0.9916666666666667],[0.5247201492537313]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5],[0.9875174337517434],[0.9834027777777778],[0.9916666666666667],[0.0],[0.9916666666666667],[0.5]]	 ; [[0.5247201492537313],[0.9875174337517434],[0.9857208545365346],[0.9916666666666667],[0.125],[0.9916666666666667],[0.5247201492537313]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5],[0.9875174337517434],[0.9834027777777778],[0.9916666666666667],[0.0],[0.9916666666666667],[0.5]]	 ; [[0.5247201492537313],[0.9875174337517434],[0.9857208545365346],[0.9916666666666667],[0.125],[0.9916666666666667],[0.5247201492537313]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5],[0.9875174337517434],[0.9834027777777778],[0.9916666666666667],[0.0],[0.9916666666666667],[0.5]]	 ; [[0.5247201492537313],[0.9875174337517434],[0.9857208545365346],[0.9916666666666667],[0.125],[0.9916666666666667],[0.5247201492537313]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5],[0.9875174337517434],[0.9834027777777778],[0.9916666666666667],[0.0],[0.9916666666666667],[0.5]]	 ; [[0.5247201492537313],[0.9875174337517434],[0.9857208545365346],[0.9916666666666667],[0.125],[0.9916666666666667],[0.5247201492537313]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5],[0.9875174337517434],[0.9834027777777778],[0.9916666666666667],[0.0],[0.9916666666666667],[0.5]]	 ; [[0.5247201492537313],[0.9875174337517434],[0.9857208545365346],[0.9916666666666667],[0.125],[0.9916666666666667],[0.5247201492537313]]
