Results: 	[0.9944]	
Results: 	[0.9944, 0.9963]	
Results: 	[0.9944, 0.9963, 0.9945]	
Results: 	[0.9944, 0.9963, 0.9945, 0.9925]	
Results: 	[0.9944, 0.9963, 0.9945, 0.9925, 0.9933]	
Results: 	[0.9944, 0.9963, 0.9945, 0.9925, 0.9933, 0.9937]	
Results: 	[0.9944, 0.9963, 0.9945, 0.9925, 0.9933, 0.9937, 0.9963]	
Results: 	[0.9944, 0.9963, 0.9945, 0.9925, 0.9933, 0.9937, 0.9963, 0.9925]	
Results: 	[0.9944, 0.9963, 0.9945, 0.9925, 0.9933, 0.9937, 0.9963, 0.9925, 0.9963]	
Results: 	[0.9944, 0.9963, 0.9945, 0.9925, 0.9933, 0.9937, 0.9963, 0.9925, 0.9963, 0.9925]	
Results: 	[0.9944, 0.9963, 0.9945, 0.9925, 0.9933, 0.9937, 0.9963, 0.9925, 0.9963, 0.9925, 0.9951]	
Results: 	[0.9944, 0.9963, 0.9945, 0.9925, 0.9933, 0.9937, 0.9963, 0.9925, 0.9963, 0.9925, 0.9951, 0.9953]	
Results: 	[0.9944, 0.9963, 0.9945, 0.9925, 0.9933, 0.9937, 0.9963, 0.9925, 0.9963, 0.9925, 0.9951, 0.9953, 0.9952]	
Results: 	[0.9944, 0.9963, 0.9945, 0.9925, 0.9933, 0.9937, 0.9963, 0.9925, 0.9963, 0.9925, 0.9951, 0.9953, 0.9952, 0.9925]	
Results: 	[0.9944, 0.9963, 0.9945, 0.9925, 0.9933, 0.9937, 0.9963, 0.9925, 0.9963, 0.9925, 0.9951, 0.9953, 0.9952, 0.9925, 0.9963]	
Results: 	[0.9944, 0.9963, 0.9945, 0.9925, 0.9933, 0.9937, 0.9963, 0.9925, 0.9963, 0.9925, 0.9951, 0.9953, 0.9952, 0.9925, 0.9963, 0.9951]	
Results: 	[0.9944, 0.9963, 0.9945, 0.9925, 0.9933, 0.9937, 0.9963, 0.9925, 0.9963, 0.9925, 0.9951, 0.9953, 0.9952, 0.9925, 0.9963, 0.9951, 0.9925]	
Results: 	[0.9944, 0.9963, 0.9945, 0.9925, 0.9933, 0.9937, 0.9963, 0.9925, 0.9963, 0.9925, 0.9951, 0.9953, 0.9952, 0.9925, 0.9963, 0.9951, 0.9925, 0.9963]	
Results: 	[0.9944, 0.9963, 0.9945, 0.9925, 0.9933, 0.9937, 0.9963, 0.9925, 0.9963, 0.9925, 0.9951, 0.9953, 0.9952, 0.9925, 0.9963, 0.9951, 0.9925, 0.9963, 0.9964]	
Results: 	[0.9944, 0.9963, 0.9945, 0.9925, 0.9933, 0.9937, 0.9963, 0.9925, 0.9963, 0.9925, 0.9951, 0.9953, 0.9952, 0.9925, 0.9963, 0.9951, 0.9925, 0.9963, 0.9964, 0.9951]	
Results: 	[0.9944, 0.9963, 0.9945, 0.9925, 0.9933, 0.9937, 0.9963, 0.9925, 0.9963, 0.9925, 0.9951, 0.9953, 0.9952, 0.9925, 0.9963, 0.9951, 0.9925, 0.9963, 0.9964, 0.9951, 0.9938]	
Results: 	[0.9944, 0.9963, 0.9945, 0.9925, 0.9933, 0.9937, 0.9963, 0.9925, 0.9963, 0.9925, 0.9951, 0.9953, 0.9952, 0.9925, 0.9963, 0.9951, 0.9925, 0.9963, 0.9964, 0.9951, 0.9938, 0.9925]	
Results: 	[0.9944, 0.9963, 0.9945, 0.9925, 0.9933, 0.9937, 0.9963, 0.9925, 0.9963, 0.9925, 0.9951, 0.9953, 0.9952, 0.9925, 0.9963, 0.9951, 0.9925, 0.9963, 0.9964, 0.9951, 0.9938, 0.9925, 0.9934]	
Results: 	[0.9944, 0.9963, 0.9945, 0.9925, 0.9933, 0.9937, 0.9963, 0.9925, 0.9963, 0.9925, 0.9951, 0.9953, 0.9952, 0.9925, 0.9963, 0.9951, 0.9925, 0.9963, 0.9964, 0.9951, 0.9938, 0.9925, 0.9934, 0.9963]	
Results: 	[0.9944, 0.9963, 0.9945, 0.9925, 0.9933, 0.9937, 0.9963, 0.9925, 0.9963, 0.9925, 0.9951, 0.9953, 0.9952, 0.9925, 0.9963, 0.9951, 0.9925, 0.9963, 0.9964, 0.9951, 0.9938, 0.9925, 0.9934, 0.9963, 0.9946]	
Results: 	[0.9944, 0.9963, 0.9945, 0.9925, 0.9933, 0.9937, 0.9963, 0.9925, 0.9963, 0.9925, 0.9951, 0.9953, 0.9952, 0.9925, 0.9963, 0.9951, 0.9925, 0.9963, 0.9964, 0.9951, 0.9938, 0.9925, 0.9934, 0.9963, 0.9946, 0.9936]	
Results: 	[0.9944, 0.9963, 0.9945, 0.9925, 0.9933, 0.9937, 0.9963, 0.9925, 0.9963, 0.9925, 0.9951, 0.9953, 0.9952, 0.9925, 0.9963, 0.9951, 0.9925, 0.9963, 0.9964, 0.9951, 0.9938, 0.9925, 0.9934, 0.9963, 0.9946, 0.9936, 0.9963]	
Results: 	[0.9944, 0.9963, 0.9945, 0.9925, 0.9933, 0.9937, 0.9963, 0.9925, 0.9963, 0.9925, 0.9951, 0.9953, 0.9952, 0.9925, 0.9963, 0.9951, 0.9925, 0.9963, 0.9964, 0.9951, 0.9938, 0.9925, 0.9934, 0.9963, 0.9946, 0.9936, 0.9963, 0.9925]	
Results: 	[0.9944, 0.9963, 0.9945, 0.9925, 0.9933, 0.9937, 0.9963, 0.9925, 0.9963, 0.9925, 0.9951, 0.9953, 0.9952, 0.9925, 0.9963, 0.9951, 0.9925, 0.9963, 0.9964, 0.9951, 0.9938, 0.9925, 0.9934, 0.9963, 0.9946, 0.9936, 0.9963, 0.9925, 0.9955]	
Results: 	[0.9944, 0.9963, 0.9945, 0.9925, 0.9933, 0.9937, 0.9963, 0.9925, 0.9963, 0.9925, 0.9951, 0.9953, 0.9952, 0.9925, 0.9963, 0.9951, 0.9925, 0.9963, 0.9964, 0.9951, 0.9938, 0.9925, 0.9934, 0.9963, 0.9946, 0.9936, 0.9963, 0.9925, 0.9955, 0.9925]
30 Support Sets: (Mean:0.9944366666666666, SD:0.0015084779571231217) | 	




























