Results: 	[0.9916]	
Results: 	[0.9916, 0.8866]	
Results: 	[0.9916, 0.8866, 0.9911]	
Results: 	[0.9916, 0.8866, 0.9911, 0.9421]	
Results: 	[0.9916, 0.8866, 0.9911, 0.9421, 0.5]	
Results: 	[0.9916, 0.8866, 0.9911, 0.9421, 0.5, 0.993]	
Results: 	[0.9916, 0.8866, 0.9911, 0.9421, 0.5, 0.993, 0.9379]	
Results: 	[0.9916, 0.8866, 0.9911, 0.9421, 0.5, 0.993, 0.9379, 0.8708]	
Results: 	[0.9916, 0.8866, 0.9911, 0.9421, 0.5, 0.993, 0.9379, 0.8708, 0.9944]	
Results: 	[0.9916, 0.8866, 0.9911, 0.9421, 0.5, 0.993, 0.9379, 0.8708, 0.9944, 0.9893]	
Results: 	[0.9916, 0.8866, 0.9911, 0.9421, 0.5, 0.993, 0.9379, 0.8708, 0.9944, 0.9893, 0.9342]	
Results: 	[0.9916, 0.8866, 0.9911, 0.9421, 0.5, 0.993, 0.9379, 0.8708, 0.9944, 0.9893, 0.9342, 0.9883]	
Results: 	[0.9916, 0.8866, 0.9911, 0.9421, 0.5, 0.993, 0.9379, 0.8708, 0.9944, 0.9893, 0.9342, 0.9883, 0.9939]	
Results: 	[0.9916, 0.8866, 0.9911, 0.9421, 0.5, 0.993, 0.9379, 0.8708, 0.9944, 0.9893, 0.9342, 0.9883, 0.9939, 0.9837]	
Results: 	[0.9916, 0.8866, 0.9911, 0.9421, 0.5, 0.993, 0.9379, 0.8708, 0.9944, 0.9893, 0.9342, 0.9883, 0.9939, 0.9837, 0.9921]	
Results: 	[0.9916, 0.8866, 0.9911, 0.9421, 0.5, 0.993, 0.9379, 0.8708, 0.9944, 0.9893, 0.9342, 0.9883, 0.9939, 0.9837, 0.9921, 0.9384]	
Results: 	[0.9916, 0.8866, 0.9911, 0.9421, 0.5, 0.993, 0.9379, 0.8708, 0.9944, 0.9893, 0.9342, 0.9883, 0.9939, 0.9837, 0.9921, 0.9384, 0.9319]	
Results: 	[0.9916, 0.8866, 0.9911, 0.9421, 0.5, 0.993, 0.9379, 0.8708, 0.9944, 0.9893, 0.9342, 0.9883, 0.9939, 0.9837, 0.9921, 0.9384, 0.9319, 0.9781]	
Results: 	[0.9916, 0.8866, 0.9911, 0.9421, 0.5, 0.993, 0.9379, 0.8708, 0.9944, 0.9893, 0.9342, 0.9883, 0.9939, 0.9837, 0.9921, 0.9384, 0.9319, 0.9781, 0.9916]	
Results: 	[0.9916, 0.8866, 0.9911, 0.9421, 0.5, 0.993, 0.9379, 0.8708, 0.9944, 0.9893, 0.9342, 0.9883, 0.9939, 0.9837, 0.9921, 0.9384, 0.9319, 0.9781, 0.9916, 0.8842]	
Results: 	[0.9916, 0.8866, 0.9911, 0.9421, 0.5, 0.993, 0.9379, 0.8708, 0.9944, 0.9893, 0.9342, 0.9883, 0.9939, 0.9837, 0.9921, 0.9384, 0.9319, 0.9781, 0.9916, 0.8842, 0.9865]	
Results: 	[0.9916, 0.8866, 0.9911, 0.9421, 0.5, 0.993, 0.9379, 0.8708, 0.9944, 0.9893, 0.9342, 0.9883, 0.9939, 0.9837, 0.9921, 0.9384, 0.9319, 0.9781, 0.9916, 0.8842, 0.9865, 0.9393]	
Results: 	[0.9916, 0.8866, 0.9911, 0.9421, 0.5, 0.993, 0.9379, 0.8708, 0.9944, 0.9893, 0.9342, 0.9883, 0.9939, 0.9837, 0.9921, 0.9384, 0.9319, 0.9781, 0.9916, 0.8842, 0.9865, 0.9393, 0.9958]	
Results: 	[0.9916, 0.8866, 0.9911, 0.9421, 0.5, 0.993, 0.9379, 0.8708, 0.9944, 0.9893, 0.9342, 0.9883, 0.9939, 0.9837, 0.9921, 0.9384, 0.9319, 0.9781, 0.9916, 0.8842, 0.9865, 0.9393, 0.9958, 0.9939]	
