Results: 	[0.9306]	
Results: 	[0.9306, 0.4099]	
Results: 	[0.9306, 0.4099, 0.9662]	
Results: 	[0.9306, 0.4099, 0.9662, 1.0]	
Results: 	[0.9306, 0.4099, 0.9662, 1.0, 0.3133]	
Results: 	[0.9306, 0.4099, 0.9662, 1.0, 0.3133, 0.9859]	
Results: 	[0.9306, 0.4099, 0.9662, 1.0, 0.3133, 0.9859, 0.6867]	
Results: 	[0.9306, 0.4099, 0.9662, 1.0, 0.3133, 0.9859, 0.6867, 0.743]	
Results: 	[0.9306, 0.4099, 0.9662, 1.0, 0.3133, 0.9859, 0.6867, 0.743, 0.7383]	
Results: 	[0.9306, 0.4099, 0.9662, 1.0, 0.3133, 0.9859, 0.6867, 0.743, 0.7383, 0.9944]	
Results: 	[0.9306, 0.4099, 0.9662, 1.0, 0.3133, 0.9859, 0.6867, 0.743, 0.7383, 0.9944, 0.7861]	
Results: 	[0.9306, 0.4099, 0.9662, 1.0, 0.3133, 0.9859, 0.6867, 0.743, 0.7383, 0.9944, 0.7861, 0.8827]	
Results: 	[0.9306, 0.4099, 0.9662, 1.0, 0.3133, 0.9859, 0.6867, 0.743, 0.7383, 0.9944, 0.7861, 0.8827, 0.8227]	
Results: 	[0.9306, 0.4099, 0.9662, 1.0, 0.3133, 0.9859, 0.6867, 0.743, 0.7383, 0.9944, 0.7861, 0.8827, 0.8227, 0.9991]	
Results: 	[0.9306, 0.4099, 0.9662, 1.0, 0.3133, 0.9859, 0.6867, 0.743, 0.7383, 0.9944, 0.7861, 0.8827, 0.8227, 0.9991, 0.2683]	
Results: 	[0.9306, 0.4099, 0.9662, 1.0, 0.3133, 0.9859, 0.6867, 0.743, 0.7383, 0.9944, 0.7861, 0.8827, 0.8227, 0.9991, 0.2683, 0.7974]	
Results: 	[0.9306, 0.4099, 0.9662, 1.0, 0.3133, 0.9859, 0.6867, 0.743, 0.7383, 0.9944, 0.7861, 0.8827, 0.8227, 0.9991, 0.2683, 0.7974, 0.9991]	
Results: 	[0.9306, 0.4099, 0.9662, 1.0, 0.3133, 0.9859, 0.6867, 0.743, 0.7383, 0.9944, 0.7861, 0.8827, 0.8227, 0.9991, 0.2683, 0.7974, 0.9991, 0.5966]	
Results: 	[0.9306, 0.4099, 0.9662, 1.0, 0.3133, 0.9859, 0.6867, 0.743, 0.7383, 0.9944, 0.7861, 0.8827, 0.8227, 0.9991, 0.2683, 0.7974, 0.9991, 0.5966, 0.9287]	
Results: 	[0.9306, 0.4099, 0.9662, 1.0, 0.3133, 0.9859, 0.6867, 0.743, 0.7383, 0.9944, 0.7861, 0.8827, 0.8227, 0.9991, 0.2683, 0.7974, 0.9991, 0.5966, 0.9287, 0.7458]	
