Results: 	[0.9963]	
Results: 	[0.9963, 0.9981]	
Results: 	[0.9963, 0.9981, 0.9954]	
Results: 	[0.9963, 0.9981, 0.9954, 0.9981]	
Results: 	[0.9963, 0.9981, 0.9954, 0.9981, 0.9963]	
Results: 	[0.9963, 0.9981, 0.9954, 0.9981, 0.9963, 0.9981]	
Results: 	[0.9963, 0.9981, 0.9954, 0.9981, 0.9963, 0.9981, 0.9954]	
Results: 	[0.9963, 0.9981, 0.9954, 0.9981, 0.9963, 0.9981, 0.9954, 0.9963]	
Results: 	[0.9963, 0.9981, 0.9954, 0.9981, 0.9963, 0.9981, 0.9954, 0.9963, 0.9981]	
Results: 	[0.9963, 0.9981, 0.9954, 0.9981, 0.9963, 0.9981, 0.9954, 0.9963, 0.9981, 0.9944]	
Results: 	[0.9963, 0.9981, 0.9954, 0.9981, 0.9963, 0.9981, 0.9954, 0.9963, 0.9981, 0.9944, 0.9963]	
Results: 	[0.9963, 0.9981, 0.9954, 0.9981, 0.9963, 0.9981, 0.9954, 0.9963, 0.9981, 0.9944, 0.9963, 0.9972]	
Results: 	[0.9963, 0.9981, 0.9954, 0.9981, 0.9963, 0.9981, 0.9954, 0.9963, 0.9981, 0.9944, 0.9963, 0.9972, 0.9954]	
Results: 	[0.9963, 0.9981, 0.9954, 0.9981, 0.9963, 0.9981, 0.9954, 0.9963, 0.9981, 0.9944, 0.9963, 0.9972, 0.9954, 0.9954]	
Results: 	[0.9963, 0.9981, 0.9954, 0.9981, 0.9963, 0.9981, 0.9954, 0.9963, 0.9981, 0.9944, 0.9963, 0.9972, 0.9954, 0.9954, 0.9963]	
Results: 	[0.9963, 0.9981, 0.9954, 0.9981, 0.9963, 0.9981, 0.9954, 0.9963, 0.9981, 0.9944, 0.9963, 0.9972, 0.9954, 0.9954, 0.9963, 0.9981]	
Results: 	[0.9963, 0.9981, 0.9954, 0.9981, 0.9963, 0.9981, 0.9954, 0.9963, 0.9981, 0.9944, 0.9963, 0.9972, 0.9954, 0.9954, 0.9963, 0.9981, 0.9981]	
Results: 	[0.9963, 0.9981, 0.9954, 0.9981, 0.9963, 0.9981, 0.9954, 0.9963, 0.9981, 0.9944, 0.9963, 0.9972, 0.9954, 0.9954, 0.9963, 0.9981, 0.9981, 0.9954]	
Results: 	[0.9963, 0.9981, 0.9954, 0.9981, 0.9963, 0.9981, 0.9954, 0.9963, 0.9981, 0.9944, 0.9963, 0.9972, 0.9954, 0.9954, 0.9963, 0.9981, 0.9981, 0.9954, 0.9963]	
Results: 	[0.9963, 0.9981, 0.9954, 0.9981, 0.9963, 0.9981, 0.9954, 0.9963, 0.9981, 0.9944, 0.9963, 0.9972, 0.9954, 0.9954, 0.9963, 0.9981, 0.9981, 0.9954, 0.9963, 0.9963]	
Results: 	[0.9963, 0.9981, 0.9954, 0.9981, 0.9963, 0.9981, 0.9954, 0.9963, 0.9981, 0.9944, 0.9963, 0.9972, 0.9954, 0.9954, 0.9963, 0.9981, 0.9981, 0.9954, 0.9963, 0.9963, 0.9963]	
Results: 	[0.9963, 0.9981, 0.9954, 0.9981, 0.9963, 0.9981, 0.9954, 0.9963, 0.9981, 0.9944, 0.9963, 0.9972, 0.9954, 0.9954, 0.9963, 0.9981, 0.9981, 0.9954, 0.9963, 0.9963, 0.9963, 0.9963]	
