Results: 	[0.9968]	
Results: 	[0.9968, 0.9981]	
Results: 	[0.9968, 0.9981, 0.9972]	
Results: 	[0.9968, 0.9981, 0.9972, 0.9981]	
Results: 	[0.9968, 0.9981, 0.9972, 0.9981, 0.9968]	
Results: 	[0.9968, 0.9981, 0.9972, 0.9981, 0.9968, 0.9981]	
Results: 	[0.9968, 0.9981, 0.9972, 0.9981, 0.9968, 0.9981, 0.997]	
Results: 	[0.9968, 0.9981, 0.9972, 0.9981, 0.9968, 0.9981, 0.997, 0.9968]	
Results: 	[0.9968, 0.9981, 0.9972, 0.9981, 0.9968, 0.9981, 0.997, 0.9968, 0.9981]	
Results: 	[0.9968, 0.9981, 0.9972, 0.9981, 0.9968, 0.9981, 0.997, 0.9968, 0.9981, 0.9967]	
Results: 	[0.9968, 0.9981, 0.9972, 0.9981, 0.9968, 0.9981, 0.997, 0.9968, 0.9981, 0.9967, 0.9969]	
Results: 	[0.9968, 0.9981, 0.9972, 0.9981, 0.9968, 0.9981, 0.997, 0.9968, 0.9981, 0.9967, 0.9969, 0.9974]	
Results: 	[0.9968, 0.9981, 0.9972, 0.9981, 0.9968, 0.9981, 0.997, 0.9968, 0.9981, 0.9967, 0.9969, 0.9974, 0.997]	
Results: 	[0.9968, 0.9981, 0.9972, 0.9981, 0.9968, 0.9981, 0.997, 0.9968, 0.9981, 0.9967, 0.9969, 0.9974, 0.997, 0.997]	
Results: 	[0.9968, 0.9981, 0.9972, 0.9981, 0.9968, 0.9981, 0.997, 0.9968, 0.9981, 0.9967, 0.9969, 0.9974, 0.997, 0.997, 0.9968]	
Results: 	[0.9968, 0.9981, 0.9972, 0.9981, 0.9968, 0.9981, 0.997, 0.9968, 0.9981, 0.9967, 0.9969, 0.9974, 0.997, 0.997, 0.9968, 0.9981]	
Results: 	[0.9968, 0.9981, 0.9972, 0.9981, 0.9968, 0.9981, 0.997, 0.9968, 0.9981, 0.9967, 0.9969, 0.9974, 0.997, 0.997, 0.9968, 0.9981, 0.9981]	
Results: 	[0.9968, 0.9981, 0.9972, 0.9981, 0.9968, 0.9981, 0.997, 0.9968, 0.9981, 0.9967, 0.9969, 0.9974, 0.997, 0.997, 0.9968, 0.9981, 0.9981, 0.997]	
Results: 	[0.9968, 0.9981, 0.9972, 0.9981, 0.9968, 0.9981, 0.997, 0.9968, 0.9981, 0.9967, 0.9969, 0.9974, 0.997, 0.997, 0.9968, 0.9981, 0.9981, 0.997, 0.9968]	
Results: 	[0.9968, 0.9981, 0.9972, 0.9981, 0.9968, 0.9981, 0.997, 0.9968, 0.9981, 0.9967, 0.9969, 0.9974, 0.997, 0.997, 0.9968, 0.9981, 0.9981, 0.997, 0.9968, 0.9968]	
Results: 	[0.9968, 0.9981, 0.9972, 0.9981, 0.9968, 0.9981, 0.997, 0.9968, 0.9981, 0.9967, 0.9969, 0.9974, 0.997, 0.997, 0.9968, 0.9981, 0.9981, 0.997, 0.9968, 0.9968, 0.9968]	
Results: 	[0.9968, 0.9981, 0.9972, 0.9981, 0.9968, 0.9981, 0.997, 0.9968, 0.9981, 0.9967, 0.9969, 0.9974, 0.997, 0.997, 0.9968, 0.9981, 0.9981, 0.997, 0.9968, 0.9968, 0.9968, 0.9974]	
Results: 	[0.9968, 0.9981, 0.9972, 0.9981, 0.9968, 0.9981, 0.997, 0.9968, 0.9981, 0.9967, 0.9969, 0.9974, 0.997, 0.997, 0.9968, 0.9981, 0.9981, 0.997, 0.9968, 0.9968, 0.9968, 0.9974, 0.9968]	
Results: 	[0.9968, 0.9981, 0.9972, 0.9981, 0.9968, 0.9981, 0.997, 0.9968, 0.9981, 0.9967, 0.9969, 0.9974, 0.997, 0.997, 0.9968, 0.9981, 0.9981, 0.997, 0.9968, 0.9968, 0.9968, 0.9974, 0.9968, 0.9967]	
Results: 	[0.9968, 0.9981, 0.9972, 0.9981, 0.9968, 0.9981, 0.997, 0.9968, 0.9981, 0.9967, 0.9969, 0.9974, 0.997, 0.997, 0.9968, 0.9981, 0.9981, 0.997, 0.9968, 0.9968, 0.9968, 0.9974, 0.9968, 0.9967, 0.9981]	
Results: 	[0.9968, 0.9981, 0.9972, 0.9981, 0.9968, 0.9981, 0.997, 0.9968, 0.9981, 0.9967, 0.9969, 0.9974, 0.997, 0.997, 0.9968, 0.9981, 0.9981, 0.997, 0.9968, 0.9968, 0.9968, 0.9974, 0.9968, 0.9967, 0.9981, 0.9967]	
Results: 	[0.9968, 0.9981, 0.9972, 0.9981, 0.9968, 0.9981, 0.997, 0.9968, 0.9981, 0.9967, 0.9969, 0.9974, 0.997, 0.997, 0.9968, 0.9981, 0.9981, 0.997, 0.9968, 0.9968, 0.9968, 0.9974, 0.9968, 0.9967, 0.9981, 0.9967, 0.997]	
Results: 	[0.9968, 0.9981, 0.9972, 0.9981, 0.9968, 0.9981, 0.997, 0.9968, 0.9981, 0.9967, 0.9969, 0.9974, 0.997, 0.997, 0.9968, 0.9981, 0.9981, 0.997, 0.9968, 0.9968, 0.9968, 0.9974, 0.9968, 0.9967, 0.9981, 0.9967, 0.997, 0.9968]	
Results: 	[0.9968, 0.9981, 0.9972, 0.9981, 0.9968, 0.9981, 0.997, 0.9968, 0.9981, 0.9967, 0.9969, 0.9974, 0.997, 0.997, 0.9968, 0.9981, 0.9981, 0.997, 0.9968, 0.9968, 0.9968, 0.9974, 0.9968, 0.9967, 0.9981, 0.9967, 0.997, 0.9968, 0.9981]	
Results: 	[0.9968, 0.9981, 0.9972, 0.9981, 0.9968, 0.9981, 0.997, 0.9968, 0.9981, 0.9967, 0.9969, 0.9974, 0.997, 0.997, 0.9968, 0.9981, 0.9981, 0.997, 0.9968, 0.9968, 0.9968, 0.9974, 0.9968, 0.9967, 0.9981, 0.9967, 0.997, 0.9968, 0.9981, 0.9981]
30 Support Sets: (Mean:0.99727, SD:0.0005784342718896722) | 	



















































































































































































