Results: 	[0.9822]	
Results: 	[0.9822, 0.9768]	
Results: 	[0.9822, 0.9768, 0.9793]	
Results: 	[0.9822, 0.9768, 0.9793, 0.988]	
Results: 	[0.9822, 0.9768, 0.9793, 0.988, 0.9879]	
Results: 	[0.9822, 0.9768, 0.9793, 0.988, 0.9879, 0.9877]	
Results: 	[0.9822, 0.9768, 0.9793, 0.988, 0.9879, 0.9877, 0.9905]	
Results: 	[0.9822, 0.9768, 0.9793, 0.988, 0.9879, 0.9877, 0.9905, 0.9859]	
Results: 	[0.9822, 0.9768, 0.9793, 0.988, 0.9879, 0.9877, 0.9905, 0.9859, 0.9862]	
Results: 	[0.9822, 0.9768, 0.9793, 0.988, 0.9879, 0.9877, 0.9905, 0.9859, 0.9862, 0.9885]	
Results: 	[0.9822, 0.9768, 0.9793, 0.988, 0.9879, 0.9877, 0.9905, 0.9859, 0.9862, 0.9885, 0.9833]	
Results: 	[0.9822, 0.9768, 0.9793, 0.988, 0.9879, 0.9877, 0.9905, 0.9859, 0.9862, 0.9885, 0.9833, 0.9877]	
Results: 	[0.9822, 0.9768, 0.9793, 0.988, 0.9879, 0.9877, 0.9905, 0.9859, 0.9862, 0.9885, 0.9833, 0.9877, 0.9898]	
Results: 	[0.9822, 0.9768, 0.9793, 0.988, 0.9879, 0.9877, 0.9905, 0.9859, 0.9862, 0.9885, 0.9833, 0.9877, 0.9898, 0.9872]	
Results: 	[0.9822, 0.9768, 0.9793, 0.988, 0.9879, 0.9877, 0.9905, 0.9859, 0.9862, 0.9885, 0.9833, 0.9877, 0.9898, 0.9872, 0.9872]	
Results: 	[0.9822, 0.9768, 0.9793, 0.988, 0.9879, 0.9877, 0.9905, 0.9859, 0.9862, 0.9885, 0.9833, 0.9877, 0.9898, 0.9872, 0.9872, 0.9862]	
Results: 	[0.9822, 0.9768, 0.9793, 0.988, 0.9879, 0.9877, 0.9905, 0.9859, 0.9862, 0.9885, 0.9833, 0.9877, 0.9898, 0.9872, 0.9872, 0.9862, 0.9892]	
Results: 	[0.9822, 0.9768, 0.9793, 0.988, 0.9879, 0.9877, 0.9905, 0.9859, 0.9862, 0.9885, 0.9833, 0.9877, 0.9898, 0.9872, 0.9872, 0.9862, 0.9892, 0.9882]	
Results: 	[0.9822, 0.9768, 0.9793, 0.988, 0.9879, 0.9877, 0.9905, 0.9859, 0.9862, 0.9885, 0.9833, 0.9877, 0.9898, 0.9872, 0.9872, 0.9862, 0.9892, 0.9882, 0.9838]	
Results: 	[0.9822, 0.9768, 0.9793, 0.988, 0.9879, 0.9877, 0.9905, 0.9859, 0.9862, 0.9885, 0.9833, 0.9877, 0.9898, 0.9872, 0.9872, 0.9862, 0.9892, 0.9882, 0.9838, 0.9848]	
Results: 	[0.9822, 0.9768, 0.9793, 0.988, 0.9879, 0.9877, 0.9905, 0.9859, 0.9862, 0.9885, 0.9833, 0.9877, 0.9898, 0.9872, 0.9872, 0.9862, 0.9892, 0.9882, 0.9838, 0.9848, 0.9847]	
Results: 	[0.9822, 0.9768, 0.9793, 0.988, 0.9879, 0.9877, 0.9905, 0.9859, 0.9862, 0.9885, 0.9833, 0.9877, 0.9898, 0.9872, 0.9872, 0.9862, 0.9892, 0.9882, 0.9838, 0.9848, 0.9847, 0.9889]	
Results: 	[0.9822, 0.9768, 0.9793, 0.988, 0.9879, 0.9877, 0.9905, 0.9859, 0.9862, 0.9885, 0.9833, 0.9877, 0.9898, 0.9872, 0.9872, 0.9862, 0.9892, 0.9882, 0.9838, 0.9848, 0.9847, 0.9889, 0.9874]	
Results: 	[0.9822, 0.9768, 0.9793, 0.988, 0.9879, 0.9877, 0.9905, 0.9859, 0.9862, 0.9885, 0.9833, 0.9877, 0.9898, 0.9872, 0.9872, 0.9862, 0.9892, 0.9882, 0.9838, 0.9848, 0.9847, 0.9889, 0.9874, 0.9843]	
Results: 	[0.9822, 0.9768, 0.9793, 0.988, 0.9879, 0.9877, 0.9905, 0.9859, 0.9862, 0.9885, 0.9833, 0.9877, 0.9898, 0.9872, 0.9872, 0.9862, 0.9892, 0.9882, 0.9838, 0.9848, 0.9847, 0.9889, 0.9874, 0.9843, 0.9867]	
