Results: 	[0.9879]	
Results: 	[0.9879, 0.9897]	
Results: 	[0.9879, 0.9897, 0.9841]	
Results: 	[0.9879, 0.9897, 0.9841, 0.9897]	
Results: 	[0.9879, 0.9897, 0.9841, 0.9897, 0.9767]	
Results: 	[0.9879, 0.9897, 0.9841, 0.9897, 0.9767, 0.9897]	
Results: 	[0.9879, 0.9897, 0.9841, 0.9897, 0.9767, 0.9897, 0.9879]	
Results: 	[0.9879, 0.9897, 0.9841, 0.9897, 0.9767, 0.9897, 0.9879, 0.9851]	
Results: 	[0.9879, 0.9897, 0.9841, 0.9897, 0.9767, 0.9897, 0.9879, 0.9851, 0.9739]	
Results: 	[0.9879, 0.9897, 0.9841, 0.9897, 0.9767, 0.9897, 0.9879, 0.9851, 0.9739, 0.9935]	
Results: 	[0.9879, 0.9897, 0.9841, 0.9897, 0.9767, 0.9897, 0.9879, 0.9851, 0.9739, 0.9935, 0.9897]	
Results: 	[0.9879, 0.9897, 0.9841, 0.9897, 0.9767, 0.9897, 0.9879, 0.9851, 0.9739, 0.9935, 0.9897, 0.9813]	
Results: 	[0.9879, 0.9897, 0.9841, 0.9897, 0.9767, 0.9897, 0.9879, 0.9851, 0.9739, 0.9935, 0.9897, 0.9813, 0.9897]	
Results: 	[0.9879, 0.9897, 0.9841, 0.9897, 0.9767, 0.9897, 0.9879, 0.9851, 0.9739, 0.9935, 0.9897, 0.9813, 0.9897, 0.9804]	
Results: 	[0.9879, 0.9897, 0.9841, 0.9897, 0.9767, 0.9897, 0.9879, 0.9851, 0.9739, 0.9935, 0.9897, 0.9813, 0.9897, 0.9804, 0.9897]	
Results: 	[0.9879, 0.9897, 0.9841, 0.9897, 0.9767, 0.9897, 0.9879, 0.9851, 0.9739, 0.9935, 0.9897, 0.9813, 0.9897, 0.9804, 0.9897, 0.9795]	
Results: 	[0.9879, 0.9897, 0.9841, 0.9897, 0.9767, 0.9897, 0.9879, 0.9851, 0.9739, 0.9935, 0.9897, 0.9813, 0.9897, 0.9804, 0.9897, 0.9795, 0.9888]	
Results: 	[0.9879, 0.9897, 0.9841, 0.9897, 0.9767, 0.9897, 0.9879, 0.9851, 0.9739, 0.9935, 0.9897, 0.9813, 0.9897, 0.9804, 0.9897, 0.9795, 0.9888, 0.9907]	
Results: 	[0.9879, 0.9897, 0.9841, 0.9897, 0.9767, 0.9897, 0.9879, 0.9851, 0.9739, 0.9935, 0.9897, 0.9813, 0.9897, 0.9804, 0.9897, 0.9795, 0.9888, 0.9907, 0.9767]	
Results: 	[0.9879, 0.9897, 0.9841, 0.9897, 0.9767, 0.9897, 0.9879, 0.9851, 0.9739, 0.9935, 0.9897, 0.9813, 0.9897, 0.9804, 0.9897, 0.9795, 0.9888, 0.9907, 0.9767, 0.9888]	
Results: 	[0.9879, 0.9897, 0.9841, 0.9897, 0.9767, 0.9897, 0.9879, 0.9851, 0.9739, 0.9935, 0.9897, 0.9813, 0.9897, 0.9804, 0.9897, 0.9795, 0.9888, 0.9907, 0.9767, 0.9888, 0.9907]	
Results: 	[0.9879, 0.9897, 0.9841, 0.9897, 0.9767, 0.9897, 0.9879, 0.9851, 0.9739, 0.9935, 0.9897, 0.9813, 0.9897, 0.9804, 0.9897, 0.9795, 0.9888, 0.9907, 0.9767, 0.9888, 0.9907, 0.9907]	
Results: 	[0.9879, 0.9897, 0.9841, 0.9897, 0.9767, 0.9897, 0.9879, 0.9851, 0.9739, 0.9935, 0.9897, 0.9813, 0.9897, 0.9804, 0.9897, 0.9795, 0.9888, 0.9907, 0.9767, 0.9888, 0.9907, 0.9907, 0.9879]	
Results: 	[0.9879, 0.9897, 0.9841, 0.9897, 0.9767, 0.9897, 0.9879, 0.9851, 0.9739, 0.9935, 0.9897, 0.9813, 0.9897, 0.9804, 0.9897, 0.9795, 0.9888, 0.9907, 0.9767, 0.9888, 0.9907, 0.9907, 0.9879, 0.9879]	
Results: 	[0.9879, 0.9897, 0.9841, 0.9897, 0.9767, 0.9897, 0.9879, 0.9851, 0.9739, 0.9935, 0.9897, 0.9813, 0.9897, 0.9804, 0.9897, 0.9795, 0.9888, 0.9907, 0.9767, 0.9888, 0.9907, 0.9907, 0.9879, 0.9879, 0.9879]	
Results: 	[0.9879, 0.9897, 0.9841, 0.9897, 0.9767, 0.9897, 0.9879, 0.9851, 0.9739, 0.9935, 0.9897, 0.9813, 0.9897, 0.9804, 0.9897, 0.9795, 0.9888, 0.9907, 0.9767, 0.9888, 0.9907, 0.9907, 0.9879, 0.9879, 0.9879, 0.9888]	
Results: 	[0.9879, 0.9897, 0.9841, 0.9897, 0.9767, 0.9897, 0.9879, 0.9851, 0.9739, 0.9935, 0.9897, 0.9813, 0.9897, 0.9804, 0.9897, 0.9795, 0.9888, 0.9907, 0.9767, 0.9888, 0.9907, 0.9907, 0.9879, 0.9879, 0.9879, 0.9888, 0.9879]	
Results: 	[0.9879, 0.9897, 0.9841, 0.9897, 0.9767, 0.9897, 0.9879, 0.9851, 0.9739, 0.9935, 0.9897, 0.9813, 0.9897, 0.9804, 0.9897, 0.9795, 0.9888, 0.9907, 0.9767, 0.9888, 0.9907, 0.9907, 0.9879, 0.9879, 0.9879, 0.9888, 0.9879, 0.9888]	
Results: 	[0.9879, 0.9897, 0.9841, 0.9897, 0.9767, 0.9897, 0.9879, 0.9851, 0.9739, 0.9935, 0.9897, 0.9813, 0.9897, 0.9804, 0.9897, 0.9795, 0.9888, 0.9907, 0.9767, 0.9888, 0.9907, 0.9907, 0.9879, 0.9879, 0.9879, 0.9888, 0.9879, 0.9888, 0.9897]	
Results: 	[0.9879, 0.9897, 0.9841, 0.9897, 0.9767, 0.9897, 0.9879, 0.9851, 0.9739, 0.9935, 0.9897, 0.9813, 0.9897, 0.9804, 0.9897, 0.9795, 0.9888, 0.9907, 0.9767, 0.9888, 0.9907, 0.9907, 0.9879, 0.9879, 0.9879, 0.9888, 0.9879, 0.9888, 0.9897, 0.9879]
30 Support Sets: (Mean:0.9867233333333334, SD:0.00483804486966787) | 	

















































