[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6233286392549029],[0.8235513425127086],[0.8479882115820089],[0.8048895899053627],[0.8548444130127298],[0.8048895899053627],[0.6233286392549029]]	 ; [[0.6233286392549029],[0.8235513425127086],[0.8479882115820089],[0.8048895899053627],[0.8548444130127298],[0.8048895899053627],[0.6233286392549029]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7241074753910145],[0.8384690918403123],[0.8785542874952298],[0.8143533123028391],[0.8391373519533322],[0.8143533123028391],[0.7241074753910146]]	 ; [[0.7241074753910145],[0.8384690918403123],[0.8785542874952298],[0.8143533123028391],[0.8548444130127298],[0.8143533123028391],[0.7241074753910146]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5710723797943704],[0.8544914434238288],[0.8438713495636452],[0.8698738170347003],[0.9520862800565771],[0.8698738170347003],[0.5710723797943704]]	 ; [[0.7241074753910145],[0.8544914434238288],[0.8785542874952298],[0.8698738170347003],[0.9520862800565771],[0.8698738170347003],[0.7241074753910146]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.494427074286376],[0.8325494824857356],[0.8020764505293811],[0.8695583596214511],[0.9727722772277227],[0.8695583596214511],[0.494427074286376]]	 ; [[0.7241074753910145],[0.8544914434238288],[0.8785542874952298],[0.8698738170347003],[0.9727722772277227],[0.8698738170347003],[0.7241074753910146]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6966058917921868],[0.8813909297225693],[0.8822106948692625],[0.8805993690851736],[0.9312234794908062],[0.8805993690851736],[0.6966058917921867]]	 ; [[0.7241074753910145],[0.8813909297225693],[0.8822106948692625],[0.8805993690851736],[0.9727722772277227],[0.8805993690851736],[0.7241074753910146]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8079160359644988],[0.8432093370903717],[0.9035851816560747],[0.8143533123028391],[0.8161244695898161],[0.8143533123028391],[0.8079160359644987]]	 ; [[0.8079160359644988],[0.8813909297225693],[0.9035851816560747],[0.8805993690851736],[0.9727722772277227],[0.8805993690851736],[0.8079160359644987]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8304062549112055],[0.8222429295959607],[0.9114100660613095],[0.7845425867507887],[0.771923620933522],[0.7845425867507887],[0.8304062549112055]]	 ; [[0.8304062549112055],[0.8813909297225693],[0.9114100660613095],[0.8805993690851736],[0.9727722772277227],[0.8805993690851736],[0.8304062549112055]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8345063359719431],[0.8106807127256036],[0.9137644535593763],[0.7689274447949527],[0.7508840169731259],[0.7689274447949527],[0.8345063359719431]]	 ; [[0.8345063359719431],[0.8813909297225693],[0.9137644535593763],[0.8805993690851736],[0.9727722772277227],[0.8805993690851736],[0.8345063359719431]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8048033105824396],[0.752249212886031],[0.9108777538296089],[0.6941640378548896],[0.6637793883683931],[0.6941640378548896],[0.8048033105824396]]	 ; [[0.8345063359719431],[0.8813909297225693],[0.9137644535593763],[0.8805993690851736],[0.9727722772277227],[0.8805993690851736],[0.8345063359719431]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8486853769064151],[0.9057328845152968],[0.923069331195442],[0.8965299684542587],[0.9096694360968711],[0.8965299684542587],[0.8486853769064151]]	 ; [[0.8486853769064151],[0.9057328845152968],[0.923069331195442],[0.8965299684542587],[0.9727722772277227],[0.8965299684542587],[0.8486853769064151]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8669099893341436],[0.8667329463906283],[0.9221711988442529],[0.8429022082018928],[0.8363089977019622],[0.8429022082018928],[0.8669099893341436]]	 ; [[0.8669099893341436],[0.9057328845152968],[0.923069331195442],[0.8965299684542587],[0.9727722772277227],[0.8965299684542587],[0.8669099893341436]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.83238107645351],[0.7981932310396972],[0.9143747103572661],[0.7525236593059937],[0.7305516265912305],[0.7525236593059937],[0.83238107645351]]	 ; [[0.8669099893341436],[0.9057328845152968],[0.923069331195442],[0.8965299684542587],[0.9727722772277227],[0.8965299684542587],[0.8669099893341436]]
