Results: 	[0.9244]	
Results: 	[0.9244, 0.9572]	
Results: 	[0.9244, 0.9572, 0.94]	
Results: 	[0.9244, 0.9572, 0.94, 0.9587]	
Results: 	[0.9244, 0.9572, 0.94, 0.9587, 0.8977]	
Results: 	[0.9244, 0.9572, 0.94, 0.9587, 0.8977, 0.9486]	
Results: 	[0.9244, 0.9572, 0.94, 0.9587, 0.8977, 0.9486, 0.9485]	
Results: 	[0.9244, 0.9572, 0.94, 0.9587, 0.8977, 0.9486, 0.9485, 0.9634]	
Results: 	[0.9244, 0.9572, 0.94, 0.9587, 0.8977, 0.9486, 0.9485, 0.9634, 0.9192]	
Results: 	[0.9244, 0.9572, 0.94, 0.9587, 0.8977, 0.9486, 0.9485, 0.9634, 0.9192, 0.8646]	
Results: 	[0.9244, 0.9572, 0.94, 0.9587, 0.8977, 0.9486, 0.9485, 0.9634, 0.9192, 0.8646, 0.9324]	
Results: 	[0.9244, 0.9572, 0.94, 0.9587, 0.8977, 0.9486, 0.9485, 0.9634, 0.9192, 0.8646, 0.9324, 0.9582]	
Results: 	[0.9244, 0.9572, 0.94, 0.9587, 0.8977, 0.9486, 0.9485, 0.9634, 0.9192, 0.8646, 0.9324, 0.9582, 0.9548]	
Results: 	[0.9244, 0.9572, 0.94, 0.9587, 0.8977, 0.9486, 0.9485, 0.9634, 0.9192, 0.8646, 0.9324, 0.9582, 0.9548, 0.9541]	
Results: 	[0.9244, 0.9572, 0.94, 0.9587, 0.8977, 0.9486, 0.9485, 0.9634, 0.9192, 0.8646, 0.9324, 0.9582, 0.9548, 0.9541, 0.9641]	
Results: 	[0.9244, 0.9572, 0.94, 0.9587, 0.8977, 0.9486, 0.9485, 0.9634, 0.9192, 0.8646, 0.9324, 0.9582, 0.9548, 0.9541, 0.9641, 0.9474]	
Results: 	[0.9244, 0.9572, 0.94, 0.9587, 0.8977, 0.9486, 0.9485, 0.9634, 0.9192, 0.8646, 0.9324, 0.9582, 0.9548, 0.9541, 0.9641, 0.9474, 0.9549]	
Results: 	[0.9244, 0.9572, 0.94, 0.9587, 0.8977, 0.9486, 0.9485, 0.9634, 0.9192, 0.8646, 0.9324, 0.9582, 0.9548, 0.9541, 0.9641, 0.9474, 0.9549, 0.9512]	
Results: 	[0.9244, 0.9572, 0.94, 0.9587, 0.8977, 0.9486, 0.9485, 0.9634, 0.9192, 0.8646, 0.9324, 0.9582, 0.9548, 0.9541, 0.9641, 0.9474, 0.9549, 0.9512, 0.9674]	
Results: 	[0.9244, 0.9572, 0.94, 0.9587, 0.8977, 0.9486, 0.9485, 0.9634, 0.9192, 0.8646, 0.9324, 0.9582, 0.9548, 0.9541, 0.9641, 0.9474, 0.9549, 0.9512, 0.9674, 0.9564]	
Results: 	[0.9244, 0.9572, 0.94, 0.9587, 0.8977, 0.9486, 0.9485, 0.9634, 0.9192, 0.8646, 0.9324, 0.9582, 0.9548, 0.9541, 0.9641, 0.9474, 0.9549, 0.9512, 0.9674, 0.9564, 0.9248]	
Results: 	[0.9244, 0.9572, 0.94, 0.9587, 0.8977, 0.9486, 0.9485, 0.9634, 0.9192, 0.8646, 0.9324, 0.9582, 0.9548, 0.9541, 0.9641, 0.9474, 0.9549, 0.9512, 0.9674, 0.9564, 0.9248, 0.8051]	
Results: 	[0.9244, 0.9572, 0.94, 0.9587, 0.8977, 0.9486, 0.9485, 0.9634, 0.9192, 0.8646, 0.9324, 0.9582, 0.9548, 0.9541, 0.9641, 0.9474, 0.9549, 0.9512, 0.9674, 0.9564, 0.9248, 0.8051, 0.9599]	
Results: 	[0.9244, 0.9572, 0.94, 0.9587, 0.8977, 0.9486, 0.9485, 0.9634, 0.9192, 0.8646, 0.9324, 0.9582, 0.9548, 0.9541, 0.9641, 0.9474, 0.9549, 0.9512, 0.9674, 0.9564, 0.9248, 0.8051, 0.9599, 0.9698]	
Results: 	[0.9244, 0.9572, 0.94, 0.9587, 0.8977, 0.9486, 0.9485, 0.9634, 0.9192, 0.8646, 0.9324, 0.9582, 0.9548, 0.9541, 0.9641, 0.9474, 0.9549, 0.9512, 0.9674, 0.9564, 0.9248, 0.8051, 0.9599, 0.9698, 0.867]	
Results: 	[0.9244, 0.9572, 0.94, 0.9587, 0.8977, 0.9486, 0.9485, 0.9634, 0.9192, 0.8646, 0.9324, 0.9582, 0.9548, 0.9541, 0.9641, 0.9474, 0.9549, 0.9512, 0.9674, 0.9564, 0.9248, 0.8051, 0.9599, 0.9698, 0.867, 0.9603]	
