Results: 	[0.9448]	
Results: 	[0.9448, 0.9612]	
Results: 	[0.9448, 0.9612, 0.9509]	
Results: 	[0.9448, 0.9612, 0.9509, 0.9623]	
Results: 	[0.9448, 0.9612, 0.9509, 0.9623, 0.9355]	
Results: 	[0.9448, 0.9612, 0.9509, 0.9623, 0.9355, 0.9563]	
Results: 	[0.9448, 0.9612, 0.9509, 0.9623, 0.9355, 0.9563, 0.9558]	
Results: 	[0.9448, 0.9612, 0.9509, 0.9623, 0.9355, 0.9563, 0.9558, 0.9655]	
Results: 	[0.9448, 0.9612, 0.9509, 0.9623, 0.9355, 0.9563, 0.9558, 0.9655, 0.9404]	
Results: 	[0.9448, 0.9612, 0.9509, 0.9623, 0.9355, 0.9563, 0.9558, 0.9655, 0.9404, 0.9261]	
Results: 	[0.9448, 0.9612, 0.9509, 0.9623, 0.9355, 0.9563, 0.9558, 0.9655, 0.9404, 0.9261, 0.9472]	
Results: 	[0.9448, 0.9612, 0.9509, 0.9623, 0.9355, 0.9563, 0.9558, 0.9655, 0.9404, 0.9261, 0.9472, 0.9601]	
Results: 	[0.9448, 0.9612, 0.9509, 0.9623, 0.9355, 0.9563, 0.9558, 0.9655, 0.9404, 0.9261, 0.9472, 0.9601, 0.9595]	
Results: 	[0.9448, 0.9612, 0.9509, 0.9623, 0.9355, 0.9563, 0.9558, 0.9655, 0.9404, 0.9261, 0.9472, 0.9601, 0.9595, 0.9591]	
Results: 	[0.9448, 0.9612, 0.9509, 0.9623, 0.9355, 0.9563, 0.9558, 0.9655, 0.9404, 0.9261, 0.9472, 0.9601, 0.9595, 0.9591, 0.9662]	
Results: 	[0.9448, 0.9612, 0.9509, 0.9623, 0.9355, 0.9563, 0.9558, 0.9655, 0.9404, 0.9261, 0.9472, 0.9601, 0.9595, 0.9591, 0.9662, 0.955]	
Results: 	[0.9448, 0.9612, 0.9509, 0.9623, 0.9355, 0.9563, 0.9558, 0.9655, 0.9404, 0.9261, 0.9472, 0.9601, 0.9595, 0.9591, 0.9662, 0.955, 0.9598]	
Results: 	[0.9448, 0.9612, 0.9509, 0.9623, 0.9355, 0.9563, 0.9558, 0.9655, 0.9404, 0.9261, 0.9472, 0.9601, 0.9595, 0.9591, 0.9662, 0.955, 0.9598, 0.9573]	
Results: 	[0.9448, 0.9612, 0.9509, 0.9623, 0.9355, 0.9563, 0.9558, 0.9655, 0.9404, 0.9261, 0.9472, 0.9601, 0.9595, 0.9591, 0.9662, 0.955, 0.9598, 0.9573, 0.9687]	
Results: 	[0.9448, 0.9612, 0.9509, 0.9623, 0.9355, 0.9563, 0.9558, 0.9655, 0.9404, 0.9261, 0.9472, 0.9601, 0.9595, 0.9591, 0.9662, 0.955, 0.9598, 0.9573, 0.9687, 0.9606]	
Results: 	[0.9448, 0.9612, 0.9509, 0.9623, 0.9355, 0.9563, 0.9558, 0.9655, 0.9404, 0.9261, 0.9472, 0.9601, 0.9595, 0.9591, 0.9662, 0.955, 0.9598, 0.9573, 0.9687, 0.9606, 0.9374]	
Results: 	[0.9448, 0.9612, 0.9509, 0.9623, 0.9355, 0.9563, 0.9558, 0.9655, 0.9404, 0.9261, 0.9472, 0.9601, 0.9595, 0.9591, 0.9662, 0.955, 0.9598, 0.9573, 0.9687, 0.9606, 0.9374, 0.7902]	
Results: 	[0.9448, 0.9612, 0.9509, 0.9623, 0.9355, 0.9563, 0.9558, 0.9655, 0.9404, 0.9261, 0.9472, 0.9601, 0.9595, 0.9591, 0.9662, 0.955, 0.9598, 0.9573, 0.9687, 0.9606, 0.9374, 0.7902, 0.9632]	
Results: 	[0.9448, 0.9612, 0.9509, 0.9623, 0.9355, 0.9563, 0.9558, 0.9655, 0.9404, 0.9261, 0.9472, 0.9601, 0.9595, 0.9591, 0.9662, 0.955, 0.9598, 0.9573, 0.9687, 0.9606, 0.9374, 0.7902, 0.9632, 0.9706]	
Results: 	[0.9448, 0.9612, 0.9509, 0.9623, 0.9355, 0.9563, 0.9558, 0.9655, 0.9404, 0.9261, 0.9472, 0.9601, 0.9595, 0.9591, 0.9662, 0.955, 0.9598, 0.9573, 0.9687, 0.9606, 0.9374, 0.7902, 0.9632, 0.9706, 0.926]	
Results: 	[0.9448, 0.9612, 0.9509, 0.9623, 0.9355, 0.9563, 0.9558, 0.9655, 0.9404, 0.9261, 0.9472, 0.9601, 0.9595, 0.9591, 0.9662, 0.955, 0.9598, 0.9573, 0.9687, 0.9606, 0.9374, 0.7902, 0.9632, 0.9706, 0.926, 0.9634]	
Results: 	[0.9448, 0.9612, 0.9509, 0.9623, 0.9355, 0.9563, 0.9558, 0.9655, 0.9404, 0.9261, 0.9472, 0.9601, 0.9595, 0.9591, 0.9662, 0.955, 0.9598, 0.9573, 0.9687, 0.9606, 0.9374, 0.7902, 0.9632, 0.9706, 0.926, 0.9634, 0.9409]	
Results: 	[0.9448, 0.9612, 0.9509, 0.9623, 0.9355, 0.9563, 0.9558, 0.9655, 0.9404, 0.9261, 0.9472, 0.9601, 0.9595, 0.9591, 0.9662, 0.955, 0.9598, 0.9573, 0.9687, 0.9606, 0.9374, 0.7902, 0.9632, 0.9706, 0.926, 0.9634, 0.9409, 0.9602]	
Results: 	[0.9448, 0.9612, 0.9509, 0.9623, 0.9355, 0.9563, 0.9558, 0.9655, 0.9404, 0.9261, 0.9472, 0.9601, 0.9595, 0.9591, 0.9662, 0.955, 0.9598, 0.9573, 0.9687, 0.9606, 0.9374, 0.7902, 0.9632, 0.9706, 0.926, 0.9634, 0.9409, 0.9602, 0.9019]	
Results: 	[0.9448, 0.9612, 0.9509, 0.9623, 0.9355, 0.9563, 0.9558, 0.9655, 0.9404, 0.9261, 0.9472, 0.9601, 0.9595, 0.9591, 0.9662, 0.955, 0.9598, 0.9573, 0.9687, 0.9606, 0.9374, 0.7902, 0.9632, 0.9706, 0.926, 0.9634, 0.9409, 0.9602, 0.9019, 0.9476]
30 Support Sets: (Mean:0.9464566666666667, SD:0.033141303361602224) | 	















































































































































