Results: 	[0.9823]	
Results: 	[0.9823, 0.981]	
Results: 	[0.9823, 0.981, 0.9791]	
Results: 	[0.9823, 0.981, 0.9791, 0.981]	
Results: 	[0.9823, 0.981, 0.9791, 0.981, 0.9828]	
Results: 	[0.9823, 0.981, 0.9791, 0.981, 0.9828, 0.9724]	
Results: 	[0.9823, 0.981, 0.9791, 0.981, 0.9828, 0.9724, 0.9818]	
Results: 	[0.9823, 0.981, 0.9791, 0.981, 0.9828, 0.9724, 0.9818, 0.9845]	
Results: 	[0.9823, 0.981, 0.9791, 0.981, 0.9828, 0.9724, 0.9818, 0.9845, 0.9817]	
Results: 	[0.9823, 0.981, 0.9791, 0.981, 0.9828, 0.9724, 0.9818, 0.9845, 0.9817, 0.9777]	
Results: 	[0.9823, 0.981, 0.9791, 0.981, 0.9828, 0.9724, 0.9818, 0.9845, 0.9817, 0.9777, 0.9837]	
Results: 	[0.9823, 0.981, 0.9791, 0.981, 0.9828, 0.9724, 0.9818, 0.9845, 0.9817, 0.9777, 0.9837, 0.982]	
Results: 	[0.9823, 0.981, 0.9791, 0.981, 0.9828, 0.9724, 0.9818, 0.9845, 0.9817, 0.9777, 0.9837, 0.982, 0.982]	
Results: 	[0.9823, 0.981, 0.9791, 0.981, 0.9828, 0.9724, 0.9818, 0.9845, 0.9817, 0.9777, 0.9837, 0.982, 0.982, 0.9836]	
Results: 	[0.9823, 0.981, 0.9791, 0.981, 0.9828, 0.9724, 0.9818, 0.9845, 0.9817, 0.9777, 0.9837, 0.982, 0.982, 0.9836, 0.9711]	
Results: 	[0.9823, 0.981, 0.9791, 0.981, 0.9828, 0.9724, 0.9818, 0.9845, 0.9817, 0.9777, 0.9837, 0.982, 0.982, 0.9836, 0.9711, 0.9839]	
Results: 	[0.9823, 0.981, 0.9791, 0.981, 0.9828, 0.9724, 0.9818, 0.9845, 0.9817, 0.9777, 0.9837, 0.982, 0.982, 0.9836, 0.9711, 0.9839, 0.9782]	
Results: 	[0.9823, 0.981, 0.9791, 0.981, 0.9828, 0.9724, 0.9818, 0.9845, 0.9817, 0.9777, 0.9837, 0.982, 0.982, 0.9836, 0.9711, 0.9839, 0.9782, 0.9814]	
Results: 	[0.9823, 0.981, 0.9791, 0.981, 0.9828, 0.9724, 0.9818, 0.9845, 0.9817, 0.9777, 0.9837, 0.982, 0.982, 0.9836, 0.9711, 0.9839, 0.9782, 0.9814, 0.982]	
Results: 	[0.9823, 0.981, 0.9791, 0.981, 0.9828, 0.9724, 0.9818, 0.9845, 0.9817, 0.9777, 0.9837, 0.982, 0.982, 0.9836, 0.9711, 0.9839, 0.9782, 0.9814, 0.982, 0.9837]	
Results: 	[0.9823, 0.981, 0.9791, 0.981, 0.9828, 0.9724, 0.9818, 0.9845, 0.9817, 0.9777, 0.9837, 0.982, 0.982, 0.9836, 0.9711, 0.9839, 0.9782, 0.9814, 0.982, 0.9837, 0.9815]	
Results: 	[0.9823, 0.981, 0.9791, 0.981, 0.9828, 0.9724, 0.9818, 0.9845, 0.9817, 0.9777, 0.9837, 0.982, 0.982, 0.9836, 0.9711, 0.9839, 0.9782, 0.9814, 0.982, 0.9837, 0.9815, 0.9784]	
Results: 	[0.9823, 0.981, 0.9791, 0.981, 0.9828, 0.9724, 0.9818, 0.9845, 0.9817, 0.9777, 0.9837, 0.982, 0.982, 0.9836, 0.9711, 0.9839, 0.9782, 0.9814, 0.982, 0.9837, 0.9815, 0.9784, 0.9815]	
