Results: 	[0.985]	
Results: 	[0.985, 0.9802]	
Results: 	[0.985, 0.9802, 0.9849]	
Results: 	[0.985, 0.9802, 0.9849, 0.9847]	
Results: 	[0.985, 0.9802, 0.9849, 0.9847, 0.9849]	
Results: 	[0.985, 0.9802, 0.9849, 0.9847, 0.9849, 0.9835]	
Results: 	[0.985, 0.9802, 0.9849, 0.9847, 0.9849, 0.9835, 0.9847]	
Results: 	[0.985, 0.9802, 0.9849, 0.9847, 0.9849, 0.9835, 0.9847, 0.9762]	
Results: 	[0.985, 0.9802, 0.9849, 0.9847, 0.9849, 0.9835, 0.9847, 0.9762, 0.9844]	
Results: 	[0.985, 0.9802, 0.9849, 0.9847, 0.9849, 0.9835, 0.9847, 0.9762, 0.9844, 0.9847]	
Results: 	[0.985, 0.9802, 0.9849, 0.9847, 0.9849, 0.9835, 0.9847, 0.9762, 0.9844, 0.9847, 0.9847]	
Results: 	[0.985, 0.9802, 0.9849, 0.9847, 0.9849, 0.9835, 0.9847, 0.9762, 0.9844, 0.9847, 0.9847, 0.985]	
Results: 	[0.985, 0.9802, 0.9849, 0.9847, 0.9849, 0.9835, 0.9847, 0.9762, 0.9844, 0.9847, 0.9847, 0.985, 0.9847]	
Results: 	[0.985, 0.9802, 0.9849, 0.9847, 0.9849, 0.9835, 0.9847, 0.9762, 0.9844, 0.9847, 0.9847, 0.985, 0.9847, 0.9809]	
Results: 	[0.985, 0.9802, 0.9849, 0.9847, 0.9849, 0.9835, 0.9847, 0.9762, 0.9844, 0.9847, 0.9847, 0.985, 0.9847, 0.9809, 0.982]	
Results: 	[0.985, 0.9802, 0.9849, 0.9847, 0.9849, 0.9835, 0.9847, 0.9762, 0.9844, 0.9847, 0.9847, 0.985, 0.9847, 0.9809, 0.982, 0.9752]	
Results: 	[0.985, 0.9802, 0.9849, 0.9847, 0.9849, 0.9835, 0.9847, 0.9762, 0.9844, 0.9847, 0.9847, 0.985, 0.9847, 0.9809, 0.982, 0.9752, 0.983]	
Results: 	[0.985, 0.9802, 0.9849, 0.9847, 0.9849, 0.9835, 0.9847, 0.9762, 0.9844, 0.9847, 0.9847, 0.985, 0.9847, 0.9809, 0.982, 0.9752, 0.983, 0.9808]	
Results: 	[0.985, 0.9802, 0.9849, 0.9847, 0.9849, 0.9835, 0.9847, 0.9762, 0.9844, 0.9847, 0.9847, 0.985, 0.9847, 0.9809, 0.982, 0.9752, 0.983, 0.9808, 0.983]	
Results: 	[0.985, 0.9802, 0.9849, 0.9847, 0.9849, 0.9835, 0.9847, 0.9762, 0.9844, 0.9847, 0.9847, 0.985, 0.9847, 0.9809, 0.982, 0.9752, 0.983, 0.9808, 0.983, 0.9847]	
Results: 	[0.985, 0.9802, 0.9849, 0.9847, 0.9849, 0.9835, 0.9847, 0.9762, 0.9844, 0.9847, 0.9847, 0.985, 0.9847, 0.9809, 0.982, 0.9752, 0.983, 0.9808, 0.983, 0.9847, 0.9847]	
Results: 	[0.985, 0.9802, 0.9849, 0.9847, 0.9849, 0.9835, 0.9847, 0.9762, 0.9844, 0.9847, 0.9847, 0.985, 0.9847, 0.9809, 0.982, 0.9752, 0.983, 0.9808, 0.983, 0.9847, 0.9847, 0.9847]	
Results: 	[0.985, 0.9802, 0.9849, 0.9847, 0.9849, 0.9835, 0.9847, 0.9762, 0.9844, 0.9847, 0.9847, 0.985, 0.9847, 0.9809, 0.982, 0.9752, 0.983, 0.9808, 0.983, 0.9847, 0.9847, 0.9847, 0.985]	
Results: 	[0.985, 0.9802, 0.9849, 0.9847, 0.9849, 0.9835, 0.9847, 0.9762, 0.9844, 0.9847, 0.9847, 0.985, 0.9847, 0.9809, 0.982, 0.9752, 0.983, 0.9808, 0.983, 0.9847, 0.9847, 0.9847, 0.985, 0.9841]	
Results: 	[0.985, 0.9802, 0.9849, 0.9847, 0.9849, 0.9835, 0.9847, 0.9762, 0.9844, 0.9847, 0.9847, 0.985, 0.9847, 0.9809, 0.982, 0.9752, 0.983, 0.9808, 0.983, 0.9847, 0.9847, 0.9847, 0.985, 0.9841, 0.9815]	
Results: 	[0.985, 0.9802, 0.9849, 0.9847, 0.9849, 0.9835, 0.9847, 0.9762, 0.9844, 0.9847, 0.9847, 0.985, 0.9847, 0.9809, 0.982, 0.9752, 0.983, 0.9808, 0.983, 0.9847, 0.9847, 0.9847, 0.985, 0.9841, 0.9815, 0.9811]	
Results: 	[0.985, 0.9802, 0.9849, 0.9847, 0.9849, 0.9835, 0.9847, 0.9762, 0.9844, 0.9847, 0.9847, 0.985, 0.9847, 0.9809, 0.982, 0.9752, 0.983, 0.9808, 0.983, 0.9847, 0.9847, 0.9847, 0.985, 0.9841, 0.9815, 0.9811, 0.9851]	
Results: 	[0.985, 0.9802, 0.9849, 0.9847, 0.9849, 0.9835, 0.9847, 0.9762, 0.9844, 0.9847, 0.9847, 0.985, 0.9847, 0.9809, 0.982, 0.9752, 0.983, 0.9808, 0.983, 0.9847, 0.9847, 0.9847, 0.985, 0.9841, 0.9815, 0.9811, 0.9851, 0.9847]	
Results: 	[0.985, 0.9802, 0.9849, 0.9847, 0.9849, 0.9835, 0.9847, 0.9762, 0.9844, 0.9847, 0.9847, 0.985, 0.9847, 0.9809, 0.982, 0.9752, 0.983, 0.9808, 0.983, 0.9847, 0.9847, 0.9847, 0.985, 0.9841, 0.9815, 0.9811, 0.9851, 0.9847, 0.9849]	
Results: 	[0.985, 0.9802, 0.9849, 0.9847, 0.9849, 0.9835, 0.9847, 0.9762, 0.9844, 0.9847, 0.9847, 0.985, 0.9847, 0.9809, 0.982, 0.9752, 0.983, 0.9808, 0.983, 0.9847, 0.9847, 0.9847, 0.985, 0.9841, 0.9815, 0.9811, 0.9851, 0.9847, 0.9849, 0.9847]
30 Support Sets: (Mean:0.9832566666666667, SD:0.0025502783260322693) | 	






































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































