Results: 	[0.9894]	
Results: 	[0.9894, 0.9876]	
Results: 	[0.9894, 0.9876, 0.9857]	
Results: 	[0.9894, 0.9876, 0.9857, 0.9876]	
Results: 	[0.9894, 0.9876, 0.9857, 0.9876, 0.9906]	
Results: 	[0.9894, 0.9876, 0.9857, 0.9876, 0.9906, 0.9772]	
Results: 	[0.9894, 0.9876, 0.9857, 0.9876, 0.9906, 0.9772, 0.9889]	
Results: 	[0.9894, 0.9876, 0.9857, 0.9876, 0.9906, 0.9772, 0.9889, 0.9931]	
Results: 	[0.9894, 0.9876, 0.9857, 0.9876, 0.9906, 0.9772, 0.9889, 0.9931, 0.9887]	
Results: 	[0.9894, 0.9876, 0.9857, 0.9876, 0.9906, 0.9772, 0.9889, 0.9931, 0.9887, 0.9834]	
Results: 	[0.9894, 0.9876, 0.9857, 0.9876, 0.9906, 0.9772, 0.9889, 0.9931, 0.9887, 0.9834, 0.9927]	
Results: 	[0.9894, 0.9876, 0.9857, 0.9876, 0.9906, 0.9772, 0.9889, 0.9931, 0.9887, 0.9834, 0.9927, 0.9889]	
Results: 	[0.9894, 0.9876, 0.9857, 0.9876, 0.9906, 0.9772, 0.9889, 0.9931, 0.9887, 0.9834, 0.9927, 0.9889, 0.9887]	
Results: 	[0.9894, 0.9876, 0.9857, 0.9876, 0.9906, 0.9772, 0.9889, 0.9931, 0.9887, 0.9834, 0.9927, 0.9889, 0.9887, 0.9926]	
Results: 	[0.9894, 0.9876, 0.9857, 0.9876, 0.9906, 0.9772, 0.9889, 0.9931, 0.9887, 0.9834, 0.9927, 0.9889, 0.9887, 0.9926, 0.9761]	
Results: 	[0.9894, 0.9876, 0.9857, 0.9876, 0.9906, 0.9772, 0.9889, 0.9931, 0.9887, 0.9834, 0.9927, 0.9889, 0.9887, 0.9926, 0.9761, 0.9929]	
Results: 	[0.9894, 0.9876, 0.9857, 0.9876, 0.9906, 0.9772, 0.9889, 0.9931, 0.9887, 0.9834, 0.9927, 0.9889, 0.9887, 0.9926, 0.9761, 0.9929, 0.9837]	
Results: 	[0.9894, 0.9876, 0.9857, 0.9876, 0.9906, 0.9772, 0.9889, 0.9931, 0.9887, 0.9834, 0.9927, 0.9889, 0.9887, 0.9926, 0.9761, 0.9929, 0.9837, 0.988]	
Results: 	[0.9894, 0.9876, 0.9857, 0.9876, 0.9906, 0.9772, 0.9889, 0.9931, 0.9887, 0.9834, 0.9927, 0.9889, 0.9887, 0.9926, 0.9761, 0.9929, 0.9837, 0.988, 0.9892]	
