Results: 	[0.9853]	
Results: 	[0.9853, 0.9853]	
Results: 	[0.9853, 0.9853, 0.9853]	
Results: 	[0.9853, 0.9853, 0.9853, 0.9853]	
Results: 	[0.9853, 0.9853, 0.9853, 0.9853, 0.9852]	
Results: 	[0.9853, 0.9853, 0.9853, 0.9853, 0.9852, 0.9845]	
Results: 	[0.9853, 0.9853, 0.9853, 0.9853, 0.9852, 0.9845, 0.9845]	
Results: 	[0.9853, 0.9853, 0.9853, 0.9853, 0.9852, 0.9845, 0.9845, 0.9847]	
Results: 	[0.9853, 0.9853, 0.9853, 0.9853, 0.9852, 0.9845, 0.9845, 0.9847, 0.9853]	
Results: 	[0.9853, 0.9853, 0.9853, 0.9853, 0.9852, 0.9845, 0.9845, 0.9847, 0.9853, 0.9847]	
Results: 	[0.9853, 0.9853, 0.9853, 0.9853, 0.9852, 0.9845, 0.9845, 0.9847, 0.9853, 0.9847, 0.9855]	
Results: 	[0.9853, 0.9853, 0.9853, 0.9853, 0.9852, 0.9845, 0.9845, 0.9847, 0.9853, 0.9847, 0.9855, 0.9847]	
Results: 	[0.9853, 0.9853, 0.9853, 0.9853, 0.9852, 0.9845, 0.9845, 0.9847, 0.9853, 0.9847, 0.9855, 0.9847, 0.9844]	
Results: 	[0.9853, 0.9853, 0.9853, 0.9853, 0.9852, 0.9845, 0.9845, 0.9847, 0.9853, 0.9847, 0.9855, 0.9847, 0.9844, 0.9847]	
Results: 	[0.9853, 0.9853, 0.9853, 0.9853, 0.9852, 0.9845, 0.9845, 0.9847, 0.9853, 0.9847, 0.9855, 0.9847, 0.9844, 0.9847, 0.9852]	
Results: 	[0.9853, 0.9853, 0.9853, 0.9853, 0.9852, 0.9845, 0.9845, 0.9847, 0.9853, 0.9847, 0.9855, 0.9847, 0.9844, 0.9847, 0.9852, 0.9853]	
Results: 	[0.9853, 0.9853, 0.9853, 0.9853, 0.9852, 0.9845, 0.9845, 0.9847, 0.9853, 0.9847, 0.9855, 0.9847, 0.9844, 0.9847, 0.9852, 0.9853, 0.9845]	
Results: 	[0.9853, 0.9853, 0.9853, 0.9853, 0.9852, 0.9845, 0.9845, 0.9847, 0.9853, 0.9847, 0.9855, 0.9847, 0.9844, 0.9847, 0.9852, 0.9853, 0.9845, 0.9847]	
Results: 	[0.9853, 0.9853, 0.9853, 0.9853, 0.9852, 0.9845, 0.9845, 0.9847, 0.9853, 0.9847, 0.9855, 0.9847, 0.9844, 0.9847, 0.9852, 0.9853, 0.9845, 0.9847, 0.9852]	
Results: 	[0.9853, 0.9853, 0.9853, 0.9853, 0.9852, 0.9845, 0.9845, 0.9847, 0.9853, 0.9847, 0.9855, 0.9847, 0.9844, 0.9847, 0.9852, 0.9853, 0.9845, 0.9847, 0.9852, 0.9845]	
Results: 	[0.9853, 0.9853, 0.9853, 0.9853, 0.9852, 0.9845, 0.9845, 0.9847, 0.9853, 0.9847, 0.9855, 0.9847, 0.9844, 0.9847, 0.9852, 0.9853, 0.9845, 0.9847, 0.9852, 0.9845, 0.9842]	
Results: 	[0.9853, 0.9853, 0.9853, 0.9853, 0.9852, 0.9845, 0.9845, 0.9847, 0.9853, 0.9847, 0.9855, 0.9847, 0.9844, 0.9847, 0.9852, 0.9853, 0.9845, 0.9847, 0.9852, 0.9845, 0.9842, 0.9847]	
Results: 	[0.9853, 0.9853, 0.9853, 0.9853, 0.9852, 0.9845, 0.9845, 0.9847, 0.9853, 0.9847, 0.9855, 0.9847, 0.9844, 0.9847, 0.9852, 0.9853, 0.9845, 0.9847, 0.9852, 0.9845, 0.9842, 0.9847, 0.9845]	
Results: 	[0.9853, 0.9853, 0.9853, 0.9853, 0.9852, 0.9845, 0.9845, 0.9847, 0.9853, 0.9847, 0.9855, 0.9847, 0.9844, 0.9847, 0.9852, 0.9853, 0.9845, 0.9847, 0.9852, 0.9845, 0.9842, 0.9847, 0.9845, 0.9839]	
Results: 	[0.9853, 0.9853, 0.9853, 0.9853, 0.9852, 0.9845, 0.9845, 0.9847, 0.9853, 0.9847, 0.9855, 0.9847, 0.9844, 0.9847, 0.9852, 0.9853, 0.9845, 0.9847, 0.9852, 0.9845, 0.9842, 0.9847, 0.9845, 0.9839, 0.9853]	
Results: 	[0.9853, 0.9853, 0.9853, 0.9853, 0.9852, 0.9845, 0.9845, 0.9847, 0.9853, 0.9847, 0.9855, 0.9847, 0.9844, 0.9847, 0.9852, 0.9853, 0.9845, 0.9847, 0.9852, 0.9845, 0.9842, 0.9847, 0.9845, 0.9839, 0.9853, 0.9853]	
Results: 	[0.9853, 0.9853, 0.9853, 0.9853, 0.9852, 0.9845, 0.9845, 0.9847, 0.9853, 0.9847, 0.9855, 0.9847, 0.9844, 0.9847, 0.9852, 0.9853, 0.9845, 0.9847, 0.9852, 0.9845, 0.9842, 0.9847, 0.9845, 0.9839, 0.9853, 0.9853, 0.9847]	
Results: 	[0.9853, 0.9853, 0.9853, 0.9853, 0.9852, 0.9845, 0.9845, 0.9847, 0.9853, 0.9847, 0.9855, 0.9847, 0.9844, 0.9847, 0.9852, 0.9853, 0.9845, 0.9847, 0.9852, 0.9845, 0.9842, 0.9847, 0.9845, 0.9839, 0.9853, 0.9853, 0.9847, 0.9853]	
Results: 	[0.9853, 0.9853, 0.9853, 0.9853, 0.9852, 0.9845, 0.9845, 0.9847, 0.9853, 0.9847, 0.9855, 0.9847, 0.9844, 0.9847, 0.9852, 0.9853, 0.9845, 0.9847, 0.9852, 0.9845, 0.9842, 0.9847, 0.9845, 0.9839, 0.9853, 0.9853, 0.9847, 0.9853, 0.9852]	
Results: 	[0.9853, 0.9853, 0.9853, 0.9853, 0.9852, 0.9845, 0.9845, 0.9847, 0.9853, 0.9847, 0.9855, 0.9847, 0.9844, 0.9847, 0.9852, 0.9853, 0.9845, 0.9847, 0.9852, 0.9845, 0.9842, 0.9847, 0.9845, 0.9839, 0.9853, 0.9853, 0.9847, 0.9853, 0.9852, 0.9834]
30 Support Sets: (Mean:0.9848433333333333, SD:0.0004959722832448407) | 	











