Results: 	[0.9481]	
Results: 	[0.9481, 0.9487]	
Results: 	[0.9481, 0.9487, 0.9483]	
Results: 	[0.9481, 0.9487, 0.9483, 0.9481]	
Results: 	[0.9481, 0.9487, 0.9483, 0.9481, 0.9482]	
Results: 	[0.9481, 0.9487, 0.9483, 0.9481, 0.9482, 0.9487]	
Results: 	[0.9481, 0.9487, 0.9483, 0.9481, 0.9482, 0.9487, 0.9481]	
Results: 	[0.9481, 0.9487, 0.9483, 0.9481, 0.9482, 0.9487, 0.9481, 0.9507]	
Results: 	[0.9481, 0.9487, 0.9483, 0.9481, 0.9482, 0.9487, 0.9481, 0.9507, 0.9486]	
Results: 	[0.9481, 0.9487, 0.9483, 0.9481, 0.9482, 0.9487, 0.9481, 0.9507, 0.9486, 0.9487]	
Results: 	[0.9481, 0.9487, 0.9483, 0.9481, 0.9482, 0.9487, 0.9481, 0.9507, 0.9486, 0.9487, 0.9487]	
Results: 	[0.9481, 0.9487, 0.9483, 0.9481, 0.9482, 0.9487, 0.9481, 0.9507, 0.9486, 0.9487, 0.9487, 0.9484]	
Results: 	[0.9481, 0.9487, 0.9483, 0.9481, 0.9482, 0.9487, 0.9481, 0.9507, 0.9486, 0.9487, 0.9487, 0.9484, 0.9483]	
Results: 	[0.9481, 0.9487, 0.9483, 0.9481, 0.9482, 0.9487, 0.9481, 0.9507, 0.9486, 0.9487, 0.9487, 0.9484, 0.9483, 0.948]	
Results: 	[0.9481, 0.9487, 0.9483, 0.9481, 0.9482, 0.9487, 0.9481, 0.9507, 0.9486, 0.9487, 0.9487, 0.9484, 0.9483, 0.948, 0.9485]	
Results: 	[0.9481, 0.9487, 0.9483, 0.9481, 0.9482, 0.9487, 0.9481, 0.9507, 0.9486, 0.9487, 0.9487, 0.9484, 0.9483, 0.948, 0.9485, 0.9504]	
Results: 	[0.9481, 0.9487, 0.9483, 0.9481, 0.9482, 0.9487, 0.9481, 0.9507, 0.9486, 0.9487, 0.9487, 0.9484, 0.9483, 0.948, 0.9485, 0.9504, 0.9485]	
Results: 	[0.9481, 0.9487, 0.9483, 0.9481, 0.9482, 0.9487, 0.9481, 0.9507, 0.9486, 0.9487, 0.9487, 0.9484, 0.9483, 0.948, 0.9485, 0.9504, 0.9485, 0.9487]	
Results: 	[0.9481, 0.9487, 0.9483, 0.9481, 0.9482, 0.9487, 0.9481, 0.9507, 0.9486, 0.9487, 0.9487, 0.9484, 0.9483, 0.948, 0.9485, 0.9504, 0.9485, 0.9487, 0.9487]	
Results: 	[0.9481, 0.9487, 0.9483, 0.9481, 0.9482, 0.9487, 0.9481, 0.9507, 0.9486, 0.9487, 0.9487, 0.9484, 0.9483, 0.948, 0.9485, 0.9504, 0.9485, 0.9487, 0.9487, 0.9502]	
Results: 	[0.9481, 0.9487, 0.9483, 0.9481, 0.9482, 0.9487, 0.9481, 0.9507, 0.9486, 0.9487, 0.9487, 0.9484, 0.9483, 0.948, 0.9485, 0.9504, 0.9485, 0.9487, 0.9487, 0.9502, 0.9507]	
Results: 	[0.9481, 0.9487, 0.9483, 0.9481, 0.9482, 0.9487, 0.9481, 0.9507, 0.9486, 0.9487, 0.9487, 0.9484, 0.9483, 0.948, 0.9485, 0.9504, 0.9485, 0.9487, 0.9487, 0.9502, 0.9507, 0.9488]	
Results: 	[0.9481, 0.9487, 0.9483, 0.9481, 0.9482, 0.9487, 0.9481, 0.9507, 0.9486, 0.9487, 0.9487, 0.9484, 0.9483, 0.948, 0.9485, 0.9504, 0.9485, 0.9487, 0.9487, 0.9502, 0.9507, 0.9488, 0.9486]	
Results: 	[0.9481, 0.9487, 0.9483, 0.9481, 0.9482, 0.9487, 0.9481, 0.9507, 0.9486, 0.9487, 0.9487, 0.9484, 0.9483, 0.948, 0.9485, 0.9504, 0.9485, 0.9487, 0.9487, 0.9502, 0.9507, 0.9488, 0.9486, 0.9491]	
Results: 	[0.9481, 0.9487, 0.9483, 0.9481, 0.9482, 0.9487, 0.9481, 0.9507, 0.9486, 0.9487, 0.9487, 0.9484, 0.9483, 0.948, 0.9485, 0.9504, 0.9485, 0.9487, 0.9487, 0.9502, 0.9507, 0.9488, 0.9486, 0.9491, 0.9506]	
Results: 	[0.9481, 0.9487, 0.9483, 0.9481, 0.9482, 0.9487, 0.9481, 0.9507, 0.9486, 0.9487, 0.9487, 0.9484, 0.9483, 0.948, 0.9485, 0.9504, 0.9485, 0.9487, 0.9487, 0.9502, 0.9507, 0.9488, 0.9486, 0.9491, 0.9506, 0.948]	
Results: 	[0.9481, 0.9487, 0.9483, 0.9481, 0.9482, 0.9487, 0.9481, 0.9507, 0.9486, 0.9487, 0.9487, 0.9484, 0.9483, 0.948, 0.9485, 0.9504, 0.9485, 0.9487, 0.9487, 0.9502, 0.9507, 0.9488, 0.9486, 0.9491, 0.9506, 0.948, 0.9484]	
Results: 	[0.9481, 0.9487, 0.9483, 0.9481, 0.9482, 0.9487, 0.9481, 0.9507, 0.9486, 0.9487, 0.9487, 0.9484, 0.9483, 0.948, 0.9485, 0.9504, 0.9485, 0.9487, 0.9487, 0.9502, 0.9507, 0.9488, 0.9486, 0.9491, 0.9506, 0.948, 0.9484, 0.9491]	
Results: 	[0.9481, 0.9487, 0.9483, 0.9481, 0.9482, 0.9487, 0.9481, 0.9507, 0.9486, 0.9487, 0.9487, 0.9484, 0.9483, 0.948, 0.9485, 0.9504, 0.9485, 0.9487, 0.9487, 0.9502, 0.9507, 0.9488, 0.9486, 0.9491, 0.9506, 0.948, 0.9484, 0.9491, 0.9485]	
Results: 	[0.9481, 0.9487, 0.9483, 0.9481, 0.9482, 0.9487, 0.9481, 0.9507, 0.9486, 0.9487, 0.9487, 0.9484, 0.9483, 0.948, 0.9485, 0.9504, 0.9485, 0.9487, 0.9487, 0.9502, 0.9507, 0.9488, 0.9486, 0.9491, 0.9506, 0.948, 0.9484, 0.9491, 0.9485, 0.9481]
30 Support Sets: (Mean:0.9488166666666666, SD:0.0008300740861548098) | 	







