Results: 	[0.9919]	
Results: 	[0.9919, 0.9947]	
Results: 	[0.9919, 0.9947, 0.9924]	
Results: 	[0.9919, 0.9947, 0.9924, 0.9919]	
Results: 	[0.9919, 0.9947, 0.9924, 0.9919, 0.9938]	
Results: 	[0.9919, 0.9947, 0.9924, 0.9919, 0.9938, 0.9945]	
Results: 	[0.9919, 0.9947, 0.9924, 0.9919, 0.9938, 0.9945, 0.9919]	
Results: 	[0.9919, 0.9947, 0.9924, 0.9919, 0.9938, 0.9945, 0.9919, 0.9855]	
Results: 	[0.9919, 0.9947, 0.9924, 0.9919, 0.9938, 0.9945, 0.9919, 0.9855, 0.9915]	
Results: 	[0.9919, 0.9947, 0.9924, 0.9919, 0.9938, 0.9945, 0.9919, 0.9855, 0.9915, 0.9947]	
Results: 	[0.9919, 0.9947, 0.9924, 0.9919, 0.9938, 0.9945, 0.9919, 0.9855, 0.9915, 0.9947, 0.9945]	
Results: 	[0.9919, 0.9947, 0.9924, 0.9919, 0.9938, 0.9945, 0.9919, 0.9855, 0.9915, 0.9947, 0.9945, 0.994]	
Results: 	[0.9919, 0.9947, 0.9924, 0.9919, 0.9938, 0.9945, 0.9919, 0.9855, 0.9915, 0.9947, 0.9945, 0.994, 0.9938]	
Results: 	[0.9919, 0.9947, 0.9924, 0.9919, 0.9938, 0.9945, 0.9919, 0.9855, 0.9915, 0.9947, 0.9945, 0.994, 0.9938, 0.9919]	
Results: 	[0.9919, 0.9947, 0.9924, 0.9919, 0.9938, 0.9945, 0.9919, 0.9855, 0.9915, 0.9947, 0.9945, 0.994, 0.9938, 0.9919, 0.9942]	
Results: 	[0.9919, 0.9947, 0.9924, 0.9919, 0.9938, 0.9945, 0.9919, 0.9855, 0.9915, 0.9947, 0.9945, 0.994, 0.9938, 0.9919, 0.9942, 0.9878]	
Results: 	[0.9919, 0.9947, 0.9924, 0.9919, 0.9938, 0.9945, 0.9919, 0.9855, 0.9915, 0.9947, 0.9945, 0.994, 0.9938, 0.9919, 0.9942, 0.9878, 0.9913]	
Results: 	[0.9919, 0.9947, 0.9924, 0.9919, 0.9938, 0.9945, 0.9919, 0.9855, 0.9915, 0.9947, 0.9945, 0.994, 0.9938, 0.9919, 0.9942, 0.9878, 0.9913, 0.9917]	
