[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5708800642154785],[0.737723286439738],[0.7384543042281835],[0.7785714285714286],[0.9470757430488974],[0.7785714285714286],[0.5708800642154785]]	 ; [[0.5708800642154785],[0.737723286439738],[0.7384543042281835],[0.7785714285714286],[0.9470757430488974],[0.7785714285714286],[0.5708800642154785]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5056387129899679],[0.6850090630493153],[0.7211464684020293],[0.7766369047619047],[0.9959746981023577],[0.7766369047619047],[0.505638712989968]]	 ; [[0.5708800642154785],[0.737723286439738],[0.7384543042281835],[0.7785714285714286],[0.9959746981023577],[0.7785714285714286],[0.5708800642154785]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5121897924145467],[0.6910754491809001],[0.7913898352416269],[0.7806547619047619],[0.9984659635666348],[0.7806547619047619],[0.5121897924145467]]	 ; [[0.5708800642154785],[0.737723286439738],[0.7913898352416269],[0.7806547619047619],[0.9984659635666348],[0.7806547619047619],[0.5708800642154785]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5001404713594506],[0.6783904242742472],[0.676931355763982],[0.7758928571428572],[0.9996164908916587],[0.7758928571428572],[0.5001404713594506]]	 ; [[0.5708800642154785],[0.737723286439738],[0.7913898352416269],[0.7806547619047619],[0.9996164908916587],[0.7806547619047619],[0.5708800642154785]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5002363486365359],[0.6784638627983977],[0.7142836099533592],[0.7760416666666666],[0.9998082454458294],[0.7760416666666666],[0.500236348636536]]	 ; [[0.5708800642154785],[0.737723286439738],[0.7913898352416269],[0.7806547619047619],[0.9998082454458294],[0.7806547619047619],[0.5708800642154785]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5],[0.6783863143112473],[0.6024716553287982],[0.7761904761904762],[1.0],[0.7761904761904762],[0.5]]	 ; [[0.5708800642154785],[0.737723286439738],[0.7913898352416269],[0.7806547619047619],[1.0],[0.7806547619047619],[0.5708800642154785]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5016611295681063],[0.6799504421487375],[0.8266474311243485],[0.7767857142857143],[1.0],[0.7767857142857143],[0.5016611295681063]]	 ; [[0.5708800642154785],[0.737723286439738],[0.8266474311243485],[0.7806547619047619],[1.0],[0.7806547619047619],[0.5708800642154785]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.4999041411042945],[0.6783130847646976],[0.6024458004663392],[0.7760416666666666],[0.999808282208589],[0.7760416666666666],[0.4999041411042945]]	 ; [[0.5708800642154785],[0.737723286439738],[0.8266474311243485],[0.7806547619047619],[1.0],[0.7806547619047619],[0.5708800642154785]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5094427969408459],[0.6881451350386424],[0.8143091108496214],[0.7800595238095238],[0.9996164908916587],[0.7800595238095238],[0.5094427969408459]]	 ; [[0.5708800642154785],[0.737723286439738],[0.8266474311243485],[0.7806547619047619],[1.0],[0.7806547619047619],[0.5708800642154785]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5399833572640647],[0.7184130020571916],[0.8267821024040685],[0.7934523809523809],[0.9988496932515337],[0.7934523809523809],[0.5399833572640648]]	 ; [[0.5708800642154785],[0.737723286439738],[0.8267821024040685],[0.7934523809523809],[1.0],[0.7934523809523809],[0.5708800642154785]]
