Results: 	[0.9095]	
Results: 	[0.9095, 0.9249]	
Results: 	[0.9095, 0.9249, 0.9205]	
Results: 	[0.9095, 0.9249, 0.9205, 0.9276]	
Results: 	[0.9095, 0.9249, 0.9205, 0.9276, 0.9094]	
Results: 	[0.9095, 0.9249, 0.9205, 0.9276, 0.9094, 0.9308]	
Results: 	[0.9095, 0.9249, 0.9205, 0.9276, 0.9094, 0.9308, 0.9187]	
Results: 	[0.9095, 0.9249, 0.9205, 0.9276, 0.9094, 0.9308, 0.9187, 0.9281]	
Results: 	[0.9095, 0.9249, 0.9205, 0.9276, 0.9094, 0.9308, 0.9187, 0.9281, 0.9027]	
Results: 	[0.9095, 0.9249, 0.9205, 0.9276, 0.9094, 0.9308, 0.9187, 0.9281, 0.9027, 0.9193]	
Results: 	[0.9095, 0.9249, 0.9205, 0.9276, 0.9094, 0.9308, 0.9187, 0.9281, 0.9027, 0.9193, 0.8523]	
Results: 	[0.9095, 0.9249, 0.9205, 0.9276, 0.9094, 0.9308, 0.9187, 0.9281, 0.9027, 0.9193, 0.8523, 0.8819]	
Results: 	[0.9095, 0.9249, 0.9205, 0.9276, 0.9094, 0.9308, 0.9187, 0.9281, 0.9027, 0.9193, 0.8523, 0.8819, 0.9068]	
Results: 	[0.9095, 0.9249, 0.9205, 0.9276, 0.9094, 0.9308, 0.9187, 0.9281, 0.9027, 0.9193, 0.8523, 0.8819, 0.9068, 0.7967]	
Results: 	[0.9095, 0.9249, 0.9205, 0.9276, 0.9094, 0.9308, 0.9187, 0.9281, 0.9027, 0.9193, 0.8523, 0.8819, 0.9068, 0.7967, 0.9344]	
Results: 	[0.9095, 0.9249, 0.9205, 0.9276, 0.9094, 0.9308, 0.9187, 0.9281, 0.9027, 0.9193, 0.8523, 0.8819, 0.9068, 0.7967, 0.9344, 0.9185]	
Results: 	[0.9095, 0.9249, 0.9205, 0.9276, 0.9094, 0.9308, 0.9187, 0.9281, 0.9027, 0.9193, 0.8523, 0.8819, 0.9068, 0.7967, 0.9344, 0.9185, 0.9299]	
Results: 	[0.9095, 0.9249, 0.9205, 0.9276, 0.9094, 0.9308, 0.9187, 0.9281, 0.9027, 0.9193, 0.8523, 0.8819, 0.9068, 0.7967, 0.9344, 0.9185, 0.9299, 0.8783]	
Results: 	[0.9095, 0.9249, 0.9205, 0.9276, 0.9094, 0.9308, 0.9187, 0.9281, 0.9027, 0.9193, 0.8523, 0.8819, 0.9068, 0.7967, 0.9344, 0.9185, 0.9299, 0.8783, 0.9115]	
Results: 	[0.9095, 0.9249, 0.9205, 0.9276, 0.9094, 0.9308, 0.9187, 0.9281, 0.9027, 0.9193, 0.8523, 0.8819, 0.9068, 0.7967, 0.9344, 0.9185, 0.9299, 0.8783, 0.9115, 0.8609]	
Results: 	[0.9095, 0.9249, 0.9205, 0.9276, 0.9094, 0.9308, 0.9187, 0.9281, 0.9027, 0.9193, 0.8523, 0.8819, 0.9068, 0.7967, 0.9344, 0.9185, 0.9299, 0.8783, 0.9115, 0.8609, 0.9222]	
Results: 	[0.9095, 0.9249, 0.9205, 0.9276, 0.9094, 0.9308, 0.9187, 0.9281, 0.9027, 0.9193, 0.8523, 0.8819, 0.9068, 0.7967, 0.9344, 0.9185, 0.9299, 0.8783, 0.9115, 0.8609, 0.9222, 0.9189]	
Results: 	[0.9095, 0.9249, 0.9205, 0.9276, 0.9094, 0.9308, 0.9187, 0.9281, 0.9027, 0.9193, 0.8523, 0.8819, 0.9068, 0.7967, 0.9344, 0.9185, 0.9299, 0.8783, 0.9115, 0.8609, 0.9222, 0.9189, 0.9304]	
Results: 	[0.9095, 0.9249, 0.9205, 0.9276, 0.9094, 0.9308, 0.9187, 0.9281, 0.9027, 0.9193, 0.8523, 0.8819, 0.9068, 0.7967, 0.9344, 0.9185, 0.9299, 0.8783, 0.9115, 0.8609, 0.9222, 0.9189, 0.9304, 0.9141]	
