Results: 	[0.9096]	
Results: 	[0.9096, 0.8996]	
Results: 	[0.9096, 0.8996, 0.8989]	
Results: 	[0.9096, 0.8996, 0.8989, 0.901]	
Results: 	[0.9096, 0.8996, 0.8989, 0.901, 0.9083]	
Results: 	[0.9096, 0.8996, 0.8989, 0.901, 0.9083, 0.899]	
Results: 	[0.9096, 0.8996, 0.8989, 0.901, 0.9083, 0.899, 0.9083]	
Results: 	[0.9096, 0.8996, 0.8989, 0.901, 0.9083, 0.899, 0.9083, 0.9003]	
Results: 	[0.9096, 0.8996, 0.8989, 0.901, 0.9083, 0.899, 0.9083, 0.9003, 0.8896]	
Results: 	[0.9096, 0.8996, 0.8989, 0.901, 0.9083, 0.899, 0.9083, 0.9003, 0.8896, 0.9069]	
Results: 	[0.9096, 0.8996, 0.8989, 0.901, 0.9083, 0.899, 0.9083, 0.9003, 0.8896, 0.9069, 0.9016]	
Results: 	[0.9096, 0.8996, 0.8989, 0.901, 0.9083, 0.899, 0.9083, 0.9003, 0.8896, 0.9069, 0.9016, 0.9003]	
Results: 	[0.9096, 0.8996, 0.8989, 0.901, 0.9083, 0.899, 0.9083, 0.9003, 0.8896, 0.9069, 0.9016, 0.9003, 0.8976]	
Results: 	[0.9096, 0.8996, 0.8989, 0.901, 0.9083, 0.899, 0.9083, 0.9003, 0.8896, 0.9069, 0.9016, 0.9003, 0.8976, 0.9015]	
Results: 	[0.9096, 0.8996, 0.8989, 0.901, 0.9083, 0.899, 0.9083, 0.9003, 0.8896, 0.9069, 0.9016, 0.9003, 0.8976, 0.9015, 0.9089]	
Results: 	[0.9096, 0.8996, 0.8989, 0.901, 0.9083, 0.899, 0.9083, 0.9003, 0.8896, 0.9069, 0.9016, 0.9003, 0.8976, 0.9015, 0.9089, 0.909]	
Results: 	[0.9096, 0.8996, 0.8989, 0.901, 0.9083, 0.899, 0.9083, 0.9003, 0.8896, 0.9069, 0.9016, 0.9003, 0.8976, 0.9015, 0.9089, 0.909, 0.9103]	
Results: 	[0.9096, 0.8996, 0.8989, 0.901, 0.9083, 0.899, 0.9083, 0.9003, 0.8896, 0.9069, 0.9016, 0.9003, 0.8976, 0.9015, 0.9089, 0.909, 0.9103, 0.8983]	
Results: 	[0.9096, 0.8996, 0.8989, 0.901, 0.9083, 0.899, 0.9083, 0.9003, 0.8896, 0.9069, 0.9016, 0.9003, 0.8976, 0.9015, 0.9089, 0.909, 0.9103, 0.8983, 0.9049]	
