Results: 	[0.9777]	
Results: 	[0.9777, 0.9816]	
Results: 	[0.9777, 0.9816, 0.9812]	
Results: 	[0.9777, 0.9816, 0.9812, 0.9804]	
Results: 	[0.9777, 0.9816, 0.9812, 0.9804, 0.9827]	
Results: 	[0.9777, 0.9816, 0.9812, 0.9804, 0.9827, 0.9752]	
Results: 	[0.9777, 0.9816, 0.9812, 0.9804, 0.9827, 0.9752, 0.9733]	
Results: 	[0.9777, 0.9816, 0.9812, 0.9804, 0.9827, 0.9752, 0.9733, 0.9758]	
Results: 	[0.9777, 0.9816, 0.9812, 0.9804, 0.9827, 0.9752, 0.9733, 0.9758, 0.9777]	
Results: 	[0.9777, 0.9816, 0.9812, 0.9804, 0.9827, 0.9752, 0.9733, 0.9758, 0.9777, 0.9777]	
Results: 	[0.9777, 0.9816, 0.9812, 0.9804, 0.9827, 0.9752, 0.9733, 0.9758, 0.9777, 0.9777, 0.9808]	
Results: 	[0.9777, 0.9816, 0.9812, 0.9804, 0.9827, 0.9752, 0.9733, 0.9758, 0.9777, 0.9777, 0.9808, 0.9676]	
Results: 	[0.9777, 0.9816, 0.9812, 0.9804, 0.9827, 0.9752, 0.9733, 0.9758, 0.9777, 0.9777, 0.9808, 0.9676, 0.976]	
Results: 	[0.9777, 0.9816, 0.9812, 0.9804, 0.9827, 0.9752, 0.9733, 0.9758, 0.9777, 0.9777, 0.9808, 0.9676, 0.976, 0.9875]	
Results: 	[0.9777, 0.9816, 0.9812, 0.9804, 0.9827, 0.9752, 0.9733, 0.9758, 0.9777, 0.9777, 0.9808, 0.9676, 0.976, 0.9875, 0.9823]	
Results: 	[0.9777, 0.9816, 0.9812, 0.9804, 0.9827, 0.9752, 0.9733, 0.9758, 0.9777, 0.9777, 0.9808, 0.9676, 0.976, 0.9875, 0.9823, 0.9764]	
