Results: 	[0.8726]	
Results: 	[0.8726, 0.8747]	
Results: 	[0.8726, 0.8747, 0.9139]	
Results: 	[0.8726, 0.8747, 0.9139, 0.8993]	
Results: 	[0.8726, 0.8747, 0.9139, 0.8993, 0.8939]	
Results: 	[0.8726, 0.8747, 0.9139, 0.8993, 0.8939, 0.8719]	
Results: 	[0.8726, 0.8747, 0.9139, 0.8993, 0.8939, 0.8719, 0.9053]	
Results: 	[0.8726, 0.8747, 0.9139, 0.8993, 0.8939, 0.8719, 0.9053, 0.8633]	
Results: 	[0.8726, 0.8747, 0.9139, 0.8993, 0.8939, 0.8719, 0.9053, 0.8633, 0.8767]	
Results: 	[0.8726, 0.8747, 0.9139, 0.8993, 0.8939, 0.8719, 0.9053, 0.8633, 0.8767, 0.8799]	
Results: 	[0.8726, 0.8747, 0.9139, 0.8993, 0.8939, 0.8719, 0.9053, 0.8633, 0.8767, 0.8799, 0.8953]	
Results: 	[0.8726, 0.8747, 0.9139, 0.8993, 0.8939, 0.8719, 0.9053, 0.8633, 0.8767, 0.8799, 0.8953, 0.882]	
Results: 	[0.8726, 0.8747, 0.9139, 0.8993, 0.8939, 0.8719, 0.9053, 0.8633, 0.8767, 0.8799, 0.8953, 0.882, 0.8959]	
Results: 	[0.8726, 0.8747, 0.9139, 0.8993, 0.8939, 0.8719, 0.9053, 0.8633, 0.8767, 0.8799, 0.8953, 0.882, 0.8959, 0.8692]	
Results: 	[0.8726, 0.8747, 0.9139, 0.8993, 0.8939, 0.8719, 0.9053, 0.8633, 0.8767, 0.8799, 0.8953, 0.882, 0.8959, 0.8692, 0.8639]	
Results: 	[0.8726, 0.8747, 0.9139, 0.8993, 0.8939, 0.8719, 0.9053, 0.8633, 0.8767, 0.8799, 0.8953, 0.882, 0.8959, 0.8692, 0.8639, 0.8672]	
Results: 	[0.8726, 0.8747, 0.9139, 0.8993, 0.8939, 0.8719, 0.9053, 0.8633, 0.8767, 0.8799, 0.8953, 0.882, 0.8959, 0.8692, 0.8639, 0.8672, 0.8812]	
Results: 	[0.8726, 0.8747, 0.9139, 0.8993, 0.8939, 0.8719, 0.9053, 0.8633, 0.8767, 0.8799, 0.8953, 0.882, 0.8959, 0.8692, 0.8639, 0.8672, 0.8812, 0.866]	
Results: 	[0.8726, 0.8747, 0.9139, 0.8993, 0.8939, 0.8719, 0.9053, 0.8633, 0.8767, 0.8799, 0.8953, 0.882, 0.8959, 0.8692, 0.8639, 0.8672, 0.8812, 0.866, 0.8699]	
