Results: 	[0.9569]	
Results: 	[0.9569, 0.9584]	
Results: 	[0.9569, 0.9584, 0.959]	
Results: 	[0.9569, 0.9584, 0.959, 0.9576]	
Results: 	[0.9569, 0.9584, 0.959, 0.9576, 0.9602]	
Results: 	[0.9569, 0.9584, 0.959, 0.9576, 0.9602, 0.957]	
Results: 	[0.9569, 0.9584, 0.959, 0.9576, 0.9602, 0.957, 0.9566]	
Results: 	[0.9569, 0.9584, 0.959, 0.9576, 0.9602, 0.957, 0.9566, 0.9575]	
Results: 	[0.9569, 0.9584, 0.959, 0.9576, 0.9602, 0.957, 0.9566, 0.9575, 0.9589]	
Results: 	[0.9569, 0.9584, 0.959, 0.9576, 0.9602, 0.957, 0.9566, 0.9575, 0.9589, 0.9589]	
Results: 	[0.9569, 0.9584, 0.959, 0.9576, 0.9602, 0.957, 0.9566, 0.9575, 0.9589, 0.9589, 0.9589]	
Results: 	[0.9569, 0.9584, 0.959, 0.9576, 0.9602, 0.957, 0.9566, 0.9575, 0.9589, 0.9589, 0.9589, 0.959]	
Results: 	[0.9569, 0.9584, 0.959, 0.9576, 0.9602, 0.957, 0.9566, 0.9575, 0.9589, 0.9589, 0.9589, 0.959, 0.9573]	
Results: 	[0.9569, 0.9584, 0.959, 0.9576, 0.9602, 0.957, 0.9566, 0.9575, 0.9589, 0.9589, 0.9589, 0.959, 0.9573, 0.956]	
Results: 	[0.9569, 0.9584, 0.959, 0.9576, 0.9602, 0.957, 0.9566, 0.9575, 0.9589, 0.9589, 0.9589, 0.959, 0.9573, 0.956, 0.9558]	
Results: 	[0.9569, 0.9584, 0.959, 0.9576, 0.9602, 0.957, 0.9566, 0.9575, 0.9589, 0.9589, 0.9589, 0.959, 0.9573, 0.956, 0.9558, 0.9584]	
Results: 	[0.9569, 0.9584, 0.959, 0.9576, 0.9602, 0.957, 0.9566, 0.9575, 0.9589, 0.9589, 0.9589, 0.959, 0.9573, 0.956, 0.9558, 0.9584, 0.9577]	
Results: 	[0.9569, 0.9584, 0.959, 0.9576, 0.9602, 0.957, 0.9566, 0.9575, 0.9589, 0.9589, 0.9589, 0.959, 0.9573, 0.956, 0.9558, 0.9584, 0.9577, 0.9566]	
Results: 	[0.9569, 0.9584, 0.959, 0.9576, 0.9602, 0.957, 0.9566, 0.9575, 0.9589, 0.9589, 0.9589, 0.959, 0.9573, 0.956, 0.9558, 0.9584, 0.9577, 0.9566, 0.9574]	
Results: 	[0.9569, 0.9584, 0.959, 0.9576, 0.9602, 0.957, 0.9566, 0.9575, 0.9589, 0.9589, 0.9589, 0.959, 0.9573, 0.956, 0.9558, 0.9584, 0.9577, 0.9566, 0.9574, 0.9571]	
Results: 	[0.9569, 0.9584, 0.959, 0.9576, 0.9602, 0.957, 0.9566, 0.9575, 0.9589, 0.9589, 0.9589, 0.959, 0.9573, 0.956, 0.9558, 0.9584, 0.9577, 0.9566, 0.9574, 0.9571, 0.951]	
Results: 	[0.9569, 0.9584, 0.959, 0.9576, 0.9602, 0.957, 0.9566, 0.9575, 0.9589, 0.9589, 0.9589, 0.959, 0.9573, 0.956, 0.9558, 0.9584, 0.9577, 0.9566, 0.9574, 0.9571, 0.951, 0.9567]	
Results: 	[0.9569, 0.9584, 0.959, 0.9576, 0.9602, 0.957, 0.9566, 0.9575, 0.9589, 0.9589, 0.9589, 0.959, 0.9573, 0.956, 0.9558, 0.9584, 0.9577, 0.9566, 0.9574, 0.9571, 0.951, 0.9567, 0.9576]	
