[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6011170581879264],[0.9143671364336463],[0.911123382691435],[0.9179401993355482],[0.9617969579059074],[0.9179401993355482],[0.6011170581879264]]	 ; [[0.6011170581879264],[0.9143671364336463],[0.911123382691435],[0.9179401993355482],[0.9617969579059074],[0.9179401993355482],[0.6011170581879264]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7087436260794786],[0.9393317530963387],[0.937549625162791],[0.9415282392026578],[0.9736516357206012],[0.9415282392026578],[0.7087436260794787]]	 ; [[0.7087436260794786],[0.9393317530963387],[0.937549625162791],[0.9415282392026578],[0.9736516357206012],[0.9415282392026578],[0.7087436260794787]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8081719794100989],[0.8748744496243166],[0.9378353870216732],[0.8388704318936877],[0.8431199151043509],[0.8388704318936877],[0.808171979410099]]	 ; [[0.8081719794100989],[0.9393317530963387],[0.9378353870216732],[0.9415282392026578],[0.9736516357206012],[0.9415282392026578],[0.808171979410099]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6276102222711906],[0.9372215704324414],[0.9390210940272272],[0.9485049833887044],[0.9929253625751681],[0.9485049833887044],[0.6276102222711906]]	 ; [[0.8081719794100989],[0.9393317530963387],[0.9390210940272272],[0.9485049833887044],[0.9929253625751681],[0.9485049833887044],[0.808171979410099]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8165760107936545],[0.8712307182239474],[0.9392300286563623],[0.8330564784053156],[0.8353378139370358],[0.8330564784053156],[0.8165760107936545]]	 ; [[0.8165760107936545],[0.9393317530963387],[0.9392300286563623],[0.9485049833887044],[0.9929253625751681],[0.9485049833887044],[0.8165760107936545]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8782166345699647],[0.8617230415637726],[0.9501616427078684],[0.8169435215946844],[0.8084880636604774],[0.8169435215946844],[0.8782166345699647]]	 ; [[0.8782166345699647],[0.9393317530963387],[0.9501616427078684],[0.9485049833887044],[0.9929253625751681],[0.9485049833887044],[0.8782166345699647]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8811528566264804],[0.8994273193966582],[0.9504808806501955],[0.8727574750830565],[0.8715953307392996],[0.8727574750830565],[0.8811528566264804]]	 ; [[0.8811528566264804],[0.9393317530963387],[0.9504808806501955],[0.9485049833887044],[0.9929253625751681],[0.9485049833887044],[0.8811528566264804]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8742487554958032],[0.8858826686470094],[0.949088477555343],[0.8528239202657807],[0.849867374005305],[0.8528239202657807],[0.8742487554958032]]	 ; [[0.8811528566264804],[0.9393317530963387],[0.9504808806501955],[0.9485049833887044],[0.9929253625751681],[0.9485049833887044],[0.8811528566264804]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8626963651999078],[0.8331438887707391],[0.9489486870413938],[0.7757475083056479],[0.7637488947833776],[0.7757475083056479],[0.862696365199908]]	 ; [[0.8811528566264804],[0.9393317530963387],[0.9504808806501955],[0.9485049833887044],[0.9929253625751681],[0.9485049833887044],[0.8811528566264804]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.9016751040416283],[0.8967956091826268],[0.9537296684343539],[0.8681063122923588],[0.8634594977007428],[0.8681063122923588],[0.9016751040416282]]	 ; [[0.9016751040416283],[0.9393317530963387],[0.9537296684343539],[0.9485049833887044],[0.9929253625751681],[0.9485049833887044],[0.9016751040416282]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5616034685052992],[0.9253226391963985],[0.9353869651497247],[0.9445182724252492],[0.9975238769013088],[0.9445182724252492],[0.5616034685052992]]	 ; [[0.9016751040416283],[0.9393317530963387],[0.9537296684343539],[0.9485049833887044],[0.9975238769013088],[0.9485049833887044],[0.9016751040416282]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.877859091005739],[0.8562126457326951],[0.9502287694529488],[0.8089700996677741],[0.7994340290060135],[0.8089700996677741],[0.8778590910057389]]	 ; [[0.9016751040416283],[0.9393317530963387],[0.9537296684343539],[0.9485049833887044],[0.9975238769013088],[0.9485049833887044],[0.9016751040416282]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.9222616224115235],[0.9171746655796527],[0.9581633623456495],[0.8971760797342193],[0.8937035726918996],[0.8971760797342193],[0.9222616224115235]]	 ; [[0.9222616224115235],[0.9393317530963387],[0.9581633623456495],[0.9485049833887044],[0.9975238769013088],[0.9485049833887044],[0.9222616224115235]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.910862951128946],[0.9054871610205081],[0.9555569978203341],[0.8805647840531562],[0.8763707110010612],[0.8805647840531562],[0.9108629511289459]]	 ; [[0.9222616224115235],[0.9393317530963387],[0.9581633623456495],[0.9485049833887044],[0.9975238769013088],[0.9485049833887044],[0.9222616224115235]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.9130921384541337],[0.9149853834121451],[0.9565484912760289],[0.8943521594684385],[0.8917580474000707],[0.8943521594684385],[0.9130921384541337]]	 ; [[0.9222616224115235],[0.9393317530963387],[0.9581633623456495],[0.9485049833887044],[0.9975238769013088],[0.9485049833887044],[0.9222616224115235]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7977194925590665],[0.949895527857678],[0.9511139824546884],[0.9488372093023256],[0.9697559250088433],[0.9488372093023256],[0.7977194925590665]]	 ; [[0.9222616224115235],[0.949895527857678],[0.9581633623456495],[0.9488372093023256],[0.9975238769013088],[0.9488372093023256],[0.9222616224115235]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.9237551930041302],[0.931059778576204],[0.9601509228181069],[0.9169435215946844],[0.9160035366931919],[0.9169435215946844],[0.9237551930041301]]	 ; [[0.9237551930041302],[0.949895527857678],[0.9601509228181069],[0.9488372093023256],[0.9975238769013088],[0.9488372093023256],[0.9237551930041301]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.9251494662128074],[0.9260350652463787],[0.9595678430465624],[0.9098006644518273],[0.9076759816059426],[0.9098006644518273],[0.9251494662128075]]	 ; [[0.9251494662128074],[0.949895527857678],[0.9601509228181069],[0.9488372093023256],[0.9975238769013088],[0.9488372093023256],[0.9251494662128075]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7805506098373365],[0.9490964068834574],[0.9493648235436571],[0.9488372093023256],[0.9720601237842618],[0.9488372093023256],[0.7805506098373364]]	 ; [[0.9251494662128074],[0.949895527857678],[0.9601509228181069],[0.9488372093023256],[0.9975238769013088],[0.9488372093023256],[0.9251494662128075]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.9152449738180426],[0.9128722470164746],[0.9567150979322674],[0.8911960132890365],[0.8878669968164131],[0.8911960132890365],[0.9152449738180426]]	 ; [[0.9251494662128074],[0.949895527857678],[0.9601509228181069],[0.9488372093023256],[0.9975238769013088],[0.9488372093023256],[0.9251494662128075]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8150122453082203],[0.9254064371310948],[0.9435814831848691],[0.9141196013289037],[0.9278386982667138],[0.9141196013289037],[0.8150122453082203]]	 ; [[0.9251494662128074],[0.949895527857678],[0.9601509228181069],[0.9488372093023256],[0.9975238769013088],[0.9488372093023256],[0.9251494662128075]]
