Results: 	[0.9175]	
Results: 	[0.9175, 0.9498]	
Results: 	[0.9175, 0.9498, 0.8587]	
Results: 	[0.9175, 0.9498, 0.8587, 0.8726]	
Results: 	[0.9175, 0.9498, 0.8587, 0.8726, 0.8419]	
Results: 	[0.9175, 0.9498, 0.8587, 0.8726, 0.8419, 0.8662]	
Results: 	[0.9175, 0.9498, 0.8587, 0.8726, 0.8419, 0.8662, 0.8698]	
Results: 	[0.9175, 0.9498, 0.8587, 0.8726, 0.8419, 0.8662, 0.8698, 0.9198]	
Results: 	[0.9175, 0.9498, 0.8587, 0.8726, 0.8419, 0.8662, 0.8698, 0.9198, 0.9422]	
Results: 	[0.9175, 0.9498, 0.8587, 0.8726, 0.8419, 0.8662, 0.8698, 0.9198, 0.9422, 0.9561]	
Results: 	[0.9175, 0.9498, 0.8587, 0.8726, 0.8419, 0.8662, 0.8698, 0.9198, 0.9422, 0.9561, 0.9052]	
Results: 	[0.9175, 0.9498, 0.8587, 0.8726, 0.8419, 0.8662, 0.8698, 0.9198, 0.9422, 0.9561, 0.9052, 0.9635]	
Results: 	[0.9175, 0.9498, 0.8587, 0.8726, 0.8419, 0.8662, 0.8698, 0.9198, 0.9422, 0.9561, 0.9052, 0.9635, 0.9171]	
Results: 	[0.9175, 0.9498, 0.8587, 0.8726, 0.8419, 0.8662, 0.8698, 0.9198, 0.9422, 0.9561, 0.9052, 0.9635, 0.9171, 0.9316]	
Results: 	[0.9175, 0.9498, 0.8587, 0.8726, 0.8419, 0.8662, 0.8698, 0.9198, 0.9422, 0.9561, 0.9052, 0.9635, 0.9171, 0.9316, 0.9246]	
Results: 	[0.9175, 0.9498, 0.8587, 0.8726, 0.8419, 0.8662, 0.8698, 0.9198, 0.9422, 0.9561, 0.9052, 0.9635, 0.9171, 0.9316, 0.9246, 0.9098]	
Results: 	[0.9175, 0.9498, 0.8587, 0.8726, 0.8419, 0.8662, 0.8698, 0.9198, 0.9422, 0.9561, 0.9052, 0.9635, 0.9171, 0.9316, 0.9246, 0.9098, 0.9005]	
Results: 	[0.9175, 0.9498, 0.8587, 0.8726, 0.8419, 0.8662, 0.8698, 0.9198, 0.9422, 0.9561, 0.9052, 0.9635, 0.9171, 0.9316, 0.9246, 0.9098, 0.9005, 0.8966]	
Results: 	[0.9175, 0.9498, 0.8587, 0.8726, 0.8419, 0.8662, 0.8698, 0.9198, 0.9422, 0.9561, 0.9052, 0.9635, 0.9171, 0.9316, 0.9246, 0.9098, 0.9005, 0.8966, 0.9381]	
Results: 	[0.9175, 0.9498, 0.8587, 0.8726, 0.8419, 0.8662, 0.8698, 0.9198, 0.9422, 0.9561, 0.9052, 0.9635, 0.9171, 0.9316, 0.9246, 0.9098, 0.9005, 0.8966, 0.9381, 0.8964]	
Results: 	[0.9175, 0.9498, 0.8587, 0.8726, 0.8419, 0.8662, 0.8698, 0.9198, 0.9422, 0.9561, 0.9052, 0.9635, 0.9171, 0.9316, 0.9246, 0.9098, 0.9005, 0.8966, 0.9381, 0.8964, 0.9529]	
Results: 	[0.9175, 0.9498, 0.8587, 0.8726, 0.8419, 0.8662, 0.8698, 0.9198, 0.9422, 0.9561, 0.9052, 0.9635, 0.9171, 0.9316, 0.9246, 0.9098, 0.9005, 0.8966, 0.9381, 0.8964, 0.9529, 0.8891]	
Results: 	[0.9175, 0.9498, 0.8587, 0.8726, 0.8419, 0.8662, 0.8698, 0.9198, 0.9422, 0.9561, 0.9052, 0.9635, 0.9171, 0.9316, 0.9246, 0.9098, 0.9005, 0.8966, 0.9381, 0.8964, 0.9529, 0.8891, 0.8802]	
Results: 	[0.9175, 0.9498, 0.8587, 0.8726, 0.8419, 0.8662, 0.8698, 0.9198, 0.9422, 0.9561, 0.9052, 0.9635, 0.9171, 0.9316, 0.9246, 0.9098, 0.9005, 0.8966, 0.9381, 0.8964, 0.9529, 0.8891, 0.8802, 0.9399]	
Results: 	[0.9175, 0.9498, 0.8587, 0.8726, 0.8419, 0.8662, 0.8698, 0.9198, 0.9422, 0.9561, 0.9052, 0.9635, 0.9171, 0.9316, 0.9246, 0.9098, 0.9005, 0.8966, 0.9381, 0.8964, 0.9529, 0.8891, 0.8802, 0.9399, 0.9084]	
Results: 	[0.9175, 0.9498, 0.8587, 0.8726, 0.8419, 0.8662, 0.8698, 0.9198, 0.9422, 0.9561, 0.9052, 0.9635, 0.9171, 0.9316, 0.9246, 0.9098, 0.9005, 0.8966, 0.9381, 0.8964, 0.9529, 0.8891, 0.8802, 0.9399, 0.9084, 0.8828]	
Results: 	[0.9175, 0.9498, 0.8587, 0.8726, 0.8419, 0.8662, 0.8698, 0.9198, 0.9422, 0.9561, 0.9052, 0.9635, 0.9171, 0.9316, 0.9246, 0.9098, 0.9005, 0.8966, 0.9381, 0.8964, 0.9529, 0.8891, 0.8802, 0.9399, 0.9084, 0.8828, 0.91]	
Results: 	[0.9175, 0.9498, 0.8587, 0.8726, 0.8419, 0.8662, 0.8698, 0.9198, 0.9422, 0.9561, 0.9052, 0.9635, 0.9171, 0.9316, 0.9246, 0.9098, 0.9005, 0.8966, 0.9381, 0.8964, 0.9529, 0.8891, 0.8802, 0.9399, 0.9084, 0.8828, 0.91, 0.9487]	
Results: 	[0.9175, 0.9498, 0.8587, 0.8726, 0.8419, 0.8662, 0.8698, 0.9198, 0.9422, 0.9561, 0.9052, 0.9635, 0.9171, 0.9316, 0.9246, 0.9098, 0.9005, 0.8966, 0.9381, 0.8964, 0.9529, 0.8891, 0.8802, 0.9399, 0.9084, 0.8828, 0.91, 0.9487, 0.9582]	
