Results: 	[0.9486]	
Results: 	[0.9486, 0.9547]	
Results: 	[0.9486, 0.9547, 0.9583]	
Results: 	[0.9486, 0.9547, 0.9583, 0.9513]	
Results: 	[0.9486, 0.9547, 0.9583, 0.9513, 0.958]	
Results: 	[0.9486, 0.9547, 0.9583, 0.9513, 0.958, 0.9539]	
Results: 	[0.9486, 0.9547, 0.9583, 0.9513, 0.958, 0.9539, 0.9334]	
Results: 	[0.9486, 0.9547, 0.9583, 0.9513, 0.958, 0.9539, 0.9334, 0.9585]	
Results: 	[0.9486, 0.9547, 0.9583, 0.9513, 0.958, 0.9539, 0.9334, 0.9585, 0.9555]	
Results: 	[0.9486, 0.9547, 0.9583, 0.9513, 0.958, 0.9539, 0.9334, 0.9585, 0.9555, 0.9553]	
Results: 	[0.9486, 0.9547, 0.9583, 0.9513, 0.958, 0.9539, 0.9334, 0.9585, 0.9555, 0.9553, 0.9498]	
Results: 	[0.9486, 0.9547, 0.9583, 0.9513, 0.958, 0.9539, 0.9334, 0.9585, 0.9555, 0.9553, 0.9498, 0.9566]	
Results: 	[0.9486, 0.9547, 0.9583, 0.9513, 0.958, 0.9539, 0.9334, 0.9585, 0.9555, 0.9553, 0.9498, 0.9566, 0.936]	
Results: 	[0.9486, 0.9547, 0.9583, 0.9513, 0.958, 0.9539, 0.9334, 0.9585, 0.9555, 0.9553, 0.9498, 0.9566, 0.936, 0.9518]	
Results: 	[0.9486, 0.9547, 0.9583, 0.9513, 0.958, 0.9539, 0.9334, 0.9585, 0.9555, 0.9553, 0.9498, 0.9566, 0.936, 0.9518, 0.9426]	
Results: 	[0.9486, 0.9547, 0.9583, 0.9513, 0.958, 0.9539, 0.9334, 0.9585, 0.9555, 0.9553, 0.9498, 0.9566, 0.936, 0.9518, 0.9426, 0.9558]	
Results: 	[0.9486, 0.9547, 0.9583, 0.9513, 0.958, 0.9539, 0.9334, 0.9585, 0.9555, 0.9553, 0.9498, 0.9566, 0.936, 0.9518, 0.9426, 0.9558, 0.9363]	
Results: 	[0.9486, 0.9547, 0.9583, 0.9513, 0.958, 0.9539, 0.9334, 0.9585, 0.9555, 0.9553, 0.9498, 0.9566, 0.936, 0.9518, 0.9426, 0.9558, 0.9363, 0.9385]	
Results: 	[0.9486, 0.9547, 0.9583, 0.9513, 0.958, 0.9539, 0.9334, 0.9585, 0.9555, 0.9553, 0.9498, 0.9566, 0.936, 0.9518, 0.9426, 0.9558, 0.9363, 0.9385, 0.9304]	
Results: 	[0.9486, 0.9547, 0.9583, 0.9513, 0.958, 0.9539, 0.9334, 0.9585, 0.9555, 0.9553, 0.9498, 0.9566, 0.936, 0.9518, 0.9426, 0.9558, 0.9363, 0.9385, 0.9304, 0.9406]	
