Results: 	[0.9809]	
Results: 	[0.9809, 0.9805]	
Results: 	[0.9809, 0.9805, 0.976]	
Results: 	[0.9809, 0.9805, 0.976, 0.9814]	
Results: 	[0.9809, 0.9805, 0.976, 0.9814, 0.9797]	
Results: 	[0.9809, 0.9805, 0.976, 0.9814, 0.9797, 0.9817]	
Results: 	[0.9809, 0.9805, 0.976, 0.9814, 0.9797, 0.9817, 0.9809]	
Results: 	[0.9809, 0.9805, 0.976, 0.9814, 0.9797, 0.9817, 0.9809, 0.9764]	
Results: 	[0.9809, 0.9805, 0.976, 0.9814, 0.9797, 0.9817, 0.9809, 0.9764, 0.9801]	
Results: 	[0.9809, 0.9805, 0.976, 0.9814, 0.9797, 0.9817, 0.9809, 0.9764, 0.9801, 0.9794]	
Results: 	[0.9809, 0.9805, 0.976, 0.9814, 0.9797, 0.9817, 0.9809, 0.9764, 0.9801, 0.9794, 0.9807]	
Results: 	[0.9809, 0.9805, 0.976, 0.9814, 0.9797, 0.9817, 0.9809, 0.9764, 0.9801, 0.9794, 0.9807, 0.9794]	
Results: 	[0.9809, 0.9805, 0.976, 0.9814, 0.9797, 0.9817, 0.9809, 0.9764, 0.9801, 0.9794, 0.9807, 0.9794, 0.981]	
Results: 	[0.9809, 0.9805, 0.976, 0.9814, 0.9797, 0.9817, 0.9809, 0.9764, 0.9801, 0.9794, 0.9807, 0.9794, 0.981, 0.982]	
Results: 	[0.9809, 0.9805, 0.976, 0.9814, 0.9797, 0.9817, 0.9809, 0.9764, 0.9801, 0.9794, 0.9807, 0.9794, 0.981, 0.982, 0.9814]	
Results: 	[0.9809, 0.9805, 0.976, 0.9814, 0.9797, 0.9817, 0.9809, 0.9764, 0.9801, 0.9794, 0.9807, 0.9794, 0.981, 0.982, 0.9814, 0.9641]	
Results: 	[0.9809, 0.9805, 0.976, 0.9814, 0.9797, 0.9817, 0.9809, 0.9764, 0.9801, 0.9794, 0.9807, 0.9794, 0.981, 0.982, 0.9814, 0.9641, 0.9817]	
