Results: 	[0.9821]	
Results: 	[0.9821, 0.9822]	
Results: 	[0.9821, 0.9822, 0.9794]	
Results: 	[0.9821, 0.9822, 0.9794, 0.9826]	
Results: 	[0.9821, 0.9822, 0.9794, 0.9826, 0.9818]	
Results: 	[0.9821, 0.9822, 0.9794, 0.9826, 0.9818, 0.983]	
Results: 	[0.9821, 0.9822, 0.9794, 0.9826, 0.9818, 0.983, 0.9814]	
Results: 	[0.9821, 0.9822, 0.9794, 0.9826, 0.9818, 0.983, 0.9814, 0.9797]	
Results: 	[0.9821, 0.9822, 0.9794, 0.9826, 0.9818, 0.983, 0.9814, 0.9797, 0.9819]	
Results: 	[0.9821, 0.9822, 0.9794, 0.9826, 0.9818, 0.983, 0.9814, 0.9797, 0.9819, 0.9814]	
Results: 	[0.9821, 0.9822, 0.9794, 0.9826, 0.9818, 0.983, 0.9814, 0.9797, 0.9819, 0.9814, 0.982]	
Results: 	[0.9821, 0.9822, 0.9794, 0.9826, 0.9818, 0.983, 0.9814, 0.9797, 0.9819, 0.9814, 0.982, 0.9815]	
Results: 	[0.9821, 0.9822, 0.9794, 0.9826, 0.9818, 0.983, 0.9814, 0.9797, 0.9819, 0.9814, 0.982, 0.9815, 0.9816]	
Results: 	[0.9821, 0.9822, 0.9794, 0.9826, 0.9818, 0.983, 0.9814, 0.9797, 0.9819, 0.9814, 0.982, 0.9815, 0.9816, 0.983]	
Results: 	[0.9821, 0.9822, 0.9794, 0.9826, 0.9818, 0.983, 0.9814, 0.9797, 0.9819, 0.9814, 0.982, 0.9815, 0.9816, 0.983, 0.9822]	
Results: 	[0.9821, 0.9822, 0.9794, 0.9826, 0.9818, 0.983, 0.9814, 0.9797, 0.9819, 0.9814, 0.982, 0.9815, 0.9816, 0.983, 0.9822, 0.9732]	
Results: 	[0.9821, 0.9822, 0.9794, 0.9826, 0.9818, 0.983, 0.9814, 0.9797, 0.9819, 0.9814, 0.982, 0.9815, 0.9816, 0.983, 0.9822, 0.9732, 0.9822]	
Results: 	[0.9821, 0.9822, 0.9794, 0.9826, 0.9818, 0.983, 0.9814, 0.9797, 0.9819, 0.9814, 0.982, 0.9815, 0.9816, 0.983, 0.9822, 0.9732, 0.9822, 0.9817]	
Results: 	[0.9821, 0.9822, 0.9794, 0.9826, 0.9818, 0.983, 0.9814, 0.9797, 0.9819, 0.9814, 0.982, 0.9815, 0.9816, 0.983, 0.9822, 0.9732, 0.9822, 0.9817, 0.9824]	
Results: 	[0.9821, 0.9822, 0.9794, 0.9826, 0.9818, 0.983, 0.9814, 0.9797, 0.9819, 0.9814, 0.982, 0.9815, 0.9816, 0.983, 0.9822, 0.9732, 0.9822, 0.9817, 0.9824, 0.9815]	
Results: 	[0.9821, 0.9822, 0.9794, 0.9826, 0.9818, 0.983, 0.9814, 0.9797, 0.9819, 0.9814, 0.982, 0.9815, 0.9816, 0.983, 0.9822, 0.9732, 0.9822, 0.9817, 0.9824, 0.9815, 0.9824]	
Results: 	[0.9821, 0.9822, 0.9794, 0.9826, 0.9818, 0.983, 0.9814, 0.9797, 0.9819, 0.9814, 0.982, 0.9815, 0.9816, 0.983, 0.9822, 0.9732, 0.9822, 0.9817, 0.9824, 0.9815, 0.9824, 0.9819]	
Results: 	[0.9821, 0.9822, 0.9794, 0.9826, 0.9818, 0.983, 0.9814, 0.9797, 0.9819, 0.9814, 0.982, 0.9815, 0.9816, 0.983, 0.9822, 0.9732, 0.9822, 0.9817, 0.9824, 0.9815, 0.9824, 0.9819, 0.9822]	
Results: 	[0.9821, 0.9822, 0.9794, 0.9826, 0.9818, 0.983, 0.9814, 0.9797, 0.9819, 0.9814, 0.982, 0.9815, 0.9816, 0.983, 0.9822, 0.9732, 0.9822, 0.9817, 0.9824, 0.9815, 0.9824, 0.9819, 0.9822, 0.9824]	
Results: 	[0.9821, 0.9822, 0.9794, 0.9826, 0.9818, 0.983, 0.9814, 0.9797, 0.9819, 0.9814, 0.982, 0.9815, 0.9816, 0.983, 0.9822, 0.9732, 0.9822, 0.9817, 0.9824, 0.9815, 0.9824, 0.9819, 0.9822, 0.9824, 0.9821]	
Results: 	[0.9821, 0.9822, 0.9794, 0.9826, 0.9818, 0.983, 0.9814, 0.9797, 0.9819, 0.9814, 0.982, 0.9815, 0.9816, 0.983, 0.9822, 0.9732, 0.9822, 0.9817, 0.9824, 0.9815, 0.9824, 0.9819, 0.9822, 0.9824, 0.9821, 0.9779]	
Results: 	[0.9821, 0.9822, 0.9794, 0.9826, 0.9818, 0.983, 0.9814, 0.9797, 0.9819, 0.9814, 0.982, 0.9815, 0.9816, 0.983, 0.9822, 0.9732, 0.9822, 0.9817, 0.9824, 0.9815, 0.9824, 0.9819, 0.9822, 0.9824, 0.9821, 0.9779, 0.9822]	
Results: 	[0.9821, 0.9822, 0.9794, 0.9826, 0.9818, 0.983, 0.9814, 0.9797, 0.9819, 0.9814, 0.982, 0.9815, 0.9816, 0.983, 0.9822, 0.9732, 0.9822, 0.9817, 0.9824, 0.9815, 0.9824, 0.9819, 0.9822, 0.9824, 0.9821, 0.9779, 0.9822, 0.9822]	
Results: 	[0.9821, 0.9822, 0.9794, 0.9826, 0.9818, 0.983, 0.9814, 0.9797, 0.9819, 0.9814, 0.982, 0.9815, 0.9816, 0.983, 0.9822, 0.9732, 0.9822, 0.9817, 0.9824, 0.9815, 0.9824, 0.9819, 0.9822, 0.9824, 0.9821, 0.9779, 0.9822, 0.9822, 0.9781]	
Results: 	[0.9821, 0.9822, 0.9794, 0.9826, 0.9818, 0.983, 0.9814, 0.9797, 0.9819, 0.9814, 0.982, 0.9815, 0.9816, 0.983, 0.9822, 0.9732, 0.9822, 0.9817, 0.9824, 0.9815, 0.9824, 0.9819, 0.9822, 0.9824, 0.9821, 0.9779, 0.9822, 0.9822, 0.9781, 0.9825]
30 Support Sets: (Mean:0.9813566666666667, SD:0.0019824546493631664) | 	


