Results: 	[0.9617]	
Results: 	[0.9617, 0.9612]	
Results: 	[0.9617, 0.9612, 0.9617]	
Results: 	[0.9617, 0.9612, 0.9617, 0.9618]	
Results: 	[0.9617, 0.9612, 0.9617, 0.9618, 0.9618]	
Results: 	[0.9617, 0.9612, 0.9617, 0.9618, 0.9618, 0.9625]	
Results: 	[0.9617, 0.9612, 0.9617, 0.9618, 0.9618, 0.9625, 0.9617]	
Results: 	[0.9617, 0.9612, 0.9617, 0.9618, 0.9618, 0.9625, 0.9617, 0.9617]	
Results: 	[0.9617, 0.9612, 0.9617, 0.9618, 0.9618, 0.9625, 0.9617, 0.9617, 0.9618]	
Results: 	[0.9617, 0.9612, 0.9617, 0.9618, 0.9618, 0.9625, 0.9617, 0.9617, 0.9618, 0.9611]	
Results: 	[0.9617, 0.9612, 0.9617, 0.9618, 0.9618, 0.9625, 0.9617, 0.9617, 0.9618, 0.9611, 0.962]	
Results: 	[0.9617, 0.9612, 0.9617, 0.9618, 0.9618, 0.9625, 0.9617, 0.9617, 0.9618, 0.9611, 0.962, 0.9622]	
Results: 	[0.9617, 0.9612, 0.9617, 0.9618, 0.9618, 0.9625, 0.9617, 0.9617, 0.9618, 0.9611, 0.962, 0.9622, 0.9622]	
Results: 	[0.9617, 0.9612, 0.9617, 0.9618, 0.9618, 0.9625, 0.9617, 0.9617, 0.9618, 0.9611, 0.962, 0.9622, 0.9622, 0.9619]	
Results: 	[0.9617, 0.9612, 0.9617, 0.9618, 0.9618, 0.9625, 0.9617, 0.9617, 0.9618, 0.9611, 0.962, 0.9622, 0.9622, 0.9619, 0.9617]	
Results: 	[0.9617, 0.9612, 0.9617, 0.9618, 0.9618, 0.9625, 0.9617, 0.9617, 0.9618, 0.9611, 0.962, 0.9622, 0.9622, 0.9619, 0.9617, 0.9618]	
Results: 	[0.9617, 0.9612, 0.9617, 0.9618, 0.9618, 0.9625, 0.9617, 0.9617, 0.9618, 0.9611, 0.962, 0.9622, 0.9622, 0.9619, 0.9617, 0.9618, 0.9605]	
Results: 	[0.9617, 0.9612, 0.9617, 0.9618, 0.9618, 0.9625, 0.9617, 0.9617, 0.9618, 0.9611, 0.962, 0.9622, 0.9622, 0.9619, 0.9617, 0.9618, 0.9605, 0.9616]	
Results: 	[0.9617, 0.9612, 0.9617, 0.9618, 0.9618, 0.9625, 0.9617, 0.9617, 0.9618, 0.9611, 0.962, 0.9622, 0.9622, 0.9619, 0.9617, 0.9618, 0.9605, 0.9616, 0.9617]	
Results: 	[0.9617, 0.9612, 0.9617, 0.9618, 0.9618, 0.9625, 0.9617, 0.9617, 0.9618, 0.9611, 0.962, 0.9622, 0.9622, 0.9619, 0.9617, 0.9618, 0.9605, 0.9616, 0.9617, 0.9625]	
Results: 	[0.9617, 0.9612, 0.9617, 0.9618, 0.9618, 0.9625, 0.9617, 0.9617, 0.9618, 0.9611, 0.962, 0.9622, 0.9622, 0.9619, 0.9617, 0.9618, 0.9605, 0.9616, 0.9617, 0.9625, 0.9598]	
Results: 	[0.9617, 0.9612, 0.9617, 0.9618, 0.9618, 0.9625, 0.9617, 0.9617, 0.9618, 0.9611, 0.962, 0.9622, 0.9622, 0.9619, 0.9617, 0.9618, 0.9605, 0.9616, 0.9617, 0.9625, 0.9598, 0.9617]	
Results: 	[0.9617, 0.9612, 0.9617, 0.9618, 0.9618, 0.9625, 0.9617, 0.9617, 0.9618, 0.9611, 0.962, 0.9622, 0.9622, 0.9619, 0.9617, 0.9618, 0.9605, 0.9616, 0.9617, 0.9625, 0.9598, 0.9617, 0.9618]	
Results: 	[0.9617, 0.9612, 0.9617, 0.9618, 0.9618, 0.9625, 0.9617, 0.9617, 0.9618, 0.9611, 0.962, 0.9622, 0.9622, 0.9619, 0.9617, 0.9618, 0.9605, 0.9616, 0.9617, 0.9625, 0.9598, 0.9617, 0.9618, 0.9617]	
Results: 	[0.9617, 0.9612, 0.9617, 0.9618, 0.9618, 0.9625, 0.9617, 0.9617, 0.9618, 0.9611, 0.962, 0.9622, 0.9622, 0.9619, 0.9617, 0.9618, 0.9605, 0.9616, 0.9617, 0.9625, 0.9598, 0.9617, 0.9618, 0.9617, 0.9622]	
Results: 	[0.9617, 0.9612, 0.9617, 0.9618, 0.9618, 0.9625, 0.9617, 0.9617, 0.9618, 0.9611, 0.962, 0.9622, 0.9622, 0.9619, 0.9617, 0.9618, 0.9605, 0.9616, 0.9617, 0.9625, 0.9598, 0.9617, 0.9618, 0.9617, 0.9622, 0.963]	
Results: 	[0.9617, 0.9612, 0.9617, 0.9618, 0.9618, 0.9625, 0.9617, 0.9617, 0.9618, 0.9611, 0.962, 0.9622, 0.9622, 0.9619, 0.9617, 0.9618, 0.9605, 0.9616, 0.9617, 0.9625, 0.9598, 0.9617, 0.9618, 0.9617, 0.9622, 0.963, 0.9623]	
Results: 	[0.9617, 0.9612, 0.9617, 0.9618, 0.9618, 0.9625, 0.9617, 0.9617, 0.9618, 0.9611, 0.962, 0.9622, 0.9622, 0.9619, 0.9617, 0.9618, 0.9605, 0.9616, 0.9617, 0.9625, 0.9598, 0.9617, 0.9618, 0.9617, 0.9622, 0.963, 0.9623, 0.9618]	
