[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6048544532895427],[0.7305980009915737],[0.7285252051316923],[0.7575581395348837],[0.9148273175798494],[0.7575581395348837],[0.6048544532895427]]	 ; [[0.6048544532895427],[0.7305980009915737],[0.7285252051316923],[0.7575581395348837],[0.9148273175798494],[0.7575581395348837],[0.6048544532895427]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6441648326575482],[0.7560175753440498],[0.752880804955369],[0.7728682170542636],[0.9050090838307812],[0.7728682170542636],[0.6441648326575482]]	 ; [[0.6441648326575482],[0.7560175753440498],[0.752880804955369],[0.7728682170542636],[0.9148273175798494],[0.7728682170542636],[0.6441648326575482]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5575905298971882],[0.69985977712702],[0.7244642101161389],[0.7581395348837209],[0.9646844975331083],[0.7581395348837209],[0.5575905298971882]]	 ; [[0.6441648326575482],[0.7560175753440498],[0.752880804955369],[0.7728682170542636],[0.9646844975331083],[0.7728682170542636],[0.6441648326575482]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5780727901886288],[0.7176868577609519],[0.739159053252526],[0.7662790697674419],[0.9595120685180379],[0.7662790697674419],[0.5780727901886288]]	 ; [[0.6441648326575482],[0.7560175753440498],[0.752880804955369],[0.7728682170542636],[0.9646844975331083],[0.7728682170542636],[0.6441648326575482]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6073187736540512],[0.7399693022541424],[0.7540151034996896],[0.7763565891472868],[0.9499091616921879],[0.7763565891472868],[0.6073187736540511]]	 ; [[0.6441648326575482],[0.7560175753440498],[0.7540151034996896],[0.7763565891472868],[0.9646844975331083],[0.7763565891472868],[0.6441648326575482]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5919190543204939],[0.7305667456659791],[0.7621117623137529],[0.7775193798449612],[0.9680768232546068],[0.7775193798449612],[0.5919190543204939]]	 ; [[0.6441648326575482],[0.7560175753440498],[0.7621117623137529],[0.7775193798449612],[0.9680768232546068],[0.7775193798449612],[0.6441648326575482]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.583355452579647],[0.7238870715536068],[0.7600127130144129],[0.775],[0.97145822522055],[0.775],[0.5833554525796472]]	 ; [[0.6441648326575482],[0.7560175753440498],[0.7621117623137529],[0.7775193798449612],[0.97145822522055],[0.7775193798449612],[0.6441648326575482]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6734390332199643],[0.779369221586772],[0.7788637656818248],[0.7943798449612403],[0.9187435098650052],[0.7943798449612403],[0.6734390332199643]]	 ; [[0.6734390332199643],[0.779369221586772],[0.7788637656818248],[0.7943798449612403],[0.97145822522055],[0.7943798449612403],[0.6734390332199643]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6571089008926615],[0.7717097094838301],[0.7747140235936125],[0.791860465116279],[0.9304257528556594],[0.791860465116279],[0.6571089008926615]]	 ; [[0.6734390332199643],[0.779369221586772],[0.7788637656818248],[0.7943798449612403],[0.97145822522055],[0.7943798449612403],[0.6734390332199643]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6325076629281167],[0.7576284131501377],[0.7665684481278441],[0.7856589147286822],[0.9426569797612869],[0.7856589147286822],[0.6325076629281167]]	 ; [[0.6734390332199643],[0.779369221586772],[0.7788637656818248],[0.7943798449612403],[0.97145822522055],[0.7943798449612403],[0.6734390332199643]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6384994807892004],[0.7619759822786033],[0.7713299783449582],[0.788953488372093],[0.9436656282450675],[0.788953488372093],[0.6384994807892004]]	 ; [[0.6734390332199643],[0.779369221586772],[0.7788637656818248],[0.7943798449612403],[0.97145822522055],[0.7943798449612403],[0.6734390332199643]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7315197366215436],[0.804721593753096],[0.8026378322801219],[0.8077519379844961],[0.8862633082316281],[0.8077519379844961],[0.7315197366215436]]	 ; [[0.7315197366215436],[0.804721593753096],[0.8026378322801219],[0.8077519379844961],[0.97145822522055],[0.8077519379844961],[0.7315197366215436]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6936775367496452],[0.7918046551249808],[0.7906258370272835],[0.8034883720930233],[0.9164070612668743],[0.8034883720930233],[0.693677536749645]]	 ; [[0.7315197366215436],[0.804721593753096],[0.8026378322801219],[0.8077519379844961],[0.97145822522055],[0.8077519379844961],[0.7315197366215436]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6836138177487072],[0.7880766994029373],[0.7887694407878698],[0.8027131782945737],[0.924993511549442],[0.8027131782945737],[0.6836138177487072]]	 ; [[0.7315197366215436],[0.804721593753096],[0.8026378322801219],[0.8077519379844961],[0.97145822522055],[0.8077519379844961],[0.7315197366215436]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6594048630678176],[0.7751218544412398],[0.7798361853400236],[0.7959302325581395],[0.9356679636835279],[0.7959302325581395],[0.6594048630678175]]	 ; [[0.7315197366215436],[0.804721593753096],[0.8026378322801219],[0.8077519379844961],[0.97145822522055],[0.8077519379844961],[0.7315197366215436]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7383606276258251],[0.8130126963475103],[0.8107975662461642],[0.8170542635658915],[0.8979750778816199],[0.8170542635658915],[0.7383606276258252]]	 ; [[0.7383606276258251],[0.8130126963475103],[0.8107975662461642],[0.8170542635658915],[0.97145822522055],[0.8170542635658915],[0.7383606276258252]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.716360856269113],[0.8061961469502855],[0.8048207709196145],[0.8151162790697675],[0.9166666666666666],[0.8151162790697675],[0.716360856269113]]	 ; [[0.7383606276258251],[0.8130126963475103],[0.8107975662461642],[0.8170542635658915],[0.97145822522055],[0.8170542635658915],[0.7383606276258252]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7792365695885374],[0.824909641985349],[0.8279259946233405],[0.8226744186046512],[0.8673416407061267],[0.8226744186046512],[0.7792365695885374]]	 ; [[0.7792365695885374],[0.824909641985349],[0.8279259946233405],[0.8226744186046512],[0.97145822522055],[0.8226744186046512],[0.7792365695885374]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.739362132860804],[0.8178830823954295],[0.8159030659058888],[0.8234496124031008],[0.9099169262720664],[0.8234496124031008],[0.7393621328608039]]	 ; [[0.7792365695885374],[0.824909641985349],[0.8279259946233405],[0.8234496124031008],[0.97145822522055],[0.8234496124031008],[0.7792365695885374]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7425862114181404],[0.8181072548010426],[0.8159952880000256],[0.8226744186046512],[0.9047742605085626],[0.8226744186046512],[0.7425862114181404]]	 ; [[0.7792365695885374],[0.824909641985349],[0.8279259946233405],[0.8234496124031008],[0.97145822522055],[0.8234496124031008],[0.7792365695885374]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7376377813979631],[0.8191576232909836],[0.8176062426429072],[0.8257751937984497],[0.9164070612668743],[0.8257751937984497],[0.7376377813979631]]	 ; [[0.7792365695885374],[0.824909641985349],[0.8279259946233405],[0.8257751937984497],[0.97145822522055],[0.8257751937984497],[0.7792365695885374]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7237152692572981],[0.8124407901042185],[0.811676733850991],[0.8213178294573643],[0.9218384835107765],[0.8213178294573643],[0.7237152692572981]]	 ; [[0.7792365695885374],[0.824909641985349],[0.8279259946233405],[0.8257751937984497],[0.97145822522055],[0.8257751937984497],[0.7792365695885374]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7269048393018804],[0.813069903109209],[0.8116802310273826],[0.8209302325581396],[0.9174669089021542],[0.8209302325581396],[0.7269048393018804]]	 ; [[0.7792365695885374],[0.824909641985349],[0.8279259946233405],[0.8257751937984497],[0.97145822522055],[0.8257751937984497],[0.7792365695885374]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7308654148446654],[0.8143125830371936],[0.8126053804773741],[0.8213178294573643],[0.9143302180685359],[0.8213178294573643],[0.7308654148446655]]	 ; [[0.7792365695885374],[0.824909641985349],[0.8279259946233405],[0.8257751937984497],[0.97145822522055],[0.8257751937984497],[0.7792365695885374]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7382725046919508],[0.8194493750570885],[0.8178735411025804],[0.825968992248062],[0.916147455867082],[0.825968992248062],[0.7382725046919507]]	 ; [[0.7792365695885374],[0.824909641985349],[0.8279259946233405],[0.825968992248062],[0.97145822522055],[0.825968992248062],[0.7792365695885374]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7255583989343651],[0.814488337294617],[0.8139734054948241],[0.8234496124031008],[0.9239553594601609],[0.8234496124031008],[0.725558398934365]]	 ; [[0.7792365695885374],[0.824909641985349],[0.8279259946233405],[0.825968992248062],[0.97145822522055],[0.825968992248062],[0.7792365695885374]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.753917743325832],[0.8230817967570043],[0.8212341282702315],[0.8261627906976744],[0.9003373994290164],[0.8261627906976744],[0.7539177433258318]]	 ; [[0.7792365695885374],[0.824909641985349],[0.8279259946233405],[0.8261627906976744],[0.97145822522055],[0.8261627906976744],[0.7792365695885374]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7556500657910529],[0.8261431754424028],[0.8242799918949533],[0.82984496124031],[0.906258114775383],[0.82984496124031],[0.7556500657910528]]	 ; [[0.7792365695885374],[0.8261431754424028],[0.8279259946233405],[0.82984496124031],[0.97145822522055],[0.82984496124031],[0.7792365695885374]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7070626958949003],[0.8050893554925551],[0.8065083024499518],[0.8174418604651162],[0.930944963655244],[0.8174418604651162],[0.7070626958949003]]	 ; [[0.7792365695885374],[0.8261431754424028],[0.8279259946233405],[0.82984496124031],[0.97145822522055],[0.82984496124031],[0.7792365695885374]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7711280688216297],[0.8276442694321658],[0.8273918527078284],[0.827906976744186],[0.8862928348909658],[0.827906976744186],[0.7711280688216297]]	 ; [[0.7792365695885374],[0.8276442694321658],[0.8279259946233405],[0.82984496124031],[0.97145822522055],[0.82984496124031],[0.7792365695885374]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7648483251457395],[0.8278611382218153],[0.826529255139816],[0.8296511627906977],[0.8961847910718921],[0.8296511627906977],[0.7648483251457394]]	 ; [[0.7792365695885374],[0.8278611382218153],[0.8279259946233405],[0.82984496124031],[0.97145822522055],[0.82984496124031],[0.7792365695885374]]
