[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5381798565263369],[0.4180114347134903],[0.6668974646818092],[0.41414728682170543],[0.2866043613707165],[0.41414728682170543],[0.5381798565263368]]	 ; [[0.5381798565263369],[0.4180114347134903],[0.6668974646818092],[0.41414728682170543],[0.2866043613707165],[0.41414728682170543],[0.5381798565263368]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5896137423301183],[0.6919721618834261],[0.6904225427066149],[0.6936046511627907],[0.8002075765438506],[0.6936046511627907],[0.5896137423301182]]	 ; [[0.5896137423301183],[0.6919721618834261],[0.6904225427066149],[0.6936046511627907],[0.8002075765438506],[0.6936046511627907],[0.5896137423301182]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5259164785122944],[0.669829777644921],[0.6992336536095012],[0.7486434108527131],[0.9776739356178609],[0.7486434108527131],[0.5259164785122944]]	 ; [[0.5896137423301183],[0.6919721618834261],[0.6992336536095012],[0.7486434108527131],[0.9776739356178609],[0.7486434108527131],[0.5896137423301182]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5157096992388085],[0.6579394246383505],[0.7105852618743032],[0.7496124031007751],[0.990134994807892],[0.7496124031007751],[0.5157096992388084]]	 ; [[0.5896137423301183],[0.6919721618834261],[0.7105852618743032],[0.7496124031007751],[0.990134994807892],[0.7496124031007751],[0.5896137423301182]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5055544986578943],[0.6454837208696359],[0.6917553900193798],[0.7467054263565891],[0.9950662165671255],[0.7467054263565891],[0.5055544986578943]]	 ; [[0.5896137423301183],[0.6919721618834261],[0.7105852618743032],[0.7496124031007751],[0.9950662165671255],[0.7496124031007751],[0.5896137423301182]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5357469679876388],[0.6793493818321452],[0.7313490035253121],[0.7563953488372093],[0.9836406128278369],[0.7563953488372093],[0.5357469679876389]]	 ; [[0.5896137423301183],[0.6919721618834261],[0.7313490035253121],[0.7563953488372093],[0.9950662165671255],[0.7563953488372093],[0.5896137423301182]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5652550325340345],[0.706493238200641],[0.727110538522967],[0.7598837209302326],[0.9600207684319834],[0.7598837209302326],[0.5652550325340345]]	 ; [[0.5896137423301183],[0.706493238200641],[0.7313490035253121],[0.7598837209302326],[0.9950662165671255],[0.7598837209302326],[0.5896137423301182]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5120641945561224],[0.6540289308517994],[0.711704633241569],[0.7494186046511628],[0.9927348209652309],[0.7494186046511628],[0.5120641945561224]]	 ; [[0.5896137423301183],[0.706493238200641],[0.7313490035253121],[0.7598837209302326],[0.9950662165671255],[0.7598837209302326],[0.5896137423301182]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.540675386641159],[0.6847283690553608],[0.742934655608803],[0.7598837209302326],[0.9849467947054243],[0.7598837209302326],[0.540675386641159]]	 ; [[0.5896137423301183],[0.706493238200641],[0.742934655608803],[0.7598837209302326],[0.9950662165671255],[0.7598837209302326],[0.5896137423301182]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6133601317428505],[0.73958792741481],[0.7412533554063349],[0.7676356589147287],[0.926031663638723],[0.7676356589147287],[0.6133601317428504]]	 ; [[0.6133601317428505],[0.73958792741481],[0.742934655608803],[0.7676356589147287],[0.9950662165671255],[0.7676356589147287],[0.6133601317428504]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6025525673711659],[0.7323038764294036],[0.7350819882469805],[0.763953488372093],[0.9296651959512069],[0.763953488372093],[0.6025525673711658]]	 ; [[0.6133601317428505],[0.73958792741481],[0.742934655608803],[0.7676356589147287],[0.9950662165671255],[0.7676356589147287],[0.6133601317428504]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6234565976769461],[0.7475601367758887],[0.750322112145427],[0.774031007751938],[0.9286270438619257],[0.774031007751938],[0.6234565976769461]]	 ; [[0.6234565976769461],[0.7475601367758887],[0.750322112145427],[0.774031007751938],[0.9950662165671255],[0.774031007751938],[0.6234565976769461]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5382008736228514],[0.6826744608950263],[0.7403132677846063],[0.7591085271317829],[0.9852140077821012],[0.7591085271317829],[0.5382008736228514]]	 ; [[0.6234565976769461],[0.7475601367758887],[0.750322112145427],[0.774031007751938],[0.9950662165671255],[0.774031007751938],[0.6234565976769461]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6549131222781521],[0.7558689018143009],[0.7510516037597597],[0.765891472868217],[0.879833895665715],[0.765891472868217],[0.6549131222781521]]	 ; [[0.6549131222781521],[0.7558689018143009],[0.7510516037597597],[0.774031007751938],[0.9950662165671255],[0.774031007751938],[0.6549131222781521]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6221657759105242],[0.742840619504829],[0.7409246629199342],[0.7656976744186047],[0.9132917964693665],[0.7656976744186047],[0.6221657759105242]]	 ; [[0.6549131222781521],[0.7558689018143009],[0.7510516037597597],[0.774031007751938],[0.9950662165671255],[0.774031007751938],[0.6549131222781521]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5953537778539922],[0.7302001834007306],[0.7436371420065644],[0.7697674418604651],[0.9491173416407062],[0.7697674418604651],[0.5953537778539922]]	 ; [[0.6549131222781521],[0.7558689018143009],[0.7510516037597597],[0.774031007751938],[0.9950662165671255],[0.774031007751938],[0.6549131222781521]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6639376783082807],[0.7605638250739623],[0.756122842675577],[0.7687984496124031],[0.8764599013755515],[0.7687984496124031],[0.6639376783082808]]	 ; [[0.6639376783082807],[0.7605638250739623],[0.756122842675577],[0.774031007751938],[0.9950662165671255],[0.774031007751938],[0.6639376783082808]]
