Results: 	[0.8568]	
Results: 	[0.8568, 0.8568]	
Results: 	[0.8568, 0.8568, 0.8634]	
Results: 	[0.8568, 0.8568, 0.8634, 0.8616]	
Results: 	[0.8568, 0.8568, 0.8634, 0.8616, 0.8599]	
Results: 	[0.8568, 0.8568, 0.8634, 0.8616, 0.8599, 0.869]	
Results: 	[0.8568, 0.8568, 0.8634, 0.8616, 0.8599, 0.869, 0.864]	
Results: 	[0.8568, 0.8568, 0.8634, 0.8616, 0.8599, 0.869, 0.864, 0.868]	
Results: 	[0.8568, 0.8568, 0.8634, 0.8616, 0.8599, 0.869, 0.864, 0.868, 0.8663]	
Results: 	[0.8568, 0.8568, 0.8634, 0.8616, 0.8599, 0.869, 0.864, 0.868, 0.8663, 0.8566]	
Results: 	[0.8568, 0.8568, 0.8634, 0.8616, 0.8599, 0.869, 0.864, 0.868, 0.8663, 0.8566, 0.8641]	
Results: 	[0.8568, 0.8568, 0.8634, 0.8616, 0.8599, 0.869, 0.864, 0.868, 0.8663, 0.8566, 0.8641, 0.8653]	
Results: 	[0.8568, 0.8568, 0.8634, 0.8616, 0.8599, 0.869, 0.864, 0.868, 0.8663, 0.8566, 0.8641, 0.8653, 0.8589]	
Results: 	[0.8568, 0.8568, 0.8634, 0.8616, 0.8599, 0.869, 0.864, 0.868, 0.8663, 0.8566, 0.8641, 0.8653, 0.8589, 0.8599]	
Results: 	[0.8568, 0.8568, 0.8634, 0.8616, 0.8599, 0.869, 0.864, 0.868, 0.8663, 0.8566, 0.8641, 0.8653, 0.8589, 0.8599, 0.8624]	
Results: 	[0.8568, 0.8568, 0.8634, 0.8616, 0.8599, 0.869, 0.864, 0.868, 0.8663, 0.8566, 0.8641, 0.8653, 0.8589, 0.8599, 0.8624, 0.8678]	
Results: 	[0.8568, 0.8568, 0.8634, 0.8616, 0.8599, 0.869, 0.864, 0.868, 0.8663, 0.8566, 0.8641, 0.8653, 0.8589, 0.8599, 0.8624, 0.8678, 0.8672]	
Results: 	[0.8568, 0.8568, 0.8634, 0.8616, 0.8599, 0.869, 0.864, 0.868, 0.8663, 0.8566, 0.8641, 0.8653, 0.8589, 0.8599, 0.8624, 0.8678, 0.8672, 0.8618]	
Results: 	[0.8568, 0.8568, 0.8634, 0.8616, 0.8599, 0.869, 0.864, 0.868, 0.8663, 0.8566, 0.8641, 0.8653, 0.8589, 0.8599, 0.8624, 0.8678, 0.8672, 0.8618, 0.8622]	
Results: 	[0.8568, 0.8568, 0.8634, 0.8616, 0.8599, 0.869, 0.864, 0.868, 0.8663, 0.8566, 0.8641, 0.8653, 0.8589, 0.8599, 0.8624, 0.8678, 0.8672, 0.8618, 0.8622, 0.8624]	
Results: 	[0.8568, 0.8568, 0.8634, 0.8616, 0.8599, 0.869, 0.864, 0.868, 0.8663, 0.8566, 0.8641, 0.8653, 0.8589, 0.8599, 0.8624, 0.8678, 0.8672, 0.8618, 0.8622, 0.8624, 0.8614]	
Results: 	[0.8568, 0.8568, 0.8634, 0.8616, 0.8599, 0.869, 0.864, 0.868, 0.8663, 0.8566, 0.8641, 0.8653, 0.8589, 0.8599, 0.8624, 0.8678, 0.8672, 0.8618, 0.8622, 0.8624, 0.8614, 0.8657]	
