Results: 	[0.86]	
Results: 	[0.86, 0.8539]	
Results: 	[0.86, 0.8539, 0.8459]	
Results: 	[0.86, 0.8539, 0.8459, 0.8335]	
Results: 	[0.86, 0.8539, 0.8459, 0.8335, 0.8295]	
Results: 	[0.86, 0.8539, 0.8459, 0.8335, 0.8295, 0.8391]	
Results: 	[0.86, 0.8539, 0.8459, 0.8335, 0.8295, 0.8391, 0.8222]	
Results: 	[0.86, 0.8539, 0.8459, 0.8335, 0.8295, 0.8391, 0.8222, 0.8395]	
Results: 	[0.86, 0.8539, 0.8459, 0.8335, 0.8295, 0.8391, 0.8222, 0.8395, 0.8432]	
Results: 	[0.86, 0.8539, 0.8459, 0.8335, 0.8295, 0.8391, 0.8222, 0.8395, 0.8432, 0.8132]	
Results: 	[0.86, 0.8539, 0.8459, 0.8335, 0.8295, 0.8391, 0.8222, 0.8395, 0.8432, 0.8132, 0.8382]	
Results: 	[0.86, 0.8539, 0.8459, 0.8335, 0.8295, 0.8391, 0.8222, 0.8395, 0.8432, 0.8132, 0.8382, 0.7956]	
Results: 	[0.86, 0.8539, 0.8459, 0.8335, 0.8295, 0.8391, 0.8222, 0.8395, 0.8432, 0.8132, 0.8382, 0.7956, 0.8356]	
Results: 	[0.86, 0.8539, 0.8459, 0.8335, 0.8295, 0.8391, 0.8222, 0.8395, 0.8432, 0.8132, 0.8382, 0.7956, 0.8356, 0.8516]	
Results: 	[0.86, 0.8539, 0.8459, 0.8335, 0.8295, 0.8391, 0.8222, 0.8395, 0.8432, 0.8132, 0.8382, 0.7956, 0.8356, 0.8516, 0.8559]	
Results: 	[0.86, 0.8539, 0.8459, 0.8335, 0.8295, 0.8391, 0.8222, 0.8395, 0.8432, 0.8132, 0.8382, 0.7956, 0.8356, 0.8516, 0.8559, 0.8184]	
Results: 	[0.86, 0.8539, 0.8459, 0.8335, 0.8295, 0.8391, 0.8222, 0.8395, 0.8432, 0.8132, 0.8382, 0.7956, 0.8356, 0.8516, 0.8559, 0.8184, 0.8505]	
Results: 	[0.86, 0.8539, 0.8459, 0.8335, 0.8295, 0.8391, 0.8222, 0.8395, 0.8432, 0.8132, 0.8382, 0.7956, 0.8356, 0.8516, 0.8559, 0.8184, 0.8505, 0.8366]	
Results: 	[0.86, 0.8539, 0.8459, 0.8335, 0.8295, 0.8391, 0.8222, 0.8395, 0.8432, 0.8132, 0.8382, 0.7956, 0.8356, 0.8516, 0.8559, 0.8184, 0.8505, 0.8366, 0.836]	
Results: 	[0.86, 0.8539, 0.8459, 0.8335, 0.8295, 0.8391, 0.8222, 0.8395, 0.8432, 0.8132, 0.8382, 0.7956, 0.8356, 0.8516, 0.8559, 0.8184, 0.8505, 0.8366, 0.836, 0.8256]	
Results: 	[0.86, 0.8539, 0.8459, 0.8335, 0.8295, 0.8391, 0.8222, 0.8395, 0.8432, 0.8132, 0.8382, 0.7956, 0.8356, 0.8516, 0.8559, 0.8184, 0.8505, 0.8366, 0.836, 0.8256, 0.835]	
Results: 	[0.86, 0.8539, 0.8459, 0.8335, 0.8295, 0.8391, 0.8222, 0.8395, 0.8432, 0.8132, 0.8382, 0.7956, 0.8356, 0.8516, 0.8559, 0.8184, 0.8505, 0.8366, 0.836, 0.8256, 0.835, 0.8333]	
Results: 	[0.86, 0.8539, 0.8459, 0.8335, 0.8295, 0.8391, 0.8222, 0.8395, 0.8432, 0.8132, 0.8382, 0.7956, 0.8356, 0.8516, 0.8559, 0.8184, 0.8505, 0.8366, 0.836, 0.8256, 0.835, 0.8333, 0.8405]	
Results: 	[0.86, 0.8539, 0.8459, 0.8335, 0.8295, 0.8391, 0.8222, 0.8395, 0.8432, 0.8132, 0.8382, 0.7956, 0.8356, 0.8516, 0.8559, 0.8184, 0.8505, 0.8366, 0.836, 0.8256, 0.835, 0.8333, 0.8405, 0.8614]	
Results: 	[0.86, 0.8539, 0.8459, 0.8335, 0.8295, 0.8391, 0.8222, 0.8395, 0.8432, 0.8132, 0.8382, 0.7956, 0.8356, 0.8516, 0.8559, 0.8184, 0.8505, 0.8366, 0.836, 0.8256, 0.835, 0.8333, 0.8405, 0.8614, 0.8259]	
Results: 	[0.86, 0.8539, 0.8459, 0.8335, 0.8295, 0.8391, 0.8222, 0.8395, 0.8432, 0.8132, 0.8382, 0.7956, 0.8356, 0.8516, 0.8559, 0.8184, 0.8505, 0.8366, 0.836, 0.8256, 0.835, 0.8333, 0.8405, 0.8614, 0.8259, 0.8335]	
Results: 	[0.86, 0.8539, 0.8459, 0.8335, 0.8295, 0.8391, 0.8222, 0.8395, 0.8432, 0.8132, 0.8382, 0.7956, 0.8356, 0.8516, 0.8559, 0.8184, 0.8505, 0.8366, 0.836, 0.8256, 0.835, 0.8333, 0.8405, 0.8614, 0.8259, 0.8335, 0.8501]	
Results: 	[0.86, 0.8539, 0.8459, 0.8335, 0.8295, 0.8391, 0.8222, 0.8395, 0.8432, 0.8132, 0.8382, 0.7956, 0.8356, 0.8516, 0.8559, 0.8184, 0.8505, 0.8366, 0.836, 0.8256, 0.835, 0.8333, 0.8405, 0.8614, 0.8259, 0.8335, 0.8501, 0.8331]	
Results: 	[0.86, 0.8539, 0.8459, 0.8335, 0.8295, 0.8391, 0.8222, 0.8395, 0.8432, 0.8132, 0.8382, 0.7956, 0.8356, 0.8516, 0.8559, 0.8184, 0.8505, 0.8366, 0.836, 0.8256, 0.835, 0.8333, 0.8405, 0.8614, 0.8259, 0.8335, 0.8501, 0.8331, 0.8411]	
Results: 	[0.86, 0.8539, 0.8459, 0.8335, 0.8295, 0.8391, 0.8222, 0.8395, 0.8432, 0.8132, 0.8382, 0.7956, 0.8356, 0.8516, 0.8559, 0.8184, 0.8505, 0.8366, 0.836, 0.8256, 0.835, 0.8333, 0.8405, 0.8614, 0.8259, 0.8335, 0.8501, 0.8331, 0.8411, 0.8338]
30 Support Sets: (Mean:0.8370566666666667, SD:0.014042415631991855) | 	



