Results: 	[0.8689]	
Results: 	[0.8689, 0.8695]	
Results: 	[0.8689, 0.8695, 0.8897]	
Results: 	[0.8689, 0.8695, 0.8897, 0.8824]	
Results: 	[0.8689, 0.8695, 0.8897, 0.8824, 0.8811]	
Results: 	[0.8689, 0.8695, 0.8897, 0.8824, 0.8811, 0.9263]	
Results: 	[0.8689, 0.8695, 0.8897, 0.8824, 0.8811, 0.9263, 0.8917]	
Results: 	[0.8689, 0.8695, 0.8897, 0.8824, 0.8811, 0.9263, 0.8917, 0.9138]	
Results: 	[0.8689, 0.8695, 0.8897, 0.8824, 0.8811, 0.9263, 0.8917, 0.9138, 0.8987]	
Results: 	[0.8689, 0.8695, 0.8897, 0.8824, 0.8811, 0.9263, 0.8917, 0.9138, 0.8987, 0.8661]	
Results: 	[0.8689, 0.8695, 0.8897, 0.8824, 0.8811, 0.9263, 0.8917, 0.9138, 0.8987, 0.8661, 0.8917]	
Results: 	[0.8689, 0.8695, 0.8897, 0.8824, 0.8811, 0.9263, 0.8917, 0.9138, 0.8987, 0.8661, 0.8917, 0.9003]	
Results: 	[0.8689, 0.8695, 0.8897, 0.8824, 0.8811, 0.9263, 0.8917, 0.9138, 0.8987, 0.8661, 0.8917, 0.9003, 0.8777]	
Results: 	[0.8689, 0.8695, 0.8897, 0.8824, 0.8811, 0.9263, 0.8917, 0.9138, 0.8987, 0.8661, 0.8917, 0.9003, 0.8777, 0.8769]	
Results: 	[0.8689, 0.8695, 0.8897, 0.8824, 0.8811, 0.9263, 0.8917, 0.9138, 0.8987, 0.8661, 0.8917, 0.9003, 0.8777, 0.8769, 0.8835]	
Results: 	[0.8689, 0.8695, 0.8897, 0.8824, 0.8811, 0.9263, 0.8917, 0.9138, 0.8987, 0.8661, 0.8917, 0.9003, 0.8777, 0.8769, 0.8835, 0.9016]	
Results: 	[0.8689, 0.8695, 0.8897, 0.8824, 0.8811, 0.9263, 0.8917, 0.9138, 0.8987, 0.8661, 0.8917, 0.9003, 0.8777, 0.8769, 0.8835, 0.9016, 0.9032]	
Results: 	[0.8689, 0.8695, 0.8897, 0.8824, 0.8811, 0.9263, 0.8917, 0.9138, 0.8987, 0.8661, 0.8917, 0.9003, 0.8777, 0.8769, 0.8835, 0.9016, 0.9032, 0.8832]	
Results: 	[0.8689, 0.8695, 0.8897, 0.8824, 0.8811, 0.9263, 0.8917, 0.9138, 0.8987, 0.8661, 0.8917, 0.9003, 0.8777, 0.8769, 0.8835, 0.9016, 0.9032, 0.8832, 0.8879]	
Results: 	[0.8689, 0.8695, 0.8897, 0.8824, 0.8811, 0.9263, 0.8917, 0.9138, 0.8987, 0.8661, 0.8917, 0.9003, 0.8777, 0.8769, 0.8835, 0.9016, 0.9032, 0.8832, 0.8879, 0.8845]	
Results: 	[0.8689, 0.8695, 0.8897, 0.8824, 0.8811, 0.9263, 0.8917, 0.9138, 0.8987, 0.8661, 0.8917, 0.9003, 0.8777, 0.8769, 0.8835, 0.9016, 0.9032, 0.8832, 0.8879, 0.8845, 0.8847]	
Results: 	[0.8689, 0.8695, 0.8897, 0.8824, 0.8811, 0.9263, 0.8917, 0.9138, 0.8987, 0.8661, 0.8917, 0.9003, 0.8777, 0.8769, 0.8835, 0.9016, 0.9032, 0.8832, 0.8879, 0.8845, 0.8847, 0.8946]	
Results: 	[0.8689, 0.8695, 0.8897, 0.8824, 0.8811, 0.9263, 0.8917, 0.9138, 0.8987, 0.8661, 0.8917, 0.9003, 0.8777, 0.8769, 0.8835, 0.9016, 0.9032, 0.8832, 0.8879, 0.8845, 0.8847, 0.8946, 0.89]	
Results: 	[0.8689, 0.8695, 0.8897, 0.8824, 0.8811, 0.9263, 0.8917, 0.9138, 0.8987, 0.8661, 0.8917, 0.9003, 0.8777, 0.8769, 0.8835, 0.9016, 0.9032, 0.8832, 0.8879, 0.8845, 0.8847, 0.8946, 0.89, 0.9079]	
Results: 	[0.8689, 0.8695, 0.8897, 0.8824, 0.8811, 0.9263, 0.8917, 0.9138, 0.8987, 0.8661, 0.8917, 0.9003, 0.8777, 0.8769, 0.8835, 0.9016, 0.9032, 0.8832, 0.8879, 0.8845, 0.8847, 0.8946, 0.89, 0.9079, 0.8765]	
Results: 	[0.8689, 0.8695, 0.8897, 0.8824, 0.8811, 0.9263, 0.8917, 0.9138, 0.8987, 0.8661, 0.8917, 0.9003, 0.8777, 0.8769, 0.8835, 0.9016, 0.9032, 0.8832, 0.8879, 0.8845, 0.8847, 0.8946, 0.89, 0.9079, 0.8765, 0.925]	
Results: 	[0.8689, 0.8695, 0.8897, 0.8824, 0.8811, 0.9263, 0.8917, 0.9138, 0.8987, 0.8661, 0.8917, 0.9003, 0.8777, 0.8769, 0.8835, 0.9016, 0.9032, 0.8832, 0.8879, 0.8845, 0.8847, 0.8946, 0.89, 0.9079, 0.8765, 0.925, 0.8891]	
Results: 	[0.8689, 0.8695, 0.8897, 0.8824, 0.8811, 0.9263, 0.8917, 0.9138, 0.8987, 0.8661, 0.8917, 0.9003, 0.8777, 0.8769, 0.8835, 0.9016, 0.9032, 0.8832, 0.8879, 0.8845, 0.8847, 0.8946, 0.89, 0.9079, 0.8765, 0.925, 0.8891, 0.9009]	
Results: 	[0.8689, 0.8695, 0.8897, 0.8824, 0.8811, 0.9263, 0.8917, 0.9138, 0.8987, 0.8661, 0.8917, 0.9003, 0.8777, 0.8769, 0.8835, 0.9016, 0.9032, 0.8832, 0.8879, 0.8845, 0.8847, 0.8946, 0.89, 0.9079, 0.8765, 0.925, 0.8891, 0.9009, 0.8936]	
Results: 	[0.8689, 0.8695, 0.8897, 0.8824, 0.8811, 0.9263, 0.8917, 0.9138, 0.8987, 0.8661, 0.8917, 0.9003, 0.8777, 0.8769, 0.8835, 0.9016, 0.9032, 0.8832, 0.8879, 0.8845, 0.8847, 0.8946, 0.89, 0.9079, 0.8765, 0.925, 0.8891, 0.9009, 0.8936, 0.8972]
30 Support Sets: (Mean:0.8912733333333334, SD:0.014754261414420499) | 	













