Results: 	[0.8631]	
Results: 	[0.8631, 0.8654]	
Results: 	[0.8631, 0.8654, 0.862]	
Results: 	[0.8631, 0.8654, 0.862, 0.8542]	
Results: 	[0.8631, 0.8654, 0.862, 0.8542, 0.8593]	
Results: 	[0.8631, 0.8654, 0.862, 0.8542, 0.8593, 0.8619]	
Results: 	[0.8631, 0.8654, 0.862, 0.8542, 0.8593, 0.8619, 0.8649]	
Results: 	[0.8631, 0.8654, 0.862, 0.8542, 0.8593, 0.8619, 0.8649, 0.8676]	
Results: 	[0.8631, 0.8654, 0.862, 0.8542, 0.8593, 0.8619, 0.8649, 0.8676, 0.8586]	
Results: 	[0.8631, 0.8654, 0.862, 0.8542, 0.8593, 0.8619, 0.8649, 0.8676, 0.8586, 0.8599]	
Results: 	[0.8631, 0.8654, 0.862, 0.8542, 0.8593, 0.8619, 0.8649, 0.8676, 0.8586, 0.8599, 0.8554]	
Results: 	[0.8631, 0.8654, 0.862, 0.8542, 0.8593, 0.8619, 0.8649, 0.8676, 0.8586, 0.8599, 0.8554, 0.8645]	
Results: 	[0.8631, 0.8654, 0.862, 0.8542, 0.8593, 0.8619, 0.8649, 0.8676, 0.8586, 0.8599, 0.8554, 0.8645, 0.8606]	
Results: 	[0.8631, 0.8654, 0.862, 0.8542, 0.8593, 0.8619, 0.8649, 0.8676, 0.8586, 0.8599, 0.8554, 0.8645, 0.8606, 0.8538]	
Results: 	[0.8631, 0.8654, 0.862, 0.8542, 0.8593, 0.8619, 0.8649, 0.8676, 0.8586, 0.8599, 0.8554, 0.8645, 0.8606, 0.8538, 0.8588]	
Results: 	[0.8631, 0.8654, 0.862, 0.8542, 0.8593, 0.8619, 0.8649, 0.8676, 0.8586, 0.8599, 0.8554, 0.8645, 0.8606, 0.8538, 0.8588, 0.8591]	
Results: 	[0.8631, 0.8654, 0.862, 0.8542, 0.8593, 0.8619, 0.8649, 0.8676, 0.8586, 0.8599, 0.8554, 0.8645, 0.8606, 0.8538, 0.8588, 0.8591, 0.86]	
Results: 	[0.8631, 0.8654, 0.862, 0.8542, 0.8593, 0.8619, 0.8649, 0.8676, 0.8586, 0.8599, 0.8554, 0.8645, 0.8606, 0.8538, 0.8588, 0.8591, 0.86, 0.8598]	
Results: 	[0.8631, 0.8654, 0.862, 0.8542, 0.8593, 0.8619, 0.8649, 0.8676, 0.8586, 0.8599, 0.8554, 0.8645, 0.8606, 0.8538, 0.8588, 0.8591, 0.86, 0.8598, 0.8614]	
Results: 	[0.8631, 0.8654, 0.862, 0.8542, 0.8593, 0.8619, 0.8649, 0.8676, 0.8586, 0.8599, 0.8554, 0.8645, 0.8606, 0.8538, 0.8588, 0.8591, 0.86, 0.8598, 0.8614, 0.86]	
Results: 	[0.8631, 0.8654, 0.862, 0.8542, 0.8593, 0.8619, 0.8649, 0.8676, 0.8586, 0.8599, 0.8554, 0.8645, 0.8606, 0.8538, 0.8588, 0.8591, 0.86, 0.8598, 0.8614, 0.86, 0.8608]	
Results: 	[0.8631, 0.8654, 0.862, 0.8542, 0.8593, 0.8619, 0.8649, 0.8676, 0.8586, 0.8599, 0.8554, 0.8645, 0.8606, 0.8538, 0.8588, 0.8591, 0.86, 0.8598, 0.8614, 0.86, 0.8608, 0.8564]	
Results: 	[0.8631, 0.8654, 0.862, 0.8542, 0.8593, 0.8619, 0.8649, 0.8676, 0.8586, 0.8599, 0.8554, 0.8645, 0.8606, 0.8538, 0.8588, 0.8591, 0.86, 0.8598, 0.8614, 0.86, 0.8608, 0.8564, 0.8606]	
Results: 	[0.8631, 0.8654, 0.862, 0.8542, 0.8593, 0.8619, 0.8649, 0.8676, 0.8586, 0.8599, 0.8554, 0.8645, 0.8606, 0.8538, 0.8588, 0.8591, 0.86, 0.8598, 0.8614, 0.86, 0.8608, 0.8564, 0.8606, 0.8538]	
Results: 	[0.8631, 0.8654, 0.862, 0.8542, 0.8593, 0.8619, 0.8649, 0.8676, 0.8586, 0.8599, 0.8554, 0.8645, 0.8606, 0.8538, 0.8588, 0.8591, 0.86, 0.8598, 0.8614, 0.86, 0.8608, 0.8564, 0.8606, 0.8538, 0.8576]	
Results: 	[0.8631, 0.8654, 0.862, 0.8542, 0.8593, 0.8619, 0.8649, 0.8676, 0.8586, 0.8599, 0.8554, 0.8645, 0.8606, 0.8538, 0.8588, 0.8591, 0.86, 0.8598, 0.8614, 0.86, 0.8608, 0.8564, 0.8606, 0.8538, 0.8576, 0.863]	
Results: 	[0.8631, 0.8654, 0.862, 0.8542, 0.8593, 0.8619, 0.8649, 0.8676, 0.8586, 0.8599, 0.8554, 0.8645, 0.8606, 0.8538, 0.8588, 0.8591, 0.86, 0.8598, 0.8614, 0.86, 0.8608, 0.8564, 0.8606, 0.8538, 0.8576, 0.863, 0.8584]	
Results: 	[0.8631, 0.8654, 0.862, 0.8542, 0.8593, 0.8619, 0.8649, 0.8676, 0.8586, 0.8599, 0.8554, 0.8645, 0.8606, 0.8538, 0.8588, 0.8591, 0.86, 0.8598, 0.8614, 0.86, 0.8608, 0.8564, 0.8606, 0.8538, 0.8576, 0.863, 0.8584, 0.8552]	
Results: 	[0.8631, 0.8654, 0.862, 0.8542, 0.8593, 0.8619, 0.8649, 0.8676, 0.8586, 0.8599, 0.8554, 0.8645, 0.8606, 0.8538, 0.8588, 0.8591, 0.86, 0.8598, 0.8614, 0.86, 0.8608, 0.8564, 0.8606, 0.8538, 0.8576, 0.863, 0.8584, 0.8552, 0.8609]	
Results: 	[0.8631, 0.8654, 0.862, 0.8542, 0.8593, 0.8619, 0.8649, 0.8676, 0.8586, 0.8599, 0.8554, 0.8645, 0.8606, 0.8538, 0.8588, 0.8591, 0.86, 0.8598, 0.8614, 0.86, 0.8608, 0.8564, 0.8606, 0.8538, 0.8576, 0.863, 0.8584, 0.8552, 0.8609, 0.8595]
30 Support Sets: (Mean:0.8598833333333333, SD:0.003434719617461477) | 	








