Results: 	[0.8775]	
Results: 	[0.8775, 0.8711]	
Results: 	[0.8775, 0.8711, 0.8819]	
Results: 	[0.8775, 0.8711, 0.8819, 0.8925]	
Results: 	[0.8775, 0.8711, 0.8819, 0.8925, 0.8858]	
Results: 	[0.8775, 0.8711, 0.8819, 0.8925, 0.8858, 0.8826]	
Results: 	[0.8775, 0.8711, 0.8819, 0.8925, 0.8858, 0.8826, 0.8728]	
Results: 	[0.8775, 0.8711, 0.8819, 0.8925, 0.8858, 0.8826, 0.8728, 0.866]	
Results: 	[0.8775, 0.8711, 0.8819, 0.8925, 0.8858, 0.8826, 0.8728, 0.866, 0.8865]	
Results: 	[0.8775, 0.8711, 0.8819, 0.8925, 0.8858, 0.8826, 0.8728, 0.866, 0.8865, 0.8803]	
Results: 	[0.8775, 0.8711, 0.8819, 0.8925, 0.8858, 0.8826, 0.8728, 0.866, 0.8865, 0.8803, 0.8925]	
Results: 	[0.8775, 0.8711, 0.8819, 0.8925, 0.8858, 0.8826, 0.8728, 0.866, 0.8865, 0.8803, 0.8925, 0.8766]	
Results: 	[0.8775, 0.8711, 0.8819, 0.8925, 0.8858, 0.8826, 0.8728, 0.866, 0.8865, 0.8803, 0.8925, 0.8766, 0.8812]	
Results: 	[0.8775, 0.8711, 0.8819, 0.8925, 0.8858, 0.8826, 0.8728, 0.866, 0.8865, 0.8803, 0.8925, 0.8766, 0.8812, 0.8911]	
Results: 	[0.8775, 0.8711, 0.8819, 0.8925, 0.8858, 0.8826, 0.8728, 0.866, 0.8865, 0.8803, 0.8925, 0.8766, 0.8812, 0.8911, 0.8858]	
Results: 	[0.8775, 0.8711, 0.8819, 0.8925, 0.8858, 0.8826, 0.8728, 0.866, 0.8865, 0.8803, 0.8925, 0.8766, 0.8812, 0.8911, 0.8858, 0.885]	
Results: 	[0.8775, 0.8711, 0.8819, 0.8925, 0.8858, 0.8826, 0.8728, 0.866, 0.8865, 0.8803, 0.8925, 0.8766, 0.8812, 0.8911, 0.8858, 0.885, 0.885]	
Results: 	[0.8775, 0.8711, 0.8819, 0.8925, 0.8858, 0.8826, 0.8728, 0.866, 0.8865, 0.8803, 0.8925, 0.8766, 0.8812, 0.8911, 0.8858, 0.885, 0.885, 0.8865]	
Results: 	[0.8775, 0.8711, 0.8819, 0.8925, 0.8858, 0.8826, 0.8728, 0.866, 0.8865, 0.8803, 0.8925, 0.8766, 0.8812, 0.8911, 0.8858, 0.885, 0.885, 0.8865, 0.8834]	
Results: 	[0.8775, 0.8711, 0.8819, 0.8925, 0.8858, 0.8826, 0.8728, 0.866, 0.8865, 0.8803, 0.8925, 0.8766, 0.8812, 0.8911, 0.8858, 0.885, 0.885, 0.8865, 0.8834, 0.8842]	
Results: 	[0.8775, 0.8711, 0.8819, 0.8925, 0.8858, 0.8826, 0.8728, 0.866, 0.8865, 0.8803, 0.8925, 0.8766, 0.8812, 0.8911, 0.8858, 0.885, 0.885, 0.8865, 0.8834, 0.8842, 0.8812]	
Results: 	[0.8775, 0.8711, 0.8819, 0.8925, 0.8858, 0.8826, 0.8728, 0.866, 0.8865, 0.8803, 0.8925, 0.8766, 0.8812, 0.8911, 0.8858, 0.885, 0.885, 0.8865, 0.8834, 0.8842, 0.8812, 0.8896]	
Results: 	[0.8775, 0.8711, 0.8819, 0.8925, 0.8858, 0.8826, 0.8728, 0.866, 0.8865, 0.8803, 0.8925, 0.8766, 0.8812, 0.8911, 0.8858, 0.885, 0.885, 0.8865, 0.8834, 0.8842, 0.8812, 0.8896, 0.8811]	
Results: 	[0.8775, 0.8711, 0.8819, 0.8925, 0.8858, 0.8826, 0.8728, 0.866, 0.8865, 0.8803, 0.8925, 0.8766, 0.8812, 0.8911, 0.8858, 0.885, 0.885, 0.8865, 0.8834, 0.8842, 0.8812, 0.8896, 0.8811, 0.8979]	
Results: 	[0.8775, 0.8711, 0.8819, 0.8925, 0.8858, 0.8826, 0.8728, 0.866, 0.8865, 0.8803, 0.8925, 0.8766, 0.8812, 0.8911, 0.8858, 0.885, 0.885, 0.8865, 0.8834, 0.8842, 0.8812, 0.8896, 0.8811, 0.8979, 0.8894]	
Results: 	[0.8775, 0.8711, 0.8819, 0.8925, 0.8858, 0.8826, 0.8728, 0.866, 0.8865, 0.8803, 0.8925, 0.8766, 0.8812, 0.8911, 0.8858, 0.885, 0.885, 0.8865, 0.8834, 0.8842, 0.8812, 0.8896, 0.8811, 0.8979, 0.8894, 0.8789]	
Results: 	[0.8775, 0.8711, 0.8819, 0.8925, 0.8858, 0.8826, 0.8728, 0.866, 0.8865, 0.8803, 0.8925, 0.8766, 0.8812, 0.8911, 0.8858, 0.885, 0.885, 0.8865, 0.8834, 0.8842, 0.8812, 0.8896, 0.8811, 0.8979, 0.8894, 0.8789, 0.8865]	
Results: 	[0.8775, 0.8711, 0.8819, 0.8925, 0.8858, 0.8826, 0.8728, 0.866, 0.8865, 0.8803, 0.8925, 0.8766, 0.8812, 0.8911, 0.8858, 0.885, 0.885, 0.8865, 0.8834, 0.8842, 0.8812, 0.8896, 0.8811, 0.8979, 0.8894, 0.8789, 0.8865, 0.8919]	
Results: 	[0.8775, 0.8711, 0.8819, 0.8925, 0.8858, 0.8826, 0.8728, 0.866, 0.8865, 0.8803, 0.8925, 0.8766, 0.8812, 0.8911, 0.8858, 0.885, 0.885, 0.8865, 0.8834, 0.8842, 0.8812, 0.8896, 0.8811, 0.8979, 0.8894, 0.8789, 0.8865, 0.8919, 0.8872]	
Results: 	[0.8775, 0.8711, 0.8819, 0.8925, 0.8858, 0.8826, 0.8728, 0.866, 0.8865, 0.8803, 0.8925, 0.8766, 0.8812, 0.8911, 0.8858, 0.885, 0.885, 0.8865, 0.8834, 0.8842, 0.8812, 0.8896, 0.8811, 0.8979, 0.8894, 0.8789, 0.8865, 0.8919, 0.8872, 0.8856]
30 Support Sets: (Mean:0.88392, SD:0.006783112905565935) | 	








